iteration,n_experiments,mean_accuracy,std_accuracy,best_accuracy,mean_auc,best_auc,median_samples,max_samples
1,336,0.404254302897395,0.19052972215166586,0.7368421052631579,0.35930313176406925,0.7734375,21.5,33.0
2,264,0.5937645687645687,0.12367554252515828,0.8,0.49018870493229466,0.7635327635327636,33.0,40.0
3,120,0.6307638888888889,0.1064468515235119,0.7666666666666667,0.5596690784801137,0.74072265625,92.0,120.0
4,120,0.6285648148148149,0.07866638892246747,0.7625,0.5548801216675613,0.6772946859903382,125.0,160.0
5,252,0.6158357787559467,0.06036863749160045,0.7285714285714285,0.5814115094739912,0.7543252595155708,173.0,210.0
