iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,features_count,balanced,accuracy,precision,recall,F1,AUC
4,person_vs_organization,2,124,124,0,124,LOOCV,248,AdaBoost,TFIDF_username,200,True,0.7540322580645161,1.0,0.5080645161290323,0.6737967914438503,0.5080645161290323
4,person_vs_organization,2,124,243,0,124,LOOCV,367,RandomForest,TFIDF_description+username + NUM,482,False,0.7520435967302452,0.7695035460992907,0.8930041152263375,0.8266666666666667,0.7563553697066241
4,person_vs_organization,2,124,243,0,124,LOOCV,367,RandomForest,TFIDF_description+full_name + NUM,482,False,0.7520435967302452,0.7638888888888888,0.9053497942386831,0.8286252354048964,0.7397119341563786
4,person_vs_organization,2,124,243,0,124,KFold,5,AdaBoost,TFIDF_description + NUM,282,False,0.7493188010899182,0.7706093189964157,0.8847736625514403,0.8237547892720306,0.7330578786671978
4,person_vs_organization,2,124,243,0,124,LOOCV,367,AdaBoost,TFIDF_username+full_name + NUM,406,False,0.7465940054495913,0.7678571428571429,0.8847736625514403,0.8221797323135756,0.7267025089605734
4,person_vs_organization,2,124,243,0,124,LOOCV,367,RandomForest,TFIDF_description + NUM,282,False,0.7411444141689373,0.774074074074074,0.8600823045267489,0.8148148148148148,0.742897915836984
4,person_vs_organization,2,124,243,0,124,KFold,5,AdaBoost,TFIDF_description+username + NUM,482,False,0.7411444141689373,0.7624113475177305,0.8847736625514403,0.819047619047619,0.7276981282357627
4,person_vs_organization,2,124,243,0,124,LOOCV,367,RandomForest,TFIDF_description+username+full_name + NUM,682,False,0.7384196185286104,0.7425742574257426,0.9259259259259259,0.8241758241758241,0.7543309438470729
4,person_vs_organization,2,124,243,0,124,LOOCV,367,AdaBoost,TFIDF_full_name + NUM,206,False,0.7384196185286104,0.7653429602888087,0.8724279835390947,0.8153846153846154,0.7426324173636001
4,person_vs_organization,2,124,243,0,124,LOOCV,367,SVM,TFIDF_description+username+full_name + NUM,682,False,0.7384196185286104,0.7348242811501597,0.9465020576131687,0.8273381294964028,0.7086154254613036
4,person_vs_organization,2,124,243,0,124,LOOCV,367,SVM,TFIDF_username+full_name + NUM,406,False,0.7384196185286104,0.7261538461538461,0.9711934156378601,0.8309859154929577,0.7004513474047525
4,person_vs_organization,2,124,243,0,124,KFold,5,AdaBoost,TFIDF_username + NUM,206,False,0.7356948228882834,0.7552447552447552,0.8888888888888888,0.8166351606805293,0.7147218903491305
4,person_vs_organization,2,124,243,0,124,LOOCV,367,SVM,TFIDF_description+username + NUM,482,False,0.7356948228882834,0.7310126582278481,0.9506172839506173,0.8264758497316637,0.6944112571352714
4,person_vs_organization,2,124,243,0,124,LOOCV,367,LogReg,TFIDF_description+full_name + NUM,482,False,0.7329700272479565,0.7230769230769231,0.9670781893004116,0.8274647887323944,0.7174764370104872
4,person_vs_organization,2,124,243,0,124,LOOCV,367,LogReg,TFIDF_description+username+full_name + NUM,682,False,0.7329700272479565,0.7230769230769231,0.9670781893004116,0.8274647887323944,0.7158502588610114
4,person_vs_organization,2,124,243,0,124,KFold,5,SVM,TFIDF_username+full_name + NUM,406,False,0.7329700272479565,0.7230769230769231,0.9670781893004116,0.8274647887323944,0.6929178282224877
4,person_vs_organization,2,124,243,0,124,LOOCV,367,AdaBoost,TFIDF_username + NUM,206,False,0.7302452316076294,0.7571428571428571,0.8724279835390947,0.8107074569789675,0.7393800610646489
4,person_vs_organization,2,124,243,0,124,LOOCV,367,RandomForest,TFIDF_username+full_name + NUM,406,False,0.7302452316076294,0.7384105960264901,0.9176954732510288,0.818348623853211,0.7315810434090004
4,person_vs_organization,2,124,243,0,124,LOOCV,367,SVM,TFIDF_description + NUM,282,False,0.7302452316076294,0.7208588957055214,0.9670781893004116,0.8260105448154658,0.7241802734634275
4,person_vs_organization,2,124,243,0,124,KFold,5,LogReg,TFIDF_description+username+full_name + NUM,682,False,0.7302452316076294,0.7222222222222222,0.9629629629629629,0.8253968253968254,0.7181401831939467
