algorithm,feature_set,training_type,balanced,accuracy,precision,recall,F1,AUC
RandomForest,TFIDF_description+username,KFold,True,0.65625,0.6731601731601732,0.65625,0.6476476476476476,0.74072265625
RandomForest,TFIDF_description+username+full_name,KFold,True,0.671875,0.6866383881230116,0.671875,0.6652552926525529,0.74072265625
RandomForest,TFIDF_username,KFold,True,0.671875,0.6733990147783251,0.671875,0.6711524345485687,0.724609375
RandomForest,TFIDF_description+username,LOOCV,False,0.675,0.6446436575526668,0.675,0.6563144963144965,0.7185724431818182
LogReg,TFIDF_description+username,KFold,True,0.671875,0.6720430107526881,0.671875,0.6717948717948719,0.71484375
XGBoost,TFIDF_description+username,KFold,False,0.7083333333333334,0.6885614035087718,0.7083333333333334,0.6960023008340523,0.7107599431818182
AdaBoost,TFIDF_description+username,LOOCV,False,0.6666666666666666,0.6226666666666667,0.6666666666666666,0.6388434260774686,0.7088068181818181
RandomForest,TFIDF_description+username+full_name,LOOCV,False,0.6916666666666667,0.6763839107925129,0.6916666666666667,0.6828604426132283,0.7034801136363636
RandomForest,TFIDF_description+username+full_name,LOOCV,True,0.578125,0.582051282051282,0.578125,0.5730170496664195,0.7021484375
RandomForest,TFIDF_username,LOOCV,True,0.640625,0.641871921182266,0.640625,0.6398336187912894,0.6962890625
XGBoost,TFIDF_description+username+full_name,LOOCV,False,0.6916666666666667,0.6701754385964912,0.6916666666666667,0.6786310037388553,0.6960227272727273
AdaBoost,TFIDF_username,KFold,True,0.671875,0.6733990147783251,0.671875,0.6711524345485687,0.69482421875
XGBoost,TFIDF_description+username,LOOCV,False,0.6666666666666666,0.6462084015275505,0.6666666666666666,0.6549197928508274,0.6946022727272727
SVM,TFIDF_description+username,KFold,False,0.7666666666666667,0.7533333333333334,0.7666666666666667,0.7185185185185186,0.6942471590909091
XGBoost,TFIDF_username,KFold,False,0.7,0.6763888888888889,0.7,0.6850931677018633,0.6906960227272728
RandomForest,TFIDF_description+username,LOOCV,True,0.640625,0.6476923076923078,0.640625,0.6362737830491723,0.6904296875
XGBoost,TFIDF_description+username+full_name,KFold,False,0.6916666666666667,0.6701754385964912,0.6916666666666667,0.6786310037388553,0.6887428977272727
RandomForest,TFIDF_description+username,KFold,False,0.6833333333333333,0.6642662302236769,0.6833333333333333,0.6721738032082859,0.6882102272727273
RandomForest,TFIDF_description+username+full_name,KFold,False,0.6833333333333333,0.6576388888888888,0.6833333333333333,0.6675983436853002,0.6743607954545455
SVM,TFIDF_description+username+full_name,KFold,False,0.7416666666666667,0.7031031031031032,0.7416666666666667,0.6841361277934387,0.6743607954545454
