iteration,mean_accuracy,mean_AUC,num_experiments
1,0.561742897906691,0.4665171949262858,336
2,0.5265841036358277,0.5107456558592921,240
3,0.5994307954323795,0.5853109754686107,672
4,0.5689371622600835,0.5834352450727296,672
5,0.7193884263807734,0.6639766923784453,180
