algorithm,feature_set,training_type,balanced,accuracy,precision,recall,F1,AUC
SVM,TFIDF_description+username,KFold,False,0.7666666666666667,0.7533333333333334,0.7666666666666667,0.7185185185185186,0.6942471590909091
SVM,TFIDF_description+username,LOOCV,False,0.75,0.7232142857142857,0.75,0.69,0.6267755681818181
AdaBoost,TFIDF_description+full_name,LOOCV,False,0.75,0.7309941520467835,0.75,0.6805627931214173,0.4641335227272727
LogReg,TFIDF_description+username,KFold,False,0.7416666666666667,0.8089635854341737,0.7416666666666667,0.6396720831503441,0.6626420454545454
SVM,TFIDF_description+username+full_name,KFold,False,0.7416666666666667,0.7031031031031032,0.7416666666666667,0.6841361277934387,0.6743607954545454
RandomForest,TFIDF_description,KFold,False,0.7333333333333333,0.6801169590643276,0.7333333333333333,0.659266979329512,0.6086647727272727
SVM,TFIDF_description,KFold,False,0.7333333333333333,0.6770114942528735,0.7333333333333333,0.6479302832244009,0.5152698863636364
XGBoost,TFIDF_description,LOOCV,False,0.7333333333333333,0.6866666666666666,0.7333333333333333,0.6783068783068783,0.3362926136363636
LogReg,TFIDF_username,KFold,False,0.7333333333333333,0.5377777777777778,0.7333333333333333,0.6205128205128205,0.5735085227272727
SVM,TFIDF_username,KFold,False,0.7333333333333333,0.5377777777777778,0.7333333333333333,0.6205128205128205,0.5372869318181818
LogReg,TFIDF_username,LOOCV,False,0.7333333333333333,0.5377777777777778,0.7333333333333333,0.6205128205128205,0.5550426136363636
LogReg,TFIDF_description+username,LOOCV,False,0.7333333333333333,0.5377777777777778,0.7333333333333333,0.6205128205128205,0.6313920454545454
RandomForest,TFIDF_description+full_name,KFold,False,0.7333333333333333,0.6866666666666666,0.7333333333333333,0.6783068783068783,0.614169034090909
SVM,TFIDF_description+full_name,KFold,False,0.7333333333333333,0.6770114942528735,0.7333333333333333,0.6479302832244009,0.4893465909090908
SVM,TFIDF_description+full_name,LOOCV,False,0.7333333333333333,0.6801169590643276,0.7333333333333333,0.659266979329512,0.2911931818181818
XGBoost,TFIDF_description+full_name,LOOCV,False,0.7333333333333333,0.6866666666666666,0.7333333333333333,0.6783068783068783,0.5248579545454545
LogReg,TFIDF_description+username+full_name,KFold,False,0.7333333333333333,0.5377777777777778,0.7333333333333333,0.6205128205128205,0.6484375
LogReg,TFIDF_description+username+full_name,LOOCV,False,0.7333333333333333,0.5377777777777778,0.7333333333333333,0.6205128205128205,0.6299715909090909
LogReg,TFIDF_description,KFold,False,0.725,0.5361344537815126,0.725,0.6164251207729469,0.6157670454545454
LogReg,TFIDF_description,LOOCV,False,0.725,0.5361344537815126,0.725,0.6164251207729469,0.4030539772727273
