Name,Wikipedia_Link
Ali Akbar Moosavi-Movahedi,https://en.wikipedia.org/wiki/Ali_Akbar_Moosavi-Movahedi
Hossein Rafiee,https://en.wikipedia.org/wiki/Hossein_Rafiee
Rahim Abedi,https://en.wikipedia.org/wiki/Rahim_Abedi
Mohammad-Nabi Sarbolouki,https://en.wikipedia.org/wiki/Mohammad-Nabi_Sarbolouki
Reyhaneh Sariri,https://en.wikipedia.org/wiki/Reyhaneh_Sariri
Samira Siahrostami,https://en.wikipedia.org/wiki/Samira_Siahrostami
Mohammad Ali Zolfigol,https://en.wikipedia.org/wiki/Mohammad_Ali_Zolfigol
Farhad Arbab,https://en.wikipedia.org/wiki/Farhad_Arbab
Nazanin Daneshvar,https://en.wikipedia.org/wiki/Nazanin_Daneshvar
Bita Daryabari,https://en.wikipedia.org/wiki/Bita_Daryabari
Morteza Dehghani,https://en.wikipedia.org/wiki/Morteza_Dehghani
Abbas Edalat,https://en.wikipedia.org/wiki/Abbas_Edalat
Peyman Faratin,https://en.wikipedia.org/wiki/Peyman_Faratin
Ali Ghodsi,https://en.wikipedia.org/wiki/Ali_Ghodsi
Mohammad Ghodsi,https://en.wikipedia.org/wiki/Mohammad_Ghodsi
Babak Hodjat,https://en.wikipedia.org/wiki/Babak_Hodjat
Ali Jafari,https://en.wikipedia.org/wiki/Ali_Jafari
Ali Akbar Jalali,https://en.wikipedia.org/wiki/Ali_Akbar_Jalali
Tara Javidi,https://en.wikipedia.org/wiki/Tara_Javidi
Mohammad Jorjandi,https://en.wikipedia.org/wiki/Mohammad_Jorjandi
Farinaz Koushanfar,https://en.wikipedia.org/wiki/Farinaz_Koushanfar
Gholamali Montazer,https://en.wikipedia.org/wiki/Gholamali_Montazer
Yasamin Mostofi,https://en.wikipedia.org/wiki/Yasamin_Mostofi
Amir Rahmati,https://en.wikipedia.org/wiki/Amir_Rahmati
Maryam Sadeghi,https://en.wikipedia.org/wiki/Maryam_Sadeghi
Ladan Tahvildari,https://en.wikipedia.org/wiki/Ladan_Tahvildari
Brandon Truaxe,https://en.wikipedia.org/wiki/Brandon_Truaxe
Lotfi A. Zadeh,https://en.wikipedia.org/wiki/Lotfi_A._Zadeh
Nasrollah Khadem,https://en.wikipedia.org/wiki/Nasrollah_Khadem
Abdolreza Mesri,https://en.wikipedia.org/wiki/Abdolreza_Mesri
Fereydun Sahabi,https://en.wikipedia.org/wiki/Fereydun_Sahabi
List of Iranian mathematicians,https://en.wikipedia.org/wiki/List_of_Iranian_mathematicians
Amir Mohammadi,https://en.wikipedia.org/wiki/Amir_Mohammadi
Chehrzad Shakiban,https://en.wikipedia.org/wiki/Chehrzad_Shakiban
Abdullah Khan Ahmadieh,https://en.wikipedia.org/wiki/Abdullah_Khan_Ahmadieh
Moslem Bahadori,https://en.wikipedia.org/wiki/Moslem_Bahadori
Bahram Eynollahi,https://en.wikipedia.org/wiki/Bahram_Eynollahi
Khosrow Jamshidi,https://en.wikipedia.org/wiki/Khosrow_Jamshidi
Hamidreza Khankeh,https://en.wikipedia.org/wiki/Hamidreza_Khankeh
Samira Kiani,https://en.wikipedia.org/wiki/Samira_Kiani
Hossein Khan Motamed,https://en.wikipedia.org/wiki/Hossein_Khan_Motamed
Hossein Najmabadi,https://en.wikipedia.org/wiki/Hossein_Najmabadi
Karim Nayernia,https://en.wikipedia.org/wiki/Karim_Nayernia
Andranik Ovassapian,https://en.wikipedia.org/wiki/Andranik_Ovassapian
Reza Razavi,https://en.wikipedia.org/wiki/Reza_Razavi
Karim Vessal,https://en.wikipedia.org/wiki/Karim_Vessal
Mohammad Hassan Ganji,https://en.wikipedia.org/wiki/Mohammad_Hassan_Ganji
Jinous Nemat Mahmoudi,https://en.wikipedia.org/wiki/Jinous_Nemat_Mahmoudi
