Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth,Twitter_username,Twitter_url
Pari Abasalti,https://en.wikipedia.org/wiki/Pari_Abasalti,Q16048637,https://www.wikidata.org/wiki/Q16048637,female,politician,Iran,,1935-01-01T00:00:00Z,,
"Haleh Afshar, Baroness Afshar",https://en.wikipedia.org/wiki/Haleh_Afshar%2C_Baroness_Afshar,,,,,,,,,
Mastoureh Afshar,https://en.wikipedia.org/wiki/Mastoureh_Afshar,Q6401422,https://www.wikidata.org/wiki/Q6401422,female,journalist,Iran,Urmia,1898-01-01T00:00:00Z,,
Liana Aghajanian,https://en.wikipedia.org/wiki/Liana_Aghajanian,Q30592664,https://www.wikidata.org/wiki/Q30592664,female,journalist,,Tehran,,lianaagh,https://x.com/lianaagh
Shiva Nazar Ahari,https://en.wikipedia.org/wiki/Shiva_Nazar_Ahari,Q460226,https://www.wikidata.org/wiki/Q460226,female,blogger; human rights defender; journalist,Iran,Tehran,1984-06-10T00:00:00Z,,
Masih Alinejad,https://en.wikipedia.org/wiki/Masih_Alinejad,Q6783266,https://www.wikidata.org/wiki/Q6783266,female,blogger; journalist; writer,Iran; United Kingdom; United States,Qomi Kola,1976-09-11T00:00:00Z,masih_alinejad,https://x.com/masih_alinejad
Maryam Amid,https://en.wikipedia.org/wiki/Maryam_Amid,Q5946620,https://www.wikidata.org/wiki/Q5946620,female,journalist,Iran,Semnan,,,
Asieh Amini,https://en.wikipedia.org/wiki/Asieh_Amini,Q21475060,https://www.wikidata.org/wiki/Q21475060,female,poet,Iran; Pahlavi dynasty,Ramsar,1973-09-14T00:00:00Z,,
Nazenin Ansari,https://en.wikipedia.org/wiki/Nazenin_Ansari,Q6983371,https://www.wikidata.org/wiki/Q6983371,female,journalist,Iran,,1901-01-01T00:00:00Z,,
Mina Assadi,https://en.wikipedia.org/wiki/Mina_Assadi,Q384979,https://www.wikidata.org/wiki/Q384979,female,essayist; journalist; poet; songwriter; writer,Iran; Sweden,Sari,1943-03-12T00:00:00Z,,
Shahnaz Azad,https://en.wikipedia.org/wiki/Shahnaz_Azad,Q5878160,https://www.wikidata.org/wiki/Q5878160,female,journalist,Iran,Tabriz,1901-01-01T00:00:00Z,,
Saba Azarpeik,https://en.wikipedia.org/wiki/Saba_Azarpeik,Q5947264,https://www.wikidata.org/wiki/Q5947264,female,correspondent; journalist; reporter; writer,Iran,,1981-01-01T00:00:00Z,,
Sediqeh Dowlatabadi,https://en.wikipedia.org/wiki/Sediqeh_Dowlatabadi,Q7445322,https://www.wikidata.org/wiki/Q7445322,female,journalist; women's rights activist,Iran,Isfahan,1882-01-01T00:00:00Z,,
Mohtaram Eskandari,https://en.wikipedia.org/wiki/Mohtaram_Eskandari,Q6894509,https://www.wikidata.org/wiki/Q6894509,female,journalist; writer,Iran,Tehran,1895-01-01T00:00:00Z,,
Lily Farhadpour,https://en.wikipedia.org/wiki/Lily_Farhadpour,Q25425774,https://www.wikidata.org/wiki/Q25425774,female,actor; journalist,Iran,,,,
Nazila Fathi,https://en.wikipedia.org/wiki/Nazila_Fathi,Q19877845,https://www.wikidata.org/wiki/Q19877845,female,journalist,,Tehran,1970-12-28T00:00:00Z,,
Mahtab Gholizadeh,https://en.wikipedia.org/wiki/Mahtab_Gholizadeh,Q110098172,https://www.wikidata.org/wiki/Q110098172,female,journalist,Iran,Garmsar,1988-04-06T00:00:00Z,,
Fariba Hachtroudi,https://en.wikipedia.org/wiki/Fariba_Hachtroudi,Q3066854,https://www.wikidata.org/wiki/Q3066854,female,journalist; politician; writer,France,Tehran,1951-01-01T00:00:00Z,,
Roya Hakakian,https://en.wikipedia.org/wiki/Roya_Hakakian,Q340046,https://www.wikidata.org/wiki/Q340046,female,biographer; film director; human rights defender; journalist; poet; reporter; writer,Iran,Tehran,1966-01-01T00:00:00Z,RoyaTheWriter,https://x.com/RoyaTheWriter
Niloofar Hamedi,https://en.wikipedia.org/wiki/Niloofar_Hamedi,Q114431260,https://www.wikidata.org/wiki/Q114431260,female,journalist,Iran,Babol,1992-10-22T00:00:00Z,,
