Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
Mahmoud Samimi,https://en.wikipedia.org/wiki/Mahmoud_Samimi,Q8214322,https://www.wikidata.org/wiki/Q8214322,male,athletics competitor,Iran,Shalamzar,1988-09-18T00:00:00Z
Hadi Sepehrzad,https://en.wikipedia.org/wiki/Hadi_Sepehrzad,Q931810,https://www.wikidata.org/wiki/Q931810,male,athletics competitor,Iran,Tehran,1983-01-18T00:00:00Z
Abdolvahab Shahkhoreh,https://en.wikipedia.org/wiki/Abdolvahab_Shahkhoreh,Q32979501,https://www.wikidata.org/wiki/Q32979501,male,sprinter,Iran,,1936-03-16T00:00:00Z
Hossein Shayan,https://en.wikipedia.org/wiki/Hossein_Shayan,Q17992693,https://www.wikidata.org/wiki/Q17992693,male,athletics competitor,Iran,,1971-03-30T00:00:00Z
Hassan Taftian,https://en.wikipedia.org/wiki/Hassan_Taftian,Q5679859,https://www.wikidata.org/wiki/Q5679859,male,athletics competitor,Iran,Torbat-e Heydarieh,1993-05-04T00:00:00Z
Serkan Yıldırım,https://en.wikipedia.org/wiki/Serkan_Y%C4%B1ld%C4%B1r%C4%B1m,,,,,,,
Hamid Reza Zouravand,https://en.wikipedia.org/wiki/Hamid_Reza_Zouravand,Q26923842,https://www.wikidata.org/wiki/Q26923842,male,athletics competitor,Iran,Hamadan,1990-01-13T00:00:00Z
Saeid Afrooz,https://en.wikipedia.org/wiki/Saeid_Afrooz,Q108359167,https://www.wikidata.org/wiki/Q108359167,male,Paralympic athlete,Iran,Jiroft,1990-12-30T00:00:00Z
Seyed Aliasghar Javanmardi,https://en.wikipedia.org/wiki/Seyed_Aliasghar_Javanmardi,Q130242140,https://www.wikidata.org/wiki/Q130242140,male,,,,1990-01-01T00:00:00Z
Amirhossein Alipour Darbeid,https://en.wikipedia.org/wiki/Amirhossein_Alipour_Darbeid,Q130221129,https://www.wikidata.org/wiki/Q130221129,male,athletics competitor,Iran,,2002-01-01T00:00:00Z
Hamed Amiri,https://en.wikipedia.org/wiki/Hamed_Amiri,Q82805136,https://www.wikidata.org/wiki/Q82805136,male,javelin thrower; shot putter,,,1982-06-06T00:00:00Z
Mohsen Amoo-Aghaei,https://en.wikipedia.org/wiki/Mohsen_Amoo-Aghaei,Q6894367,https://www.wikidata.org/wiki/Q6894367,male,athletics competitor,Iran,,1901-01-01T00:00:00Z
Asadollah Azimi,https://en.wikipedia.org/wiki/Asadollah_Azimi,Q26902959,https://www.wikidata.org/wiki/Q26902959,male,athletics competitor,Iran,Mianeh,1959-09-25T00:00:00Z
Avaz Azmoudeh,https://en.wikipedia.org/wiki/Avaz_Azmoudeh,Q4827879,https://www.wikidata.org/wiki/Q4827879,male,athletics competitor,Iran,,1901-01-01T00:00:00Z
Jalil Bagheri Jeddi,https://en.wikipedia.org/wiki/Jalil_Bagheri_Jeddi,Q6126794,https://www.wikidata.org/wiki/Q6126794,male,athletics competitor,Iran,Ardabil,
Hassan Bajoulvand,https://en.wikipedia.org/wiki/Hassan_Bajoulvand,Q130241042,https://www.wikidata.org/wiki/Q130241042,male,,,,1985-03-06T00:00:00Z
Sadegh Beit Sayah,https://en.wikipedia.org/wiki/Sadegh_Beit_Sayah,Q108635629,https://www.wikidata.org/wiki/Q108635629,male,javelin thrower,,Ahvaz,1986-12-17T00:00:00Z
Erfan Bondori Deraznoei,https://en.wikipedia.org/wiki/Erfan_Bondori_Deraznoei,Q136434351,https://www.wikidata.org/wiki/Q136434351,male,,,,1999-07-01T00:00:00Z
Javid Ehsani Shakib,https://en.wikipedia.org/wiki/Javid_Ehsani_Shakib,Q28042246,https://www.wikidata.org/wiki/Q28042246,male,athletics competitor,,,
Parastoo Habibi,https://en.wikipedia.org/wiki/Parastoo_Habibi,Q130181426,https://www.wikidata.org/wiki/Q130181426,female,,,,2002-01-01T00:00:00Z
Javad Hardani,https://en.wikipedia.org/wiki/Javad_Hardani,Q6165094,https://www.wikidata.org/wiki/Q6165094,male,athletics competitor,Iran,Ahvaz,1984-03-22T00:00:00Z
Hamed Heidari,https://en.wikipedia.org/wiki/Hamed_Heidari,Q28042283,https://www.wikidata.org/wiki/Q28042283,male,athlete,Azerbaijan; Iran,Kolowr,1991-03-26T00:00:00Z
Abdolreza Jokar,https://en.wikipedia.org/wiki/Abdolreza_Jokar,Q4665103,https://www.wikidata.org/wiki/Q4665103,male,athletics competitor,Iran,Dezful,2000-01-01T00:00:00Z
Mohsen Kaedi,https://en.wikipedia.org/wiki/Mohsen_Kaedi,Q5702088,https://www.wikidata.org/wiki/Q5702088,male,athletics competitor,Iran,Khorramabad,1987-04-29T00:00:00Z
Alireza Kamali (athlete),https://en.wikipedia.org/wiki/Alireza_Kamali_%28athlete%29,,,,,,,
Mehrdad Karamzadeh,https://en.wikipedia.org/wiki/Mehrdad_Karamzadeh,Q5712870,https://www.wikidata.org/wiki/Q5712870,male,athletics competitor,Iran,Bushehr,1901-01-01T00:00:00Z
Mohammad Khalvandi,https://en.wikipedia.org/wiki/Mohammad_Khalvandi,Q5695147,https://www.wikidata.org/wiki/Q5695147,male,athletics competitor,Iran,Kermanshah,1990-01-11T00:00:00Z
