Name,Wikipedia_Link,wikidata_qid,wikidata_url
Ali Akbar Aboutorabi Fard,https://en.wikipedia.org/wiki/Ali_Akbar_Aboutorabi_Fard,Q5926952,https://www.wikidata.org/wiki/Q5926952
Mirza Fatali Akhundov,https://en.wikipedia.org/wiki/Mirza_Fatali_Akhundov,Q315158,https://www.wikidata.org/wiki/Q315158
Amir Arshad,https://en.wikipedia.org/wiki/Amir_Arshad,Q12850211,https://www.wikidata.org/wiki/Q12850211
Haydar Khan Amo-oghli,https://en.wikipedia.org/wiki/Haydar_Khan_Amo-oghli,Q252721,https://www.wikidata.org/wiki/Q252721
Hassan Ayat,https://en.wikipedia.org/wiki/Hassan_Ayat,Q5679597,https://www.wikidata.org/wiki/Q5679597
Hassan Bagheri,https://en.wikipedia.org/wiki/Hassan_Bagheri,Q5963901,https://www.wikidata.org/wiki/Q5963901
Mohammad-Javad Bahonar,https://en.wikipedia.org/wiki/Mohammad-Javad_Bahonar,Q722559,https://www.wikidata.org/wiki/Q722559
Abolhassan Banisadr,https://en.wikipedia.org/wiki/Abolhassan_Banisadr,Q273866,https://www.wikidata.org/wiki/Q273866
Tayfour Bathaii,https://en.wikipedia.org/wiki/Tayfour_Bathaii,Q25425219,https://www.wikidata.org/wiki/Q25425219
Mohammad Beheshti,https://en.wikipedia.org/wiki/Mohammad_Beheshti,Q714744,https://www.wikidata.org/wiki/Q714744
Mostafa Chamran,https://en.wikipedia.org/wiki/Mostafa_Chamran,Q720760,https://www.wikidata.org/wiki/Q720760
Hamid Reza Chitgar,https://en.wikipedia.org/wiki/Hamid_Reza_Chitgar,Q5644634,https://www.wikidata.org/wiki/Q5644634
Ehsanollah Khan Dustdar,https://en.wikipedia.org/wiki/Ehsanollah_Khan_Dustdar,Q6418946,https://www.wikidata.org/wiki/Q6418946
Ebrahim Monshizadeh,https://en.wikipedia.org/wiki/Ebrahim_Monshizadeh,Q6419205,https://www.wikidata.org/wiki/Q6419205
Sadegh Ghotbzadeh,https://en.wikipedia.org/wiki/Sadegh_Ghotbzadeh,Q722527,https://www.wikidata.org/wiki/Q722527
Khosrow Golsorkhi,https://en.wikipedia.org/wiki/Khosrow_Golsorkhi,Q455770,https://www.wikidata.org/wiki/Q455770
Mohammad-Nabi Habibi,https://en.wikipedia.org/wiki/Mohammad-Nabi_Habibi,Q23020907,https://www.wikidata.org/wiki/Q23020907
Habibollah Ashouri,https://en.wikipedia.org/wiki/Habibollah_Ashouri,Q86832344,https://www.wikidata.org/wiki/Q86832344
Hoseyn Khan Baghban,https://en.wikipedia.org/wiki/Hoseyn_Khan_Baghban,Q85969761,https://www.wikidata.org/wiki/Q85969761
Seyed Mojtaba Hosseini,https://en.wikipedia.org/wiki/Seyed_Mojtaba_Hosseini,Q22909998,https://www.wikidata.org/wiki/Q22909998
Bijan Jazani,https://en.wikipedia.org/wiki/Bijan_Jazani,Q4832951,https://www.wikidata.org/wiki/Q4832951
Mehdi Karroubi,https://en.wikipedia.org/wiki/Mehdi_Karroubi,Q315011,https://www.wikidata.org/wiki/Q315011
Ahmad Kasravi,https://en.wikipedia.org/wiki/Ahmad_Kasravi,Q400678,https://www.wikidata.org/wiki/Q400678
Sadegh Khalkhali,https://en.wikipedia.org/wiki/Sadegh_Khalkhali,Q633447,https://www.wikidata.org/wiki/Q633447
Baqir Khan,https://en.wikipedia.org/wiki/Baqir_Khan,Q799913,https://www.wikidata.org/wiki/Q799913
Yeprem Khan,https://en.wikipedia.org/wiki/Yeprem_Khan,Q2064739,https://www.wikidata.org/wiki/Q2064739
Mohammad Khiabani,https://en.wikipedia.org/wiki/Mohammad_Khiabani,Q2658388,https://www.wikidata.org/wiki/Q2658388
Muhammad Kazim Khurasani,https://en.wikipedia.org/wiki/Muhammad_Kazim_Khurasani,Q3774922,https://www.wikidata.org/wiki/Q3774922
Noureddin Kianouri,https://en.wikipedia.org/wiki/Noureddin_Kianouri,Q2002672,https://www.wikidata.org/wiki/Q2002672
Mirza Kuchik Khan,https://en.wikipedia.org/wiki/Mirza_Kuchik_Khan,Q738907,https://www.wikidata.org/wiki/Q738907
Mohammad-Reza Mahdavi Kani,https://en.wikipedia.org/wiki/Mohammad-Reza_Mahdavi_Kani,Q722774,https://www.wikidata.org/wiki/Q722774
Marzieh Ahmadi,https://en.wikipedia.org/wiki/Marzieh_Ahmadi,Q61065594,https://www.wikidata.org/wiki/Q61065594
Abdallah Mazandarani,https://en.wikipedia.org/wiki/Abdallah_Mazandarani,Q6406497,https://www.wikidata.org/wiki/Q6406497
Lotfollah Meisami,https://en.wikipedia.org/wiki/Lotfollah_Meisami,Q5960097,https://www.wikidata.org/wiki/Q5960097
Mirza Abdul'Rahim Talibov Tabrizi,https://en.wikipedia.org/wiki/Mirza_Abdul%27Rahim_Talibov_Tabrizi,,
Mirza Husayn Tehrani,https://en.wikipedia.org/wiki/Mirza_Husayn_Tehrani,Q5957686,https://www.wikidata.org/wiki/Q5957686
Shamseddin Mojabi,https://en.wikipedia.org/wiki/Shamseddin_Mojabi,Q18357517,https://www.wikidata.org/wiki/Q18357517
Mohammad Montazeri,https://en.wikipedia.org/wiki/Mohammad_Montazeri,Q5938827,https://www.wikidata.org/wiki/Q5938827
Foad Mostafa Soltani,https://en.wikipedia.org/wiki/Foad_Mostafa_Soltani,Q4121853,https://www.wikidata.org/wiki/Q4121853
Morteza Motahhari,https://en.wikipedia.org/wiki/Morteza_Motahhari,Q1397229,https://www.wikidata.org/wiki/Q1397229
Alireza Nabdel,https://en.wikipedia.org/wiki/Alireza_Nabdel,Q16379004,https://www.wikidata.org/wiki/Q16379004
Naser Divan Kazeruni,https://en.wikipedia.org/wiki/Naser_Divan_Kazeruni,Q5959932,https://www.wikidata.org/wiki/Q5959932
Nicky Nodjoumi,https://en.wikipedia.org/wiki/Nicky_Nodjoumi,Q19667006,https://www.wikidata.org/wiki/Q19667006
Ardeshir Ovanessian,https://en.wikipedia.org/wiki/Ardeshir_Ovanessian,Q4787988,https://www.wikidata.org/wiki/Q4787988
Hasan Aghareb Parast,https://en.wikipedia.org/wiki/Hasan_Aghareb_Parast,Q18579173,https://www.wikidata.org/wiki/Q18579173
Habibollah Peyman,https://en.wikipedia.org/wiki/Habibollah_Peyman,Q5636836,https://www.wikidata.org/wiki/Q5636836
Ja'far Pishevari,https://en.wikipedia.org/wiki/Ja%27far_Pishevari,,
Amir Parviz Pooyan,https://en.wikipedia.org/wiki/Amir_Parviz_Pooyan,Q5943042,https://www.wikidata.org/wiki/Q5943042
Rahmatollah Moghaddam Maraghei,https://en.wikipedia.org/wiki/Rahmatollah_Moghaddam_Maraghei,Q6411272,https://www.wikidata.org/wiki/Q6411272
Mohammad-Ali Rajai,https://en.wikipedia.org/wiki/Mohammad-Ali_Rajai,Q310592,https://www.wikidata.org/wiki/Q310592
Hassan Rouhani,https://en.wikipedia.org/wiki/Hassan_Rouhani,Q348144,https://www.wikidata.org/wiki/Q348144
Shahriar Rouhani,https://en.wikipedia.org/wiki/Shahriar_Rouhani,Q81545455,https://www.wikidata.org/wiki/Q81545455
Edna Sabet,https://en.wikipedia.org/wiki/Edna_Sabet,Q130397451,https://www.wikidata.org/wiki/Q130397451
Yadollah Sahabi,https://en.wikipedia.org/wiki/Yadollah_Sahabi,Q8046595,https://www.wikidata.org/wiki/Q8046595
Mirza Ebrahim Khan Sahhafbashi,https://en.wikipedia.org/wiki/Mirza_Ebrahim_Khan_Sahhafbashi,Q6874832,https://www.wikidata.org/wiki/Q6874832
Ahmad Salamatian,https://en.wikipedia.org/wiki/Ahmad_Salamatian,Q5684765,https://www.wikidata.org/wiki/Q5684765
