algorithm,feature_set,training_type,balanced,accuracy,precision,recall,F1,AUC
SVM,TFIDF_all_text+location+persian,LOOCV,True,0.7279411764705882,0.7291802565775168,0.7279411764705882,0.7275729521953332,0.7543252595155708
AdaBoost,TFIDF_description+username+full_name,LOOCV,False,0.7238095238095238,0.7081919357781428,0.7238095238095238,0.6953030092270598,0.7438898094449047
AdaBoost,TFIDF_all_text+location+persian,LOOCV,False,0.7285714285714285,0.7137469937469938,0.7285714285714285,0.7111156866540108,0.7210024855012428
SVM,TFIDF_all_text+location+persian,LOOCV,False,0.6904761904761905,0.6685714285714285,0.6904761904761905,0.6705705198686086,0.7129246064623032
LogReg,TFIDF_all_text+location+persian,LOOCV,True,0.6764705882352942,0.6764705882352942,0.6764705882352942,0.6764705882352942,0.7067474048442907
LogReg,TFIDF_all_text+location+persian,LOOCV,False,0.6904761904761905,0.661105819152314,0.6904761904761905,0.6504744822501831,0.701946975973488
SVM,TFIDF_desc+location+persian,LOOCV,True,0.6691176470588235,0.6834388927984987,0.6691176470588235,0.6625310173697271,0.6997188581314879
XGBoost,TFIDF_description+username+full_name,LOOCV,False,0.719047619047619,0.7040351544344446,0.719047619047619,0.705043984251905,0.6992543496271749
LogReg,TFIDF_all_text+location+persian,KFold,False,0.7142857142857143,0.7030209933435739,0.7142857142857143,0.6651264959854567,0.6932477216238607
LogReg,TFIDF_all_text+location+persian,KFold,False,0.7142857142857143,0.7030209933435739,0.7142857142857143,0.6651264959854567,0.6932477216238607
LogReg,TFIDF_all_text+location+persian,KFold,True,0.6176470588235294,0.6180555555555556,0.6176470588235294,0.6173160173160173,0.6921496539792388
LogReg,TFIDF_all_text+location+persian,KFold,True,0.6176470588235294,0.6180555555555556,0.6176470588235294,0.6173160173160173,0.6921496539792388
RandomForest,TFIDF_all_text+location+persian,LOOCV,False,0.7238095238095238,0.7090388007054674,0.7238095238095238,0.7090852130325814,0.6916942833471417
XGBoost,TFIDF_description+username,LOOCV,False,0.7,0.6787634034257066,0.7,0.6783521385463134,0.6888980944490473
AdaBoost,TFIDF_description+username,LOOCV,False,0.7095238095238096,0.6889295571376497,0.7095238095238096,0.6809372637944068,0.688794531897266
AdaBoost,TFIDF_all_text+location+persian,KFold,False,0.680952380952381,0.6608019605357671,0.680952380952381,0.665049948218265,0.6866197183098591
AdaBoost,TFIDF_all_text+location+persian,KFold,False,0.680952380952381,0.6608019605357671,0.680952380952381,0.665049948218265,0.6866197183098591
LogReg,TFIDF_desc+location+persian,KFold,True,0.6617647058823529,0.6712454212454212,0.6617647058823529,0.6570175438596492,0.682742214532872
LogReg,TFIDF_desc+location+persian,KFold,True,0.6617647058823529,0.6712454212454212,0.6617647058823529,0.6570175438596492,0.682742214532872
SVM,TFIDF_description+username+full_name,LOOCV,False,0.6857142857142857,0.6592436974789916,0.6857142857142857,0.6590761090761091,0.6798363711681856
