iteration,n_experiments,mean_accuracy,mean_AUC,std_accuracy,max_accuracy
1,168,0.5299314139675586,0.41144655428746335,0.13698814432383025,1.0
2,120,0.5102364001460387,0.46264631160085706,0.09192031608935218,0.7228915662650602
3,336,0.591429580306699,0.5671935231138379,0.0762871796052022,1.0
4,476,0.7963481445209663,0.8023679203065968,0.032585147403093914,0.8690476190476191
