algorithm,feature_set,training_type,balanced,accuracy,precision,recall,F1,AUC
AdaBoost,TFIDF_all_text+location+persian,LOOCV,False,0.7285714285714285,0.7137469937469938,0.7285714285714285,0.7111156866540108,0.7210024855012428
SVM,TFIDF_all_text+location+persian,LOOCV,True,0.7279411764705882,0.7291802565775168,0.7279411764705882,0.7275729521953332,0.7543252595155708
AdaBoost,TFIDF_description+username+full_name,LOOCV,False,0.7238095238095238,0.7081919357781428,0.7238095238095238,0.6953030092270598,0.7438898094449047
RandomForest,TFIDF_all_text+location+persian,LOOCV,False,0.7238095238095238,0.7090388007054674,0.7238095238095238,0.7090852130325814,0.6916942833471417
XGBoost,TFIDF_description+username+full_name,LOOCV,False,0.719047619047619,0.7040351544344446,0.719047619047619,0.705043984251905,0.6992543496271749
LogReg,TFIDF_all_text+location+persian,KFold,False,0.7142857142857143,0.7030209933435739,0.7142857142857143,0.6651264959854567,0.6932477216238607
LogReg,TFIDF_all_text+location+persian,KFold,False,0.7142857142857143,0.7030209933435739,0.7142857142857143,0.6651264959854567,0.6932477216238607
AdaBoost,TFIDF_description+username,LOOCV,False,0.7095238095238096,0.6889295571376497,0.7095238095238096,0.6809372637944068,0.688794531897266
AdaBoost,TFIDF_description+full_name,LOOCV,False,0.7095238095238096,0.7261932652795597,0.7095238095238096,0.6344690525614813,0.4885045567522784
LogReg,TFIDF_description+full_name,LOOCV,False,0.7047619047619048,0.7323809523809525,0.7047619047619048,0.6200287042392305,0.5774647887323944
XGBoost,TFIDF_desc+location+persian,LOOCV,False,0.7047619047619048,0.6948412698412699,0.7047619047619048,0.6410355368996227,0.5504349627174814
XGBoost,TFIDF_description+username,LOOCV,False,0.7,0.6787634034257066,0.7,0.6783521385463134,0.6888980944490473
LogReg,TFIDF_description+username+full_name,LOOCV,False,0.7,0.6798689846308893,0.7,0.6420856105095217,0.6785418392709197
LogReg,TFIDF_description+username,LOOCV,False,0.6952380952380952,0.6733300264550264,0.6952380952380952,0.6294560380899331,0.6649751449875725
XGBoost,TFIDF_description+full_name,LOOCV,False,0.6952380952380952,0.6711779448621554,0.6952380952380952,0.6341521931883377,0.4974109362054681
LogReg,TFIDF_description+username+full_name,KFold,False,0.6952380952380952,0.6711779448621554,0.6952380952380952,0.6341521931883377,0.6676677713338857
LogReg,TFIDF_description+username+full_name,KFold,False,0.6952380952380952,0.6711779448621554,0.6952380952380952,0.6341521931883377,0.6676677713338857
AdaBoost,TFIDF_description,LOOCV,False,0.6904761904761905,0.6749766146751072,0.6904761904761905,0.6046818296716214,0.2329121789560895
DecisionTree,TFIDF_description+full_name,LOOCV,False,0.6904761904761905,0.6603336986968701,0.6904761904761905,0.6351136199160514,0.481255178127589
LogReg,TFIDF_all_text+location+persian,LOOCV,False,0.6904761904761905,0.661105819152314,0.6904761904761905,0.6504744822501831,0.701946975973488
