username,display_name_en,description_en,location,followers_count,following_count,statuses_count,manual_locals_vs_diaspora,display_name,description,verified,created_at,url,profile_image_url,profile_banner_url,predicted_class,prob_0,prob_1,prob_2,confidence_level,uncertainty_score,manual_target_population
abbasmowzoon,Abbas_Mowzoon,Researcher Author Director Producer,,15000.0,0.0,390.0,,Abbas_Mowzoon,Researcher Author Director Producer,False,April 2021,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,0.3232444584450304,0.3387430022598088,0.3380125392951606,0.3387430022598088,0.6612569977401912,1.0
__injaneb96,ثنا ابراهیمی | Sana Ebrahimi,"A PhD candidate passionate about politics, fighting Islamists and terrorists. A retweet is not an endorsement. Opinions are mine.",,145400.0,837.0,5593.0,1,ثنا ابراهیمی | Sana Ebrahimi,"A PhD candidate passionate about politics, fighting Islamists and terrorists. A retweet is not an endorsement. Opinions are mine.",False,March 2019,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,0.317568145149927,0.3266431861101558,0.3557886687399172,0.3557886687399172,0.6442113312600828,1.0
__shim__shim,Sh!m@,,NY,5769.0,523.0,,0,Sh!m@,,False,September 2017,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,0.317568145149927,0.3266431861101558,0.3557886687399172,0.3557886687399172,0.6442113312600828,1.0
_ipesarekhob,پِسَرِ خوبْ,,,899.0,1056.0,3112.0,1,پِسَرِ خوبْ,,False,August 2022,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,0.317568145149927,0.3266431861101558,0.3557886687399172,0.3557886687399172,0.6442113312600828,1.0
_amiir_75,amiir,just be real,istanbull,140.0,1333.0,1337.0,0,amiir,just be real,False,July 2024,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,0.317568145149927,0.3266431861101558,0.3557886687399172,0.3557886687399172,0.6442113312600828,1.0
_ali_najjar_,علی نجار,او از پیروان م ح م د بن حسن بود,کهکشان راه شیری ، دست چپ,770.0,890.0,4161.0,1,علی نجار,او از پیروان م ح م د بن حسن بود,False,December 2018,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,0.317568145149927,0.3266431861101558,0.3557886687399172,0.3557886687399172,0.6442113312600828,1.0
_aliemili_,Ali Emili,کد می‌نویسم، گیتار الکتریک میزنم، دو خط کتاب می‌خونم و فیلم و سریال می‌بینم، یه ورزشی‌ام می‌کنم و اینا، انگلیسی و آلمانی می‌خونم، اسم اینارو فعلا گذاشتم هویت.,,9.0,132.0,87.0,1,Ali Emili,کد می‌نویسم، گیتار الکتریک میزنم، دو خط کتاب می‌خونم و فیلم و سریال می‌بینم، یه ورزشی‌ام می‌کنم و اینا، انگلیسی و آلمانی می‌خونم، اسم اینارو فعلا گذاشتم هویت.,False,December 2025,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,0.317568145149927,0.3266431861101558,0.3557886687399172,0.3557886687399172,0.6442113312600828,1.0
_h_o_o_r_,sina,Intl Law UT  | عشق ایران در سرش، همچو من.,IRAN,113.0,41.0,116.0,1,sina,Intl Law UT  | عشق ایران در سرش، همچو من.,False,August 2018,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,0.317568145149927,0.3266431861101558,0.3557886687399172,0.3557886687399172,0.6442113312600828,1.0
_angry_n___,i N !,تا اطلاع ثانوی فقط #زن_زندگی_آزادی,!,149.0,160.0,4797.0,1,i N !,تا اطلاع ثانوی فقط #زن_زندگی_آزادی,False,October 2015,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,0.317568145149927,0.3266431861101558,0.3557886687399172,0.3557886687399172,0.6442113312600828,1.0
_atefehshams_,عاطفه شمس,روزنامه‌نگار,,4.0,50.0,0.0,1,عاطفه شمس,روزنامه‌نگار,False,August 2025,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,0.317568145149927,0.3266431861101558,0.3557886687399172,0.3557886687399172,0.6442113312600828,1.0
_irani_mohammad,MhmmdShajarian,,,8.0,1774.0,58.0,2,MhmmdShajarian,,False,December 2020,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,0.317568145149927,0.3266431861101558,0.3557886687399172,0.3557886687399172,0.6442113312600828,1.0
_iweni,🌚🤍,بُگذار گُم‌ شَوَم دَر تو ...,,80.0,370.0,96.0,1,🌚🤍,بُگذار گُم‌ شَوَم دَر تو ...,False,May 2022,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,0.317568145149927,0.3266431861101558,0.3557886687399172,0.3557886687399172,0.6442113312600828,1.0
_iwftw,𐰯𐱃𐰢𐰚|فآطِمِ🎋,ایسته‌سن یاندیر یانماغا آلیشاریق کول اولوب یئنیدن دوغولاریق سونرا..,Təbrizli-,1216.0,819.0,4248.0,1,𐰯𐱃𐰢𐰚|فآطِمِ🎋,ایسته‌سن یاندیر یانماغا آلیشاریق کول اولوب یئنیدن دوغولاریق سونرا..,False,March 2023,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,0.317568145149927,0.3266431861101558,0.3557886687399172,0.3557886687399172,0.6442113312600828,1.0
_fatemeramezani,فاطم‌ه,,,9.0,24.0,540.0,1,فاطم‌ه,,False,March 2021,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,0.317568145149927,0.3266431861101558,0.3557886687399172,0.3557886687399172,0.6442113312600828,1.0
_freeeagle_,Free eagle,سجل انا عربي,,138.0,213.0,2333.0,1,Free eagle,سجل انا عربي,False,August 2014,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,0.317568145149927,0.3266431861101558,0.3557886687399172,0.3557886687399172,0.6442113312600828,1.0
_ghazaltaleb,Ghazal,,,13.0,47.0,3115.0,2,Ghazal,,False,February 2020,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,0.317568145149927,0.3266431861101558,0.3557886687399172,0.3557886687399172,0.6442113312600828,1.0
alpacinoih,alpacino,alpacino,,40.0,149.0,1261.0,2,alpacino,alpacino,False,August 2018,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,0.317568145149927,0.3266431861101558,0.3557886687399172,0.3557886687399172,0.6442113312600828,1.0
2000mhac,محمدحسین امینایی,,,1.0,20.0,0.0,1,محمدحسین امینایی,,False,November 2025,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,0.317568145149927,0.3266431861101558,0.3557886687399172,0.3557886687399172,0.6442113312600828,1.0
2017siyasi,Dr siyasi,,,206.0,306.0,6949.0,2,Dr siyasi,,False,March 2017,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,0.317568145149927,0.3266431861101558,0.3557886687399172,0.3557886687399172,0.6442113312600828,1.0
20lincoln20,tohid2001,جمهوری خواه-سکولار دموکرات,,4085.0,4396.0,2456.0,1,tohid2001,جمهوری خواه-سکولار دموکرات,False,September 2020,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,0.317568145149927,0.3266431861101558,0.3557886687399172,0.3557886687399172,0.6442113312600828,1.0
1meshmo,Mehdi.Sharifi.Mo.,,ایران,107.0,550.0,1311.0,1,Mehdi.Sharifi.Mo.,,False,March 2015,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,0.317568145149927,0.3266431861101558,0.3557886687399172,0.3557886687399172,0.6442113312600828,1.0
1pezeshk_plus,«یک پزشک» پلاس,اکانت توییتر وابسته به سایت «یک پزشک»، برای بازتاب تازه‌ترین اخبار در زمینه دانش، فرهنگ، پزشکی و ورزش.,Islamic Republic of Iran,233.0,740.0,4.0,1,«یک پزشک» پلاس,اکانت توییتر وابسته به سایت «یک پزشک»، برای بازتاب تازه‌ترین اخبار در زمینه دانش، فرهنگ، پزشکی و ورزش.,False,July 2016,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,0.317568145149927,0.3266431861101558,0.3557886687399172,0.3557886687399172,0.6442113312600828,1.0
_mahdiyar313,علی اکبر رائفی پور,یک انقلابی بی‌زار از چپ و راست /جبهه صبح ایران/ ریتوییت به معنای تایید نیست,۱:۲۰,149500.0,1054.0,6124.0,1,علی اکبر رائفی پور,یک انقلابی بی‌زار از چپ و راست /جبهه صبح ایران/ ریتوییت به معنای تایید نیست,False,November 2022,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,0.317568145149927,0.3266431861101558,0.3557886687399172,0.3557886687399172,0.6442113312600828,1.0
_mehrabooon,مهربوون,متعهد به عشق جان,آنجا که دل خوش است,2336.0,2501.0,1681.0,1,مهربوون,متعهد به عشق جان,False,January 2021,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,0.317568145149927,0.3266431861101558,0.3557886687399172,0.3557886687399172,0.6442113312600828,1.0
_mohammad_1987_,Mohammad Mohammadi,جاوید ایران زمین ؛ زنده باد آزادی,"Tehran, iran",0.0,5.0,1.0,1,Mohammad Mohammadi,جاوید ایران زمین ؛ زنده باد آزادی,False,March 2024,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,0.317568145149927,0.3266431861101558,0.3557886687399172,0.3557886687399172,0.6442113312600828,1.0
_mriyim_,مریمم🦋,:)))),,131.0,114.0,1.0,1,مریمم🦋,:)))),False,April 2023,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,0.317568145149927,0.3266431861101558,0.3557886687399172,0.3557886687399172,0.6442113312600828,1.0
2_rebelgirl,Rebel girl,« نه سلطنت، نه رهبری، نه ارتجاع رجوی »        لیبرال,,1399.0,1004.0,9779.0,1,Rebel girl,« نه سلطنت، نه رهبری، نه ارتجاع رجوی »        لیبرال,False,February 2025,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,0.317568145149927,0.3266431861101558,0.3557886687399172,0.3557886687399172,0.6442113312600828,1.0
