keyword,poi_name,Twitter_username,Twitter_url,source_folder
Iran activist,Execution of Majid Kazemi,1500tasvir,https://x.com/1500tasvir,iranian_activists
Iran candidate,まゆみん,2011,https://x.com/2011,Candidates
Iran writer,Mehrdad Afsari,2011,https://x.com/2011,iranian_writers
Iran candidate,2012 ABC,2012,https://x.com/2012,Candidates
Iran writer,Behdad Sami,2012,https://x.com/2012,iranian_writers
Iran actor,Michael Shahrestani,2015,https://x.com/2015,iranian_actors
Iran candidate,,2015,https://x.com/2015,Candidates
Iran film actor,Michael Shahrestani,2015,https://x.com/2015,iranian_film_actors
Iran president,Joint Comprehensive Plan of Action,2015,https://x.com/2015,presidents_of_iran
Iran president,Reactions to the Joint Comprehensive Plan of Action,2015,https://x.com/2015,presidents_of_iran
Iran writer,Michael Shahrestani,2015,https://x.com/2015,iranian_writers
Iran activist,Iran hostage crisis,2016,https://x.com/2016,iranian_activists
Iran candidate,2016,2016,https://x.com/2016,Candidates
Iran president,Criticism of the Joint Comprehensive Plan of Action,2016,https://x.com/2016,presidents_of_iran
Iran candidate,Sam Beck,2017,https://x.com/2017,Candidates
Iran president,Aftermath of the Joint Comprehensive Plan of Action,2017,https://x.com/2017,presidents_of_iran
Iran activist,Azadeh Shafiq,2020,https://x.com/2020,iranian_activists
Iran activist,Mahsa Amini protests,2022,https://x.com/2022,iranian_activists
Iran candidate,,2022,https://x.com/2022,Candidates
Iran president,Mahsa Amini protests,2022,https://x.com/2022,presidents_of_iran
Iran writer,Ela (Andromache song),2022,https://x.com/2022,iranian_writers
Iran activist,Iran–Israel proxy conflict,2023,https://x.com/2023,iranian_activists
Iran actor,Arian Moayed,2023,https://x.com/2023,iranian_actors
Iran actor,Manouchehr Farid,2023,https://x.com/2023,iranian_actors
Iran candidate,,2023,https://x.com/2023,Candidates
Iran film actor,Manouchehr Farid,2023,https://x.com/2023,iranian_film_actors
Iran television actor,Arian Moayed,2023,https://x.com/2023,iranian_television_actors
Iran writer,Arian Moayed,2023,https://x.com/2023,iranian_writers
Iran actor,Sahel Rosa,21Sahel,https://x.com/21Sahel,iranian_actors
Iran candidate,サヘルローズ,21Sahel,https://x.com/21Sahel,Candidates
Iran candidate,25Band,25BandMusic,https://x.com/25BandMusic,Candidates
Iran singer,25band,25BandMusic,https://x.com/25BandMusic,iranian_singers
Iran writer,25band,25BandMusic,https://x.com/25BandMusic,iranian_writers
Iran activist,Mohammad Mosaed,2mohammadmosaed,https://x.com/2mohammadmosaed,iranian_activists
Iran candidate,Mohammad Mosaed,2mohammadmosaed,https://x.com/2mohammadmosaed,Candidates
Iran journalist,Mohammad Mosaed,2mohammadmosaed,https://x.com/2mohammadmosaed,iranian_journalists
Iran writer,Mohammad Mosaed,2mohammadmosaed,https://x.com/2mohammadmosaed,iranian_writers
Iran activist,Masoud Shojaei,AEK_FC_OFFICIAL,https://x.com/AEK_FC_OFFICIAL,iranian_activists
Iran candidate,AEK F.C.,AEK_FC_OFFICIAL,https://x.com/AEK_FC_OFFICIAL,Candidates
Iran feminist,Masoud Shojaei,AEK_FC_OFFICIAL,https://x.com/AEK_FC_OFFICIAL,iranian_feminists
Iran football manager,Masoud Shojaei,AEK_FC_OFFICIAL,https://x.com/AEK_FC_OFFICIAL,iranian_football_managers
Iran footballer,Masoud Shojaei,AEK_FC_OFFICIAL,https://x.com/AEK_FC_OFFICIAL,iranian_footballers
Iran human rights activist,Masoud Shojaei,AEK_FC_OFFICIAL,https://x.com/AEK_FC_OFFICIAL,iranian_human_rights_activists
Iran footballer,Abdulaziz Nasari,ALDERBYSHOW,https://x.com/ALDERBYSHOW,iranian_footballers
Iran activist,Alireza Jafarzadeh,A_Jafarzadeh,https://x.com/A_Jafarzadeh,iranian_activists
Iran activist,Abdolhamid Ismaeelzahi,AbdolhamidNet,https://x.com/AbdolhamidNet,iranian_activists
Iran actor,Omid Abtahi,AbtahiOmid,https://x.com/AbtahiOmid,iranian_actors
Iran candidate,Omid Abtahi,AbtahiOmid,https://x.com/AbtahiOmid,Candidates
Iran activist,Adil Abdul-Mahdi,AdilAbdAlMahdi,https://x.com/AdilAbdAlMahdi,iranian_activists
Iran actor,Mahnaz Afshar,AfsharMahnaz,https://x.com/AfsharMahnaz,iranian_actors
Iran candidate,,AfsharMahnaz,https://x.com/AfsharMahnaz,Candidates
Iran film actor,Mahnaz Afshar,AfsharMahnaz,https://x.com/AfsharMahnaz,iranian_film_actors
Iran television actor,Mahnaz Afshar,AfsharMahnaz,https://x.com/AfsharMahnaz,iranian_television_actors
Iran candidate,Afshin Molavi,AfshinMolavi,https://x.com/AfshinMolavi,Candidates
Iran journalist,Afshin Molavi,AfshinMolavi,https://x.com/AfshinMolavi,iranian_journalists
Iran writer,Afshin Molavi,AfshinMolavi,https://x.com/AfshinMolavi,iranian_writers
Iran activist,Mahmoud Ahmadinejad,Ahmadinejad1956,https://x.com/Ahmadinejad1956,iranian_activists
Iran candidate,Mahmoud Ahmadinejad,Ahmadinejad1956,https://x.com/Ahmadinejad1956,Candidates
Iran president,Mahmoud Ahmadinejad,Ahmadinejad1956,https://x.com/Ahmadinejad1956,presidents_of_iran
Iran footballer,Mehdi Ghayedi,AlBayanSports,https://x.com/AlBayanSports,iranian_footballers
Iran candidate,Ali Azimi,AliAzimiMusic,https://x.com/AliAzimiMusic,Candidates
Iran singer,Ali Azimi,AliAzimiMusic,https://x.com/AliAzimiMusic,iranian_singers
Iran candidate,Yerlan Alimbayev,AlimbayevYerlan,https://x.com/AlimbayevYerlan,Candidates
Iran writer,Yerlan Alimbayev,AlimbayevYerlan,https://x.com/AlimbayevYerlan,iranian_writers
Iran activist,Pouya Bakhtiari,AlinejadMasih,https://x.com/AlinejadMasih,iranian_activists
Iran candidate,Alireza Talischi,Alirezatalischi,https://x.com/Alirezatalischi,Candidates
Iran pop singer,Alireza Talischi,Alirezatalischi,https://x.com/Alirezatalischi,iranian_pop_singers
Iran singer,Alireza Talischi,Alirezatalischi,https://x.com/Alirezatalischi,iranian_singers
Iran writer,Alireza Talischi,Alirezatalischi,https://x.com/Alirezatalischi,iranian_writers
Iran candidate,Amir Taheri,AmirTaheri4,https://x.com/AmirTaheri4,Candidates
Iran journalist,Amir Taheri,AmirTaheri4,https://x.com/AmirTaheri4,iranian_journalists
Iran writer,Amir Taheri,AmirTaheri4,https://x.com/AmirTaheri4,iranian_writers
Iran candidate,,AndrewNTDavis,https://x.com/AndrewNTDavis,Candidates
Iran healthcare,Maryam Lustberg,AndrewNTDavis,https://x.com/AndrewNTDavis,healthcare_in_iran
Iran physician,Maryam Lustberg,AndrewNTDavis,https://x.com/AndrewNTDavis,21st-century_iranian_physicians
Iran scientist,Maryam Lustberg,AndrewNTDavis,https://x.com/AndrewNTDavis,iranian_scientists
Iran writer,Maryam Lustberg,AndrewNTDavis,https://x.com/AndrewNTDavis,iranian_writers
Iran candidate,Anousheh Ansari,AnoushehAnsari,https://x.com/AnoushehAnsari,Candidates
Iran candidate,Arash Markazi,ArashMarkazi,https://x.com/ArashMarkazi,Candidates
Iran writer,Arash Markazi,ArashMarkazi,https://x.com/ArashMarkazi,iranian_writers
Iran wrestler,Ariya Daivari,AriyaDaivariWWE,https://x.com/AriyaDaivariWWE,iranian_wrestlers
Iran actor,Bahman Ghobadi,ArminGhobadi,https://x.com/ArminGhobadi,iranian_actors
Iran candidate,Armin Ghobadi Pasha,ArminGhobadi,https://x.com/ArminGhobadi,Candidates
Iran film actor,Bahman Ghobadi,ArminGhobadi,https://x.com/ArminGhobadi,iranian_film_actors
Iran writer,Bahman Ghobadi,ArminGhobadi,https://x.com/ArminGhobadi,iranian_writers
Iran activist,Arzhang Davoodi,ArzhangDavoodi,https://x.com/ArzhangDavoodi,iranian_activists
Iran dissident,Arzhang Davoodi,ArzhangDavoodi,https://x.com/ArzhangDavoodi,iranian_dissidents
Iran candidate,Ash Koosha,AshKoosha,https://x.com/AshKoosha,Candidates
Iran singer,Ashkan Kooshanejad,AshKoosha,https://x.com/AshKoosha,iranian_singers
Iran writer,Ashkan Kooshanejad,AshKoosha,https://x.com/AshKoosha,iranian_writers
Iran candidate,Fadaei,AshkanFadaei,https://x.com/AshkanFadaei,Candidates
Iran rapper,Fadaei,AshkanFadaei,https://x.com/AshkanFadaei,iranian_rappers
Iran singer,Fadaei,AshkanFadaei,https://x.com/AshkanFadaei,iranian_singers
Iran candidate,Azadeh Ensha,AzadehEnsha,https://x.com/AzadehEnsha,Candidates
Iran writer,Azadeh Ensha,AzadehEnsha,https://x.com/AzadehEnsha,iranian_writers
Iran candidate,Kasra Naji,BBCKasraNaji,https://x.com/BBCKasraNaji,Candidates
