Row_Number,keyword,poi_name,Twitter_username,Twitter_url,source_folder,Twitter_status,Wikipedia_Link
143,Iran candidate,Mona Borzouei,monaborzouei,https://x.com/monaborzouei,iranian_writers,active,https://en.wikipedia.org/wiki/Mona_Borzouei
144,Iran scientist,Morteza Mahmoudi,morimahmoudi,https://x.com/morimahmoudi,iranian_scientists,active,https://en.wikipedia.org/wiki/Morteza_Mahmoudi
145,Iran writer,Haloo,mr_halloo,https://x.com/mr_halloo,iranian_writers,active,https://en.wikipedia.org/wiki/Haloo
146,Iran candidate,Mohammad Saleh Zarepour,mszarepour,https://x.com/mszarepour,Candidates,active,https://en.wikipedia.org/wiki/Mohammad_Saleh_Zarepour
147,Iran singer,Delara (singer),music,https://x.com/music,iranian_singers,active,https://en.wikipedia.org/wiki/Delara_%28singer%29
148,Iran economist,Nader Habibi,naderhabibi2,https://x.com/naderhabibi2,iranian_economists,active,https://en.wikipedia.org/wiki/Nader_Habibi
149,Iran candidate,Hamid Naderi Yeganeh,naderi_yeganeh,https://x.com/naderi_yeganeh,Candidates,active,https://en.wikipedia.org/wiki/Hamid_Naderi_Yeganeh
150,Iran actor,Abbas Amiri Moghaddam,,https://x.com/nan,iranian_actors,missing,https://en.wikipedia.org/wiki/Abbas_Amiri_Moghaddam
151,Iran candidate,Negin Shiraghaei,neginsh,https://x.com/neginsh,iranian_journalists,active,https://en.wikipedia.org/wiki/Negin_Shiraghaei
152,Iran economist,Sadeq Khalilian,news,https://x.com/news,iranian_economists,active,https://en.wikipedia.org/wiki/Sadeq_Khalilian
153,Iran writer,Kasra Nouri,nouri_kasra,https://x.com/nouri_kasra,iranian_writers,active,https://en.wikipedia.org/wiki/Kasra_Nouri
154,Iran actor,Parsa Pirouzfar,parsapirouzfar,https://x.com/parsapirouzfar,iranian_actors,active,https://en.wikipedia.org/wiki/Parsa_Pirouzfar
155,Iran candidate,Nasser Paydar,paydar,https://x.com/paydar,Candidates,active,https://en.wikipedia.org/wiki/Nasser_Paydar
156,Iran actor,Payman Maadi,paymanmaadi,https://x.com/paymanmaadi,iranian_actors,active,https://en.wikipedia.org/wiki/Payman_Maadi
157,Iran actor,Pegah Ferydoni,pepepito1983,https://x.com/pepepito1983,iranian_actors,active,https://en.wikipedia.org/wiki/Pegah_Ferydoni
158,Iran actor,Shahab Hosseini,platform,https://x.com/platform,iranian_actors,active,https://en.wikipedia.org/wiki/Shahab_Hosseini
159,Iran actor,Pooneh Hajimohammadi,poonehhm,https://x.com/poonehhm,iranian_actors,active,https://en.wikipedia.org/wiki/Pooneh_Hajimohammadi
160,Iran candidate,Pouria Zeraati,pouriazeraati,https://x.com/pouriazeraati,iranian_journalists,active,https://en.wikipedia.org/wiki/Pouria_Zeraati
161,Iran football manager,Seyed Pendar Toufighi,ptofighi,https://x.com/ptofighi,iranian_football_managers,active,https://en.wikipedia.org/wiki/Seyed_Pendar_Toufighi
162,Iran ayatollah,Ebrahim Raisi,raisi_com,https://x.com/raisi_com,iranian_ayatollahs,active,https://en.wikipedia.org/wiki/Ebrahim_Raisi
163,Iran actor,Rambod Javan,rambodjavan1,https://x.com/rambodjavan1,iranian_actors,active,https://en.wikipedia.org/wiki/Rambod_Javan
164,Iran actor,Ramin Karimloo,raminkarimloo,https://x.com/raminkarimloo,iranian_actors,active,https://en.wikipedia.org/wiki/Ramin_Karimloo
165,Iran actor,Reyhaneh Parsa,reyparsa,https://x.com/reyparsa,iranian_actors,active,https://en.wikipedia.org/wiki/Reyhaneh_Parsa
166,Iran candidate,Roozbeh Azar,roozbeh_azar,https://x.com/roozbeh_azar,Candidates,active,https://en.wikipedia.org/wiki/Roozbeh_Azar
167,Iran candidate,Saghi Ghahraman,saghi_ghahraman,https://x.com/saghi_ghahraman,iranian_activists,active,https://en.wikipedia.org/wiki/Saghi_Ghahraman
168,Iran actor,Sahar Dolatshahi,sahardolatshahi,https://x.com/sahardolatshahi,iranian_actors,active,https://en.wikipedia.org/wiki/Sahar_Dolatshahi
169,Iran actor,Shahram Haghighat Doost,shahram_hds,https://x.com/shahram_hds,iranian_actors,active,https://en.wikipedia.org/wiki/Shahram_Haghighat_Doost
170,Iran candidate,SHAKILA,shakilamusic,https://x.com/shakilamusic,iranian_singers,active,https://en.wikipedia.org/wiki/Shakila
171,Iran candidate,Hassan Shamaizadeh,shamaizadeh,https://x.com/shamaizadeh,iranian_singers,active,https://en.wikipedia.org/wiki/Hassan_Shamaizadeh
172,Iran candidate,Shaya Goldoust,shayagoldoust,https://x.com/shayagoldoust,iranian_journalists,active,https://en.wikipedia.org/wiki/Shaya_Goldoust
173,Iran actor,Shiva Negar,shivanegar,https://x.com/shivanegar,iranian_actors,active,https://en.wikipedia.org/wiki/Shiva_Negar
174,Iran actor,Siamak Ansari,siamakansarii,https://x.com/siamakansarii,iranian_actors,active,https://en.wikipedia.org/wiki/Siamak_Ansari
175,Iran candidate,Sirvan Khosravi,sirvan_khosravi,https://x.com/sirvan_khosravi,iranian_actors,active,https://en.wikipedia.org/wiki/Sirvan_Khosravi
176,Iran singer,Sonita Alizadeh,sonitaalizadeh,https://x.com/sonitaalizadeh,iranian_singers,active,https://en.wikipedia.org/wiki/Sonita_Alizadeh
177,Iran candidate,Sepideh Raissadat,sraissadat,https://x.com/sraissadat,iranian_singers,active,https://en.wikipedia.org/wiki/Sepideh_Raissadat
178,Iran candidate,Dan Ahdoot,standupdan,https://x.com/standupdan,iranian_comedians,active,https://en.wikipedia.org/wiki/Dan_Ahdoot
179,Iran actor,Taraneh Alidoosti,t_alidoosti,https://x.com/t_alidoosti,iranian_actors,active,https://en.wikipedia.org/wiki/Taraneh_Alidoosti
180,Iran actor,Tala Ashe,talaashe,https://x.com/talaashe,iranian_actors,active,https://en.wikipedia.org/wiki/Tala_Ashe
181,Iran candidate,Tara Aghdashloo,taraaghdashloo,https://x.com/taraaghdashloo,iranian_journalists,active,https://en.wikipedia.org/wiki/Tara_Aghdashloo
182,Iran candidate,Amir Tataloo,tatalioo,https://x.com/tatalioo,iranian_singers,active,https://en.wikipedia.org/wiki/Amir_Tataloo
183,Iran candidate,The Iron Sheik,the_ironsheik,https://x.com/the_ironsheik,iranian_actors,active,https://en.wikipedia.org/wiki/The_Iron_Sheik
184,Iran actor,Nazanin Mandi,thirst,https://x.com/thirst,iranian_actors,active,https://en.wikipedia.org/wiki/Nazanin_Mandi
185,Iran actor,Phoenix Raei,title,https://x.com/title,iranian_actors,active,https://en.wikipedia.org/wiki/Phoenix_Raei
186,Iran actor,Ardalan Esmaili,tudum,https://x.com/tudum,iranian_actors,active,https://en.wikipedia.org/wiki/Ardalan_Esmaili
187,Iran actor,Baba Ali,ummahfilms,https://x.com/ummahfilms,iranian_actors,active,https://en.wikipedia.org/wiki/Baba_Ali
188,Iran candidate,Vali Nasr,vali_nasr,https://x.com/vali_nasr,iranian_scientists,active,https://en.wikipedia.org/wiki/Vali_Nasr
189,Iran writer,Ahoo Daryaei,world,https://x.com/world,iranian_writers,active,https://en.wikipedia.org/wiki/Ahoo_Daryaei
190,Iran candidate,Yashar Ali,yashar,https://x.com/yashar,iranian_journalists,active,https://en.wikipedia.org/wiki/Yashar_Ali
191,Iran candidate,Zhubin Parang,zhubinparang,https://x.com/zhubinparang,iranian_actors,active,https://en.wikipedia.org/wiki/Zhubin_Parang
192,Iran candidate,Ash Koosha,AshKoosha,https://x.com/AshKoosha,iranian_actors,active,https://en.wikipedia.org/wiki/Kamshad_Kooshan
193,Iran candidate,CameliaEntekhabifard,CameliaFard,https://x.com/CameliaFard,iranian_journalists,active,https://en.wikipedia.org/wiki/Camelia_Entekhabifard
194,Iran candidate,Firouz M. Naderi,Firouz_Naderi,https://x.com/Firouz_Naderi,Candidates,active,https://en.wikipedia.org/wiki/Firouz_Naderi
195,Iran candidate,Roxana Moslehi (رکسانا مصلحی),Genomicien,https://x.com/Genomicien,Candidates,active,https://en.wikipedia.org/wiki/Roxana_Moslehi
196,Iran candidate,Seyed Mohammad Ali Hosseini,HossainiSma,https://x.com/HossainiSma,iranian_politicians,active,https://en.wikipedia.org/wiki/Mohammad_Ali_Hosseini
197,Iran candidate,Jason Reza Jorjani,Jason_Jorjani,https://x.com/Jason_Jorjani,iranian_journalists,active,https://en.wikipedia.org/wiki/Jason_Jorjani
198,Iran candidate,MehdiKhalaji,MehdiKhalaji,https://x.com/MehdiKhalaji,iranian_journalists,active,https://en.wikipedia.org/wiki/Mehdi_Khalaji
199,Iran candidate,Nazanin Afshin-Jam MacKay,NazaninAJ,https://x.com/NazaninAJ,iranian_singers,active,https://en.wikipedia.org/wiki/Nazanin_Afshin-Jam
200,Iran candidate,Reza Pahlavi,PahlaviReza,https://x.com/PahlaviReza,Candidates,active,https://en.wikipedia.org/wiki/Reza_Taghavi
