keyword,poi_name,Twitter_username,Twitter_url,source_folder,Wikipedia_Link,Wikipedia_Link_API,Wikipedia_Title_API
Iran candidate,Әлия  Назарбаева,aliyanazarbaeva,https://x.com/aliyanazarbaeva,Candidates,,https://en.wikipedia.org/wiki/Aliya_Nazarbayeva,Aliya Nazarbayeva
Iran candidate,Arash Sobhani آرش سبحانی,arash_sobhani,https://x.com/arash_sobhani,Candidates,,https://en.wikipedia.org/wiki/Arash_Sobhani,Arash Sobhani
Iran candidate,Arthur Bullard,art,https://x.com/art,Candidates,,https://en.wikipedia.org/wiki/Arthur_Bullard_Newton,Arthur Bullard Newton
Iran candidate,asa,asa,https://x.com/asa,Candidates,,https://en.wikipedia.org/wiki/ASA,ASA
Iran candidate,عصر مجلس,asre_majles,https://x.com/asre_majles,Candidates,,https://en.wikipedia.org/wiki/Marand,Marand
Iran candidate,,cache,https://x.com/cache,Candidates,,,
Iran candidate,ديالا مكي,dialamakki,https://x.com/dialamakki,Candidates,,,
Iran candidate,حجت الله عبدالملکی,dr_abdolmaleki,https://x.com/dr_abdolmaleki,Candidates,,,
Iran candidate,حسین صمصامی,dr_hsamsami,https://x.com/dr_hsamsami,Candidates,,https://en.wikipedia.org/wiki/Hossein_Samsami,Hossein Samsami
Iran candidate,Mohammad Sharif Malekzadeh | محمدشریف ملک زاده,drmalekzadeh2,https://x.com/drmalekzadeh2,Candidates,,,
Iran candidate,Elina Valtonen,elinavaltonen,https://x.com/elinavaltonen,Candidates,,https://en.wikipedia.org/wiki/Elina_Valtonen,Elina Valtonen
Iran candidate,enちゃん,en,https://x.com/en,Candidates,,https://en.wikipedia.org/wiki/CrystalDiskMark,CrystalDiskMark
Iran candidate,Fatemeh Ekhtesari فاطمه اختصاری,fatemeekhtesari,https://x.com/fatemeekhtesari,Candidates,,https://en.wikipedia.org/wiki/Fateme_Ekhtesari,Fateme Ekhtesari
Iran candidate,Tajikistan Football,fft_official,https://x.com/fft_official,Candidates,,https://en.wikipedia.org/wiki/Tajikistan_national_football_team,Tajikistan national football team
Iran candidate,حمید رسایی,hamidrasaee,https://x.com/hamidrasaee,Candidates,,https://en.wikipedia.org/wiki/Hamid_Rasaee,Hamid Rasaee
Iran candidate,عبدالرضا هلالی,helalireza,https://x.com/helalireza,Candidates,,https://en.wikipedia.org/wiki/Abdolreza_Helali,Abdolreza Helali
Iran candidate,محمدرضا عارف,ir_aref,https://x.com/ir_aref,Candidates,,https://en.wikipedia.org/wiki/Mohammad_Reza_Aref,Mohammad Reza Aref
Iran candidate,ISSUES,issues,https://x.com/issues,Candidates,,https://en.wikipedia.org/wiki/Issue,Issue
Iran candidate,,journal,https://x.com/journal,Candidates,,,
Iran candidate,La Biennale di Venezia,la_Biennale,https://x.com/la_Biennale,Candidates,,https://en.wikipedia.org/wiki/Venice_Biennale,Venice Biennale
Iran candidate,La Toya Jackson,latoyajackson,https://x.com/latoyajackson,Candidates,,https://en.wikipedia.org/wiki/La_Toya_Jackson,La Toya Jackson
Iran candidate,تلویزیون منوتو,manototv,https://x.com/manototv,Candidates,,https://en.wikipedia.org/wiki/Manoto,Manoto
Iran candidate,M.H. Ansari,mhhansari,https://x.com/mhhansari,Candidates,,https://en.wikipedia.org/wiki/Mohammad_Hamid_Ansari,Mohammad Hamid Ansari
Iran candidate,mumspr,mumspr,https://x.com/mumspr,Candidates,,,
Iran activist,10th Armoured Division (Iraq),,https://x.com/nan,iranian_activists,https://en.wikipedia.org/wiki/10th_Armoured_Division_%28Iraq%29,https://en.wikipedia.org/wiki/10th_Division_%28Iraq%29,10th Division (Iraq)
Iran candidate,nazanin,nazaninarmanian,https://x.com/nazaninarmanian,Candidates,,https://en.wikipedia.org/wiki/Nazanin_Zaghari-Ratcliffe,Nazanin Zaghari-Ratcliffe
Iran candidate,n,nm,https://x.com/nm,Candidates,,https://en.wikipedia.org/wiki/N,N
Iran candidate,بیژن نوباوه وطن,nobave34909,https://x.com/nobave34909,Candidates,,,
Iran candidate,پیروز حناچی,pirouzhanachi,https://x.com/pirouzhanachi,Candidates,,https://en.wikipedia.org/wiki/Pirouz_Hanachi,Pirouz Hanachi
Iran candidate,ًًً,rezaaslan,https://x.com/rezaaslan,Candidates,,,
Iran candidate,رضا حقيقت‌نژاد,rezahn56,https://x.com/rezahn56,Candidates,,https://en.wikipedia.org/wiki/Reza_Haghighatnejad,Reza Haghighatnejad
Iran candidate,Reza Rohani Official,rezjazz,https://x.com/rezjazz,Candidates,,https://en.wikipedia.org/wiki/Reza_Rohani,Reza Rohani
Iran candidate,,rob_steele1,https://x.com/rob_steele1,Candidates,,,
Iran candidate,روح الله جمعه ای,roohallahj,https://x.com/roohallahj,Candidates,,https://en.wikipedia.org/wiki/Roohallah_Jomei,Roohallah Jomei
Iran candidate,『S』,s,https://x.com/s,Candidates,,https://en.wikipedia.org/wiki/S,S
Iran candidate,سعید محمد,saeid_mohammad_,https://x.com/saeid_mohammad_,Candidates,,https://en.wikipedia.org/wiki/Saeed_Mohammad,Saeed Mohammad
Iran candidate,,scientist,https://x.com/scientist,Candidates,,,
Iran candidate,شهاب‌الدين طباطبايى,shahabedin76,https://x.com/shahabedin76,Candidates,,https://en.wikipedia.org/wiki/Shahabeddin_Tabatabaei,Shahabeddin Tabatabaei
Iran candidate,,site,https://x.com/site,Candidates,,,
Iran candidate,Snoh,snohaalegra,https://x.com/snohaalegra,Candidates,,https://en.wikipedia.org/wiki/Snoh_Aalegra,Snoh Aalegra
Iran candidate,,solmazdaryani,https://x.com/solmazdaryani,Candidates,,,
Iran candidate,Stronger,stronger,https://x.com/stronger,Candidates,,https://en.wikipedia.org/wiki/Stronger,Stronger
Iran candidate,ТГМУ имени Абуали ибни Сино,tajmedun,https://x.com/tajmedun,Candidates,,https://en.wikipedia.org/wiki/Lolaniso_Ismailova,Lolaniso Ismailova
Iran candidate,,the,https://x.com/the,Candidates,,,
Iran candidate,thebest,thebest,https://x.com/thebest,Candidates,,https://en.wikipedia.org/wiki/Patras,Patras
Iran candidate,,university,https://x.com/university,Candidates,,,
Iran candidate,,vid,https://x.com/vid,Candidates,,,
Iran candidate,Zal,z_al,https://x.com/z_al,Candidates,,https://en.wikipedia.org/wiki/Z%C4%81l,Zāl
