Row_Number,poi_name,Twitter_username,Twitter_url,source_folder
235,islam,islam,https://x.com/islam,Candidates
252,madarandadkhah,madarandadkhah,https://x.com/madarandadkhah,Candidates
264,masoud.aghaie,masoud,https://x.com/masoud,Candidates
280,mumspr,mumspr,https://x.com/mumspr,Candidates
288,n,nm,https://x.com/nm,Candidates
285,nazanin,nazaninarmanian,https://x.com/nazaninarmanian,Candidates
119,porochista khakpour she/her پوروچیستا خاکپور,PKhakpour,https://x.com/PKhakpour,Candidates
351,thebest,thebest,https://x.com/thebest,Candidates
345,ТГМУ имени Абуали ибни Сино,tajmedun,https://x.com/tajmedun,Candidates
180,Әлия  Назарбаева,aliyanazarbaeva,https://x.com/aliyanazarbaeva,Candidates
86,اتاق خبر منوتو,ManotoNews,https://x.com/ManotoNews,Candidates
173,احمد زیدآبادی,Zeidabadi_Ahmad,https://x.com/Zeidabadi_Ahmad,Candidates
66,ايران اينترنشنال,IranIntl,https://x.com/IranIntl,Candidates
234,ایران وایر,iranwire,https://x.com/iranwire,Candidates
289,بیژن نوباوه وطن,nobave34909,https://x.com/nobave34909,Candidates
258,تلویزیون منوتو,manototv,https://x.com/manototv,Candidates
163,توانا Tavaana,Tavaana,https://x.com/Tavaana,Candidates
117,توماج صالحی,OfficialToomaj,https://x.com/OfficialToomaj,Candidates
202,حجت الله عبدالملکی,dr_abdolmaleki,https://x.com/dr_abdolmaleki,Candidates
225,حسن عباسی,hasan_abbasi,https://x.com/hasan_abbasi,Candidates
203,حسین صمصامی,dr_hsamsami,https://x.com/dr_hsamsami,Candidates
224,حمید رسایی,hamidrasaee,https://x.com/hamidrasaee,Candidates
201,ديالا مكي,dialamakki,https://x.com/dialamakki,Candidates
307,رضا حقيقت‌نژاد,rezahn56,https://x.com/rezahn56,Candidates
311,روح الله جمعه ای,roohallahj,https://x.com/roohallahj,Candidates
315,سعید محمد,saeid_mohammad_,https://x.com/saeid_mohammad_,Candidates
139,سلیمان پاک‌سرشت,S_Pakseresht,https://x.com/S_Pakseresht,Candidates
321,شهاب‌الدين طباطبايى,shahabedin76,https://x.com/shahabedin76,Candidates
323,شهرک اکباتان | Ekbatan,shahrak_ekbatan,https://x.com/shahrak_ekbatan,Candidates
175,عباس عبدی,abb_abdi,https://x.com/abb_abdi,Candidates
226,عبدالرضا هلالی,helalireza,https://x.com/helalireza,Candidates
188,عصر مجلس,asre_majles,https://x.com/asre_majles,Candidates
97,محمد فاضلی,Mfazeli114,https://x.com/Mfazeli114,Candidates
106,محمد نهاوندیان,Nahavandian_ir,https://x.com/Nahavandian_ir,Candidates
232,محمدرضا عارف,ir_aref,https://x.com/ir_aref,Candidates
277,محمدرضا عالی پیام,mr_Halloo,https://x.com/mr_Halloo,Candidates
83,مهدی رسولی,MahdiRasuli_ir,https://x.com/MahdiRasuli_ir,Candidates
306,ًًً,rezaaslan,https://x.com/rezaaslan,Candidates
296,پیروز حناچی,pirouzhanachi,https://x.com/pirouzhanachi,Candidates
113,کسری نوری,Nouri_Kasra,https://x.com/Nouri_Kasra,Candidates
219,کمیته پیگیری وضعیت بازداشت‌شدگان,followupiran,https://x.com/followupiran,Candidates
314,『S』,s,https://x.com/s,Candidates
1,まゆみん,2011,https://x.com/2011,Candidates
295,Ｐｅｒｓｉｓ,persismk,https://x.com/persismk,Candidates
