Category,Wikipedia count,Wikidata count,Twitter user count,Wikidata coverage (%),Twitter coverage (%),Wikidata gap,Twitter gap
19th-century_iranian_physicians,11,9,0,81.8,0.0,2,11
21st-century_iranian_physicians,26,26,5,100.0,19.2,0,21
Candidates,0,0,0,0.0,0.0,0,0
government_ministers_of_iran,462,444,20,96.1,4.3,18,442
healthcare_in_iran,428,396,15,92.5,3.5,32,413
hospitals_in_iran,26,25,0,96.2,0.0,1,26
iranian_actors,636,611,59,96.1,9.3,25,577
iranian_ayatollahs,214,205,7,95.8,3.3,9,207
iranian_cardiologists,5,5,0,100.0,0.0,0,5
iranian_economists,67,67,5,100.0,7.5,0,62
iranian_football_managers,205,200,6,97.6,2.9,5,199
iranian_physicians,237,217,8,91.6,3.4,20,229
iranian_scientists,1110,1036,58,93.3,5.2,74,1052
iranian_singers,277,243,53,87.7,19.1,34,224
iranian_women_physicians,18,18,3,100.0,16.7,0,15
iranian_writers,3688,3367,224,91.3,6.1,321,3464
medical_and_health_organisations_based_in_iran,115,110,3,95.7,2.6,5,112
medicine_in_iran,208,187,3,89.9,1.4,21,205
presidents_of_iran,247,222,19,89.9,7.7,25,228
private_hospitals_in_iran,4,4,0,100.0,0.0,0,4
teaching_hospitals_in_iran,4,4,0,100.0,0.0,0,4
vice_presidents_of_iran,80,77,6,96.2,7.5,3,74
TOTAL,8068,7473,494,92.6,6.1,595,7574
