keyword,poi_name,Twitter_username,Twitter_url,source_folder,twitter_lower,Wikipedia_Link
Iran activist,Hossein Mahini,HosseinMahini,https://x.com/HosseinMahini,iranian_activists,hosseinmahini,https://en.wikipedia.org/wiki/Hossein_Mahini
Iran activist,Hossein Ronaghi,HosseinRonaghi,https://x.com/HosseinRonaghi,iranian_activists,hosseinronaghi,https://en.wikipedia.org/wiki/Hossein_Ronaghi
Iran footballer,Hossein Kanaanizadegan,Hossein_kanaani,https://x.com/Hossein_kanaani,iranian_footballers,hossein_kanaani,https://en.wikipedia.org/wiki/Hossein_Kanaanizadegan
Iran wrestler,Hassan Yazdani,Hyazdani_CH,https://x.com/Hyazdani_CH,iranian_wrestlers,hyazdani_ch,https://en.wikipedia.org/wiki/Hassan_Yazdani
Iran activist,Ana Diamond,IAmAnaDiamond,https://x.com/IAmAnaDiamond,iranian_activists,iamanadiamond,https://en.wikipedia.org/wiki/Ana_Diamond
Iran activist,Ruhollah Zam,IBAHRI,https://x.com/IBAHRI,iranian_activists,ibahri,https://en.wikipedia.org/wiki/Ruhollah_Zam
Iran activist,Iran Human Rights,ICHRI,https://x.com/ICHRI,iranian_activists,ichri,https://en.wikipedia.org/wiki/Iran_Human_Rights
Iran activist,Mandana Khazraei,IranIntl,https://x.com/IranIntl,iranian_activists,iranintl,https://en.wikipedia.org/wiki/Mandana_Khazraei
Iran activist,Sheema Kalbasi,IranianWoman,https://x.com/IranianWoman,iranian_activists,iranianwoman,https://en.wikipedia.org/wiki/Sheema_Kalbasi
Iran activist,Kaveh Madani,KavehMadani,https://x.com/KavehMadani,iranian_activists,kavehmadani,https://en.wikipedia.org/wiki/Kaveh_Madani
Iran activist,Peshmerga,KurdistanWatch,https://x.com/KurdistanWatch,iranian_activists,kurdistanwatch,https://en.wikipedia.org/wiki/Peshmerga
Iran footballer,Daniel Arzani,LommelSKOff,https://x.com/LommelSKOff,iranian_footballers,lommelskoff,https://en.wikipedia.org/wiki/Daniel_Arzani
Iran activist,Al-Asad Airbase,LucasFoxNews,https://x.com/LucasFoxNews,iranian_activists,lucasfoxnews,https://en.wikipedia.org/wiki/Al-Asad_Airbase
Iran activist,Mehdi Kouchakzadeh,Mahdikouchakof,https://x.com/Mahdikouchakof,iranian_activists,mahdikouchakof,https://en.wikipedia.org/wiki/Mehdi_Kouchakzadeh
Iran activist,Majid Tavakoli,MajidTavakolii,https://x.com/MajidTavakolii,iranian_activists,majidtavakolii,https://en.wikipedia.org/wiki/Majid_Tavakoli
Iran footballer,Younes Masoudi,MasoudiYounes,https://x.com/MasoudiYounes,iranian_footballers,masoudiyounes,https://en.wikipedia.org/wiki/Younes_Masoudi
Iran activist,Mohammad Fazeli,Mfazeli114,https://x.com/Mfazeli114,iranian_activists,mfazeli114,https://en.wikipedia.org/wiki/Mohammad_Fazeli
Iran footballer,Niloofar Ardalan,NArdallan,https://x.com/NArdallan,iranian_footballers,nardallan,https://en.wikipedia.org/wiki/Niloofar_Ardalan
Iran activist,Western Iran clashes (2016–present),PDKIRAN,https://x.com/PDKIRAN,iranian_activists,pdkiran,https://en.wikipedia.org/wiki/Western_Iran_clashes_%282016%E2%80%93present%29
Iran footballer,Peyman Keshavarzi,Pey_keshavarzi,https://x.com/Pey_keshavarzi,iranian_footballers,pey_keshavarzi,https://en.wikipedia.org/wiki/Peyman_Keshavarzi
Iran activist,Kurdistan Freedom Party,PollaGarmiany,https://x.com/PollaGarmiany,iranian_activists,pollagarmiany,https://en.wikipedia.org/wiki/Kurdistan_Freedom_Party
Iran weightlifter,Hamed Solhipour,Powerlifting,https://x.com/Powerlifting,iranian_weightlifters,powerlifting,https://en.wikipedia.org/wiki/Hamed_Solhipour
Iran activist,Izzat Ibrahim al-Douri,RghadSaddam,https://x.com/RghadSaddam,iranian_activists,rghadsaddam,https://en.wikipedia.org/wiki/Izzat_Ibrahim_al-Douri
Iran footballer,Sardar Azmoun,SAzmoun,https://x.com/SAzmoun,iranian_footballers,sazmoun,https://en.wikipedia.org/wiki/Sardar_Azmoun
Iran activist,Farah Pahlavi,ShahbanouFarah,https://x.com/ShahbanouFarah,iranian_activists,shahbanoufarah,https://en.wikipedia.org/wiki/Farah_Pahlavi
Iran footballer,Jahon Rad,SportingKC,https://x.com/SportingKC,iranian_footballers,sportingkc,https://en.wikipedia.org/wiki/Jahon_Rad
Iran activist,Taraneh Javanbakht,T_Javanbakht,https://x.com/T_Javanbakht,iranian_activists,t_javanbakht,https://en.wikipedia.org/wiki/Taraneh_Javanbakht
Iran footballer,Peyman Hosseini,TeamMelliIran,https://x.com/TeamMelliIran,iranian_footballers,teammelliiran,https://en.wikipedia.org/wiki/Peyman_Hosseini
Iran footballer,Alireza Beiranvand,TheAFCCL,https://x.com/TheAFCCL,iranian_footballers,theafccl,https://en.wikipedia.org/wiki/Alireza_Beiranvand
Iran activist,Ali Akbar al-Modarresi,TheSayed,https://x.com/TheSayed,iranian_activists,thesayed,https://en.wikipedia.org/wiki/Ali_Akbar_al-Modarresi
Iran footballer,Omid Nazari,UFLphilippines,https://x.com/UFLphilippines,iranian_footballers,uflphilippines,https://en.wikipedia.org/wiki/Omid_Nazari
Iran activist,United Nations Commission on the Status of Women,UN_CSW,https://x.com/UN_CSW,iranian_activists,un_csw,https://en.wikipedia.org/wiki/United_Nations_Commission_on_the_Status_of_Women
Iran activist,Neighbourhood Youth Alliance of Iran,UYI_fa,https://x.com/UYI_fa,iranian_activists,uyi_fa,https://en.wikipedia.org/wiki/Neighbourhood_Youth_Alliance_of_Iran
Iran footballer,Hamed Hajimehdi,WeArePFL,https://x.com/WeArePFL,iranian_footballers,wearepfl,https://en.wikipedia.org/wiki/Hamed_Hajimehdi
Iran activist,Nasrin Sotoudeh,Wnicholasgomes,https://x.com/Wnicholasgomes,iranian_activists,wnicholasgomes,https://en.wikipedia.org/wiki/Nasrin_Sotoudeh
Iran activist,Ahmad Zeidabadi,Zeidabadi_Ahmad,https://x.com/Zeidabadi_Ahmad,iranian_activists,zeidabadi_ahmad,https://en.wikipedia.org/wiki/Ahmad_Zeidabadi
Iran activist,Ali-Akbar Raefipour,_Mahdiyar313,https://x.com/_Mahdiyar313,iranian_activists,_mahdiyar313,https://en.wikipedia.org/wiki/Ali-Akbar_Raefipour
Iran activist,Abbas Abdi,abb_abdi,https://x.com/abb_abdi,iranian_activists,abb_abdi,https://en.wikipedia.org/wiki/Abbas_Abdi
Iran footballer,Alireza Jahanbakhsh,alirezajb7,https://x.com/alirezajb7,iranian_footballers,alirezajb7,https://en.wikipedia.org/wiki/Alireza_Jahanbakhsh
Iran footballer,Shojae Khalilzadeh,alkasschannel,https://x.com/alkasschannel,iranian_footballers,alkasschannel,https://en.wikipedia.org/wiki/Shojae_Khalilzadeh
Iran activist,Farhad Meysami,amnesty,https://x.com/amnesty,iranian_activists,amnesty,https://en.wikipedia.org/wiki/Farhad_Meysami
Iran activist,Azar Majedi,azarmajedi,https://x.com/azarmajedi,iranian_activists,azarmajedi,https://en.wikipedia.org/wiki/Azar_Majedi
Iran activist,Execution of Seyyed Mohammad Hosseini,borhanimohsen1,https://x.com/borhanimohsen1,iranian_activists,borhanimohsen1,https://en.wikipedia.org/wiki/Execution_of_Seyyed_Mohammad_Hosseini
Iran activist,Baloch Students Organization,bso__azad,https://x.com/bso__azad,iranian_activists,bso__azad,https://en.wikipedia.org/wiki/Baloch_Students_Organization
Iran activist,Mahmudali Chehregani,cagricehreganli,https://x.com/cagricehreganli,iranian_activists,cagricehreganli,https://en.wikipedia.org/wiki/Mahmudali_Chehregani
Iran activist,Islamic State,cards,https://x.com/cards,iranian_activists,cards,https://en.wikipedia.org/wiki/Islamic_State
Iran activist,Hamed Esmaeilion,esmaeilion,https://x.com/esmaeilion,iranian_activists,esmaeilion,https://en.wikipedia.org/wiki/Hamed_Esmaeilion
Iran footballer,Sajjad Shahbazzadeh,fcesteghlaliran,https://x.com/fcesteghlaliran,iranian_footballers,fcesteghlaliran,https://en.wikipedia.org/wiki/Sajjad_Shahbazzadeh
Iran activist,Detainees of the Mahsa Amini protests,followupiran,https://x.com/followupiran,iranian_activists,followupiran,https://en.wikipedia.org/wiki/Detainees_of_the_Mahsa_Amini_protests
Iran footballer,Daniel Davari,gc_zuerich,https://x.com/gc_zuerich,iranian_footballers,gc_zuerich,https://en.wikipedia.org/wiki/Daniel_Davari
Iran activist,Habib Chaab,habibalkaabi1,https://x.com/habibalkaabi1,iranian_activists,habibalkaabi1,https://en.wikipedia.org/wiki/Habib_Chaab
Iran activist,Hassan Abbasi,hasan_abbasi,https://x.com/hasan_abbasi,iranian_activists,hasan_abbasi,https://en.wikipedia.org/wiki/Hassan_Abbasi
Iran activist,Bashar Rashid,hassaninmubarak,https://x.com/hassaninmubarak,iranian_activists,hassaninmubarak,https://en.wikipedia.org/wiki/Bashar_Rashid
Iran activist,Death sentences during the Mahsa Amini protests,hosseinbastani,https://x.com/hosseinbastani,iranian_activists,hosseinbastani,https://en.wikipedia.org/wiki/Death_sentences_during_the_Mahsa_Amini_protests
Iran activist,Mohammad Boroughani,iranintlbrk,https://x.com/iranintlbrk,iranian_activists,iranintlbrk,https://en.wikipedia.org/wiki/Mohammad_Boroughani
Iran activist,Baraye,iranwire,https://x.com/iranwire,iranian_activists,iranwire,https://en.wikipedia.org/wiki/Baraye
Iran activist,Mohammed Mahdi al-Bayati,iraqliveupdate,https://x.com/iraqliveupdate,iranian_activists,iraqliveupdate,https://en.wikipedia.org/wiki/Mohammed_Mahdi_al-Bayati
Iran activist,Jila Baniyaghoob,jilabani,https://x.com/jilabani,iranian_activists,jilabani,https://en.wikipedia.org/wiki/Jila_Baniyaghoob
Iran activist,Juliana Taimoorazy,jtaimoorazy,https://x.com/jtaimoorazy,iranian_activists,jtaimoorazy,https://en.wikipedia.org/wiki/Juliana_Taimoorazy
Iran footballer,Khosro Heydari,khosroheydari62,https://x.com/khosroheydari62,iranian_footballers,khosroheydari62,https://en.wikipedia.org/wiki/Khosro_Heydari
Iran wrestler,Execution of Navid Afkari,kingraam,https://x.com/kingraam,iranian_wrestlers,kingraam,https://en.wikipedia.org/wiki/Execution_of_Navid_Afkari
Iran activist,Lily Mazahery,lilymazahery,https://x.com/lilymazahery,iranian_activists,lilymazahery,https://en.wikipedia.org/wiki/Lily_Mazahery
Iran activist,Iranian Complainant Mothers,madarandadkhah,https://x.com/madarandadkhah,iranian_activists,madarandadkhah,https://en.wikipedia.org/wiki/Iranian_Complainant_Mothers
Iran activist,Nazila Maroufian,maroofian,https://x.com/maroofian,iranian_activists,maroofian,https://en.wikipedia.org/wiki/Nazila_Maroufian
Iran activist,Masih Alinejad,masih_alinejad,https://x.com/masih_alinejad,iranian_activists,masih_alinejad,https://en.wikipedia.org/wiki/Masih_Alinejad
Iran activist,Masoud Barzani,masoud_barzani,https://x.com/masoud_barzani,iranian_activists,masoud_barzani,https://en.wikipedia.org/wiki/Masoud_Barzani
Iran activist,Mohammad Saleh Meftah,meftah,https://x.com/meftah,iranian_activists,meftah,https://en.wikipedia.org/wiki/Mohammad_Saleh_Meftah
Iran rapper,Moltafet,moltaf,https://x.com/moltaf,iranian_rappers,moltaf,https://en.wikipedia.org/wiki/Moltafet
Iran wrestler,Mohammad Reza Geraei,mr_geraei,https://x.com/mr_geraei,iranian_wrestlers,mr_geraei,https://en.wikipedia.org/wiki/Mohammad_Reza_Geraei
Iran footballer,Amin Hazbavi,nahuelzn,https://x.com/nahuelzn,iranian_footballers,nahuelzn,https://en.wikipedia.org/wiki/Amin_Hazbavi
Iran activist,10th Armoured Division (Iraq),,https://x.com/nan,iranian_activists,,https://en.wikipedia.org/wiki/10th_Armoured_Division_%28Iraq%29
Iran activist,Nouri al-Maliki,nourialmalikiiq,https://x.com/nourialmalikiiq,iranian_activists,nourialmalikiiq,https://en.wikipedia.org/wiki/Nouri_al-Maliki
Iran footballer,Shahab Zahedi,prznsport,https://x.com/prznsport,iranian_footballers,prznsport,https://en.wikipedia.org/wiki/Shahab_Zahedi
Iran taekwondo practitioner,Amir Mohammad Hosseini,refugees,https://x.com/refugees,iranian_taekwondo_practitioners,refugees,https://en.wikipedia.org/wiki/Amir_Mohammad_Hosseini
Iran footballer,Reza Naseri,rezaserii1,https://x.com/rezaserii1,iranian_footballers,rezaserii1,https://en.wikipedia.org/wiki/Reza_Naseri
Iran wrestler,Sardar Pashaei,sardar_pashaei,https://x.com/sardar_pashaei,iranian_wrestlers,sardar_pashaei,https://en.wikipedia.org/wiki/Sardar_Pashaei
Iran activist,Aida Rostami,shahrak_ekbatan,https://x.com/shahrak_ekbatan,iranian_activists,shahrak_ekbatan,https://en.wikipedia.org/wiki/Aida_Rostami
Iran rapper,Ali Sorena,sorenaofficial,https://x.com/sorenaofficial,iranian_rappers,sorenaofficial,https://en.wikipedia.org/wiki/Ali_Sorena
Iran activist,Morad Tahbaz,statedept,https://x.com/statedept,iranian_activists,statedept,https://en.wikipedia.org/wiki/Morad_Tahbaz
Iran activist,Sussan Tahmasebi,sussantweets,https://x.com/sussantweets,iranian_activists,sussantweets,https://en.wikipedia.org/wiki/Sussan_Tahmasebi
Iran activist,Operations Claw-Eagle and Tiger,tcsavunma,https://x.com/tcsavunma,iranian_activists,tcsavunma,https://en.wikipedia.org/wiki/Operations_Claw-Eagle_and_Tiger
Iran pop singer,Omid Nemati,virtual,https://x.com/virtual,iranian_pop_singers,virtual,https://en.wikipedia.org/wiki/Omid_Nemati
Iran activist,Yasmine Motarjemi,yasminemotarjem,https://x.com/yasminemotarjem,iranian_activists,yasminemotarjem,https://en.wikipedia.org/wiki/Yasmine_Motarjemi
Iran wrestler,Amir Mohammad Yazdani,yazdanicherati,https://x.com/yazdanicherati,iranian_wrestlers,yazdanicherati,https://en.wikipedia.org/wiki/Amir_Mohammad_Yazdani
Iran footballer,Younes Delfi,younesdelfi,https://x.com/younesdelfi,iranian_footballers,younesdelfi,https://en.wikipedia.org/wiki/Younes_Delfi
