category,Num_POIs,Avg_Followers,Avg_Following,Avg_Posts
21st-century_iranian_physicians,5,146738.0,103.0,5037.0
government_ministers_of_iran,18,339251.0,422.0,21800.0
healthcare_in_iran,15,161339.0,508.0,13381.0
iranian_actors,61,77963.0,1781.0,9086.0
iranian_ayatollahs,6,791053.0,38.0,16772.0
iranian_economists,5,52128.0,276.0,7856.0
iranian_football_managers,5,688245.0,91.0,9888.0
iranian_physicians,3,625830.0,1192.0,59916.0
iranian_scientists,56,156708.0,1308.0,8204.0
iranian_singers,51,789917.0,1543.0,12898.0
iranian_writers,218,257681.0,1238.0,13928.0
medical_and_health_organisations_based_in_iran,3,406788.0,55.0,18489.0
medicine_in_iran,3,406788.0,55.0,18489.0
presidents_of_iran,20,608912.0,328.0,8025.0
vice_presidents_of_iran,6,53381.0,1194.0,6415.0
