Name,Wikipedia_Link,wikidata_qid,wikidata_url
Iranshahr University of Medical Sciences,https://en.wikipedia.org/wiki/Iranshahr_University_of_Medical_Sciences,Q27063169,https://www.wikidata.org/wiki/Q27063169
Isfahan University of Medical Sciences,https://en.wikipedia.org/wiki/Isfahan_University_of_Medical_Sciences,Q6079799,https://www.wikidata.org/wiki/Q6079799
"Islamic Azad University, Najafabad Branch",https://en.wikipedia.org/wiki/Islamic_Azad_University%2C_Najafabad_Branch,,
"Islamic Azad University, Tehran Medical Branch",https://en.wikipedia.org/wiki/Islamic_Azad_University%2C_Tehran_Medical_Branch,,
Jahrom University of Medical Sciences,https://en.wikipedia.org/wiki/Jahrom_University_of_Medical_Sciences,Q16047163,https://www.wikidata.org/wiki/Q16047163
Jiroft University of Medical Sciences,https://en.wikipedia.org/wiki/Jiroft_University_of_Medical_Sciences,Q85970184,https://www.wikidata.org/wiki/Q85970184
Kashan University of Medical Sciences,https://en.wikipedia.org/wiki/Kashan_University_of_Medical_Sciences,Q6374203,https://www.wikidata.org/wiki/Q6374203
Kerman University of Medical Sciences,https://en.wikipedia.org/wiki/Kerman_University_of_Medical_Sciences,Q5950750,https://www.wikidata.org/wiki/Q5950750
Kermanshah University of Medical Sciences,https://en.wikipedia.org/wiki/Kermanshah_University_of_Medical_Sciences,Q6393994,https://www.wikidata.org/wiki/Q6393994
Mashhad University of Medical Sciences,https://en.wikipedia.org/wiki/Mashhad_University_of_Medical_Sciences,Q10854129,https://www.wikidata.org/wiki/Q10854129
Mazandaran University of Medical Sciences,https://en.wikipedia.org/wiki/Mazandaran_University_of_Medical_Sciences,Q6555497,https://www.wikidata.org/wiki/Q6555497
Qazvin University of Medical Sciences,https://en.wikipedia.org/wiki/Qazvin_University_of_Medical_Sciences,Q5927506,https://www.wikidata.org/wiki/Q5927506
Qom University of Medical Sciences,https://en.wikipedia.org/wiki/Qom_University_of_Medical_Sciences,Q6555694,https://www.wikidata.org/wiki/Q6555694
Rafsanjan University of Medical Sciences,https://en.wikipedia.org/wiki/Rafsanjan_University_of_Medical_Sciences,Q5946797,https://www.wikidata.org/wiki/Q5946797
Sabzevar University of Medical Sciences,https://en.wikipedia.org/wiki/Sabzevar_University_of_Medical_Sciences,Q10854127,https://www.wikidata.org/wiki/Q10854127
Shahid Beheshti University of Medical Sciences,https://en.wikipedia.org/wiki/Shahid_Beheshti_University_of_Medical_Sciences,Q637387,https://www.wikidata.org/wiki/Q637387
Shahid Sadoughi University of Medical Sciences,https://en.wikipedia.org/wiki/Shahid_Sadoughi_University_of_Medical_Sciences,Q17070306,https://www.wikidata.org/wiki/Q17070306
Shahrekord University of Medical Sciences,https://en.wikipedia.org/wiki/Shahrekord_University_of_Medical_Sciences,Q16053407,https://www.wikidata.org/wiki/Q16053407
Shahroud University of Medical Sciences,https://en.wikipedia.org/wiki/Shahroud_University_of_Medical_Sciences,Q20110175,https://www.wikidata.org/wiki/Q20110175
Shiraz University of Medical Sciences,https://en.wikipedia.org/wiki/Shiraz_University_of_Medical_Sciences,Q10320942,https://www.wikidata.org/wiki/Q10320942
Tabriz University of Medical Sciences,https://en.wikipedia.org/wiki/Tabriz_University_of_Medical_Sciences,Q7673574,https://www.wikidata.org/wiki/Q7673574
Tehran University of Medical Sciences,https://en.wikipedia.org/wiki/Tehran_University_of_Medical_Sciences,Q7694901,https://www.wikidata.org/wiki/Q7694901
Torbat Heydarieh University of Medical Sciences,https://en.wikipedia.org/wiki/Torbat_Heydarieh_University_of_Medical_Sciences,Q16047153,https://www.wikidata.org/wiki/Q16047153
Urmia University of Medical Sciences,https://en.wikipedia.org/wiki/Urmia_University_of_Medical_Sciences,Q10854124,https://www.wikidata.org/wiki/Q10854124
Yasuj University of Medical Sciences,https://en.wikipedia.org/wiki/Yasuj_University_of_Medical_Sciences,Q30174776,https://www.wikidata.org/wiki/Q30174776
Zanjan University of Medical Sciences,https://en.wikipedia.org/wiki/Zanjan_University_of_Medical_Sciences,Q5914596,https://www.wikidata.org/wiki/Q5914596
Akbarieh,https://en.wikipedia.org/wiki/Akbarieh,Q4700479,https://www.wikidata.org/wiki/Q4700479
AryoGen,https://en.wikipedia.org/wiki/AryoGen,Q4802714,https://www.wikidata.org/wiki/Q4802714
Barkat Pharmaceutical Group,https://en.wikipedia.org/wiki/Barkat_Pharmaceutical_Group,Q63922339,https://www.wikidata.org/wiki/Q63922339
Barkat Ventures,https://en.wikipedia.org/wiki/Barkat_Ventures,Q85974146,https://www.wikidata.org/wiki/Q85974146
Behestan Darou,https://en.wikipedia.org/wiki/Behestan_Darou,Q4880779,https://www.wikidata.org/wiki/Q4880779
Cobel Darou,https://en.wikipedia.org/wiki/Cobel_Darou,Q5138856,https://www.wikidata.org/wiki/Q5138856
Darou Pakhsh,https://en.wikipedia.org/wiki/Darou_Pakhsh,Q10843479,https://www.wikidata.org/wiki/Q10843479
Jaber Ebne Hayyan Pharmaceutical Company,https://en.wikipedia.org/wiki/Jaber_Ebne_Hayyan_Pharmaceutical_Company,Q13564794,https://www.wikidata.org/wiki/Q13564794
Loghman Pharmaceuticals,https://en.wikipedia.org/wiki/Loghman_Pharmaceuticals,Q6667397,https://www.wikidata.org/wiki/Q6667397
Al-'Adudi Hospital,https://en.wikipedia.org/wiki/Al-%27Adudi_Hospital,,
Complex of Sultan Bayezid II,https://en.wikipedia.org/wiki/Complex_of_Sultan_Bayezid_II,Q6055477,https://www.wikidata.org/wiki/Q6055477
Divriği Great Mosque and Hospital,https://en.wikipedia.org/wiki/Divri%C4%9Fi_Great_Mosque_and_Hospital,,
Maristan of al-Mu'ayyad,https://en.wikipedia.org/wiki/Maristan_of_al-Mu%27ayyad,,
Maristan of Granada,https://en.wikipedia.org/wiki/Maristan_of_Granada,Q5999398,https://www.wikidata.org/wiki/Q5999398
Maristan of Sidi Frej,https://en.wikipedia.org/wiki/Maristan_of_Sidi_Frej,Q91339911,https://www.wikidata.org/wiki/Q91339911
Muristan,https://en.wikipedia.org/wiki/Muristan,Q1936208,https://www.wikidata.org/wiki/Q1936208
Nur al-Din Bimaristan,https://en.wikipedia.org/wiki/Nur_al-Din_Bimaristan,Q632127,https://www.wikidata.org/wiki/Q632127
Qalawun complex,https://en.wikipedia.org/wiki/Qalawun_complex,Q1237010,https://www.wikidata.org/wiki/Q1237010
The Canon of Medicine,https://en.wikipedia.org/wiki/The_Canon_of_Medicine,Q466060,https://www.wikidata.org/wiki/Q466060
The Complete Book of the Medical Art,https://en.wikipedia.org/wiki/The_Complete_Book_of_the_Medical_Art,Q20988014,https://www.wikidata.org/wiki/Q20988014
Encyclopædia Meysari,https://en.wikipedia.org/wiki/Encyclop%C3%A6dia_Meysari,,
Hidayat al-Mutaʽallemin fi al-Ṭibb,https://en.wikipedia.org/wiki/Hidayat_al-Muta%CA%BDallemin_fi_al-%E1%B9%ACibb,,
Khafi Alayee,https://en.wikipedia.org/wiki/Khafi_Alayee,Q5665045,https://www.wikidata.org/wiki/Q5665045
On the Science of the Pulse,https://en.wikipedia.org/wiki/On_the_Science_of_the_Pulse,Q5950423,https://www.wikidata.org/wiki/Q5950423
Zakhireye Khwarazmshahi,https://en.wikipedia.org/wiki/Zakhireye_Khwarazmshahi,Q8065071,https://www.wikidata.org/wiki/Q8065071
Abu Mansur Muwaffaq,https://en.wikipedia.org/wiki/Abu_Mansur_Muwaffaq,Q923759,https://www.wikidata.org/wiki/Q923759
Alavi Shirazi,https://en.wikipedia.org/wiki/Alavi_Shirazi,Q4708882,https://www.wikidata.org/wiki/Q4708882
Zayn-e-Attar,https://en.wikipedia.org/wiki/Zayn-e-Attar,Q8067566,https://www.wikidata.org/wiki/Q8067566
Attar of Nishapur,https://en.wikipedia.org/wiki/Attar_of_Nishapur,Q194091,https://www.wikidata.org/wiki/Q194091
Avicenna,https://en.wikipedia.org/wiki/Avicenna,Q8011,https://www.wikidata.org/wiki/Q8011
Al-Biruni,https://en.wikipedia.org/wiki/Al-Biruni,Q11826,https://www.wikidata.org/wiki/Q11826
Zayn al-Din Gorgani,https://en.wikipedia.org/wiki/Zayn_al-Din_Gorgani,Q2908840,https://www.wikidata.org/wiki/Q2908840
'Ali ibn al-'Abbas al-Majusi,https://en.wikipedia.org/wiki/%27Ali_ibn_al-%27Abbas_al-Majusi,,
Masawaiyh,https://en.wikipedia.org/wiki/Masawaiyh,Q1291511,https://www.wikidata.org/wiki/Q1291511
Muhammad ibn Yusuf al-Harawi,https://en.wikipedia.org/wiki/Muhammad_ibn_Yusuf_al-Harawi,Q4116947,https://www.wikidata.org/wiki/Q4116947
Najm al-Din Mahmud ibn Ilyas al-Shirazi,https://en.wikipedia.org/wiki/Najm_al-Din_Mahmud_ibn_Ilyas_al-Shirazi,Q6960027,https://www.wikidata.org/wiki/Q6960027
Abu Bakr al-Razi,https://en.wikipedia.org/wiki/Abu_Bakr_al-Razi,Q169234,https://www.wikidata.org/wiki/Q169234
Shapur ibn Sahl,https://en.wikipedia.org/wiki/Shapur_ibn_Sahl,Q325676,https://www.wikidata.org/wiki/Q325676
Tunakabuni,https://en.wikipedia.org/wiki/Tunakabuni,Q7852802,https://www.wikidata.org/wiki/Q7852802
List of medieval and pre-modern Iranian doctors,https://en.wikipedia.org/wiki/List_of_medieval_and_pre-modern_Iranian_doctors,Q6627883,https://www.wikidata.org/wiki/Q6627883
Hamid Kahram,https://en.wikipedia.org/wiki/Hamid_Kahram,Q21405631,https://www.wikidata.org/wiki/Q21405631
Ahmad Shimi,https://en.wikipedia.org/wiki/Ahmad_Shimi,Q5888195,https://www.wikidata.org/wiki/Q5888195
Shiraz University,https://en.wikipedia.org/wiki/Shiraz_University,Q2001798,https://www.wikidata.org/wiki/Q2001798
Poostchi Subspecialty Eye Hospital and Clinic,https://en.wikipedia.org/wiki/Poostchi_Subspecialty_Eye_Hospital_and_Clinic,Q10320942,https://www.wikidata.org/wiki/Q10320942
Arad General Hospital,https://en.wikipedia.org/wiki/Arad_General_Hospital,Q4783607,https://www.wikidata.org/wiki/Q4783607
Baghiyyatollah al-Azam Military Hospital,https://en.wikipedia.org/wiki/Baghiyyatollah_al-Azam_Military_Hospital,Q5804455,https://www.wikidata.org/wiki/Q5804455
Dr. Sapir Hospital and Charity Center,https://en.wikipedia.org/wiki/Dr._Sapir_Hospital_and_Charity_Center,Q5304373,https://www.wikidata.org/wiki/Q5304373
Imam Khomeini Hospital Complex,https://en.wikipedia.org/wiki/Imam_Khomeini_Hospital_Complex,Q6003087,https://www.wikidata.org/wiki/Q6003087
Mahak Hospital and Rehabilitation Complex,https://en.wikipedia.org/wiki/Mahak_Hospital_and_Rehabilitation_Complex,Q6732851,https://www.wikidata.org/wiki/Q6732851
Milad Hospital,https://en.wikipedia.org/wiki/Milad_Hospital,Q6850378,https://www.wikidata.org/wiki/Q6850378
Noor Eye Hospital,https://en.wikipedia.org/wiki/Noor_Eye_Hospital,Q18354239,https://www.wikidata.org/wiki/Q18354239
Roozbeh Hospital,https://en.wikipedia.org/wiki/Roozbeh_Hospital,Q5944397,https://www.wikidata.org/wiki/Q5944397
"Ruin Tan Arash Hospital, Tehran",https://en.wikipedia.org/wiki/Ruin_Tan_Arash_Hospital%2C_Tehran,,
Sarem Hospital,https://en.wikipedia.org/wiki/Sarem_Hospital,Q96404995,https://www.wikidata.org/wiki/Q96404995
Noor Ophthalmology Complex,https://en.wikipedia.org/wiki/Noor_Ophthalmology_Complex,Q18354245,https://www.wikidata.org/wiki/Q18354245
Abu Hafsa Yazid,https://en.wikipedia.org/wiki/Abu_Hafsa_Yazid,Q4670191,https://www.wikidata.org/wiki/Q4670191
Masarjawaih,https://en.wikipedia.org/wiki/Masarjawaih,Q6782638,https://www.wikidata.org/wiki/Q6782638
Jabril ibn Bukhtishu,https://en.wikipedia.org/wiki/Jabril_ibn_Bukhtishu,Q325062,https://www.wikidata.org/wiki/Q325062
Abu Zayd al-Balkhi,https://en.wikipedia.org/wiki/Abu_Zayd_al-Balkhi,Q335516,https://www.wikidata.org/wiki/Q335516
Albubather,https://en.wikipedia.org/wiki/Albubather,Q2695965,https://www.wikidata.org/wiki/Q2695965
Baha Al-Dowleh Razi,https://en.wikipedia.org/wiki/Baha_Al-Dowleh_Razi,Q97215106,https://www.wikidata.org/wiki/Q97215106
Yuhanna ibn Bukhtishu,https://en.wikipedia.org/wiki/Yuhanna_ibn_Bukhtishu,Q6898807,https://www.wikidata.org/wiki/Q6898807
Ali ibn Sahl Rabban al-Tabari,https://en.wikipedia.org/wiki/Ali_ibn_Sahl_Rabban_al-Tabari,Q1393417,https://www.wikidata.org/wiki/Q1393417
Abu al-Hasan al-Tabari,https://en.wikipedia.org/wiki/Abu_al-Hasan_al-Tabari,Q4116951,https://www.wikidata.org/wiki/Q4116951
