,,,,,,,,accuracy,accuracy,F1,F1,AUC,AUC
,,,,,,,,mean,std,mean,std,mean,std
iteration,data_version,target_column,algorithm,feature_set,training_type,balanced,#classes,,,,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,NUM_statuses,KFold,True,2,0.45,,0.42105263157894735,,0.42999999999999994,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,NUM_statuses,KFold,True,3,0.36666666666666664,,0.35837365249129954,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,NUM_statuses,LOOCV,False,2,0.5517241379310345,,0.6285714285714286,,0.4473684210526315,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,NUM_statuses,LOOCV,False,3,0.37209302325581395,,0.36242214730586825,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,NUM_statuses,LOOCV,True,2,0.45,,0.42105263157894735,,0.37,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,NUM_statuses,LOOCV,True,3,0.26666666666666666,,0.26666666666666666,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description,KFold,False,2,0.6551724137931034,,0.7727272727272727,,0.49736842105263157,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description,KFold,False,3,0.4186046511627907,,0.3839683325086591,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description,KFold,True,2,0.6,,0.7142857142857143,,0.555,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description,KFold,True,3,0.3,,0.29714285714285715,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description,LOOCV,False,2,0.6896551724137931,,0.7804878048780488,,0.4368421052631579,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description,LOOCV,False,3,0.4883720930232558,,0.45135658914728677,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description,LOOCV,True,2,0.65,,0.72,,0.45,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description,LOOCV,True,3,0.26666666666666666,,0.2841269841269841,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description+full_name,KFold,False,2,0.6206896551724138,,0.7659574468085106,,0.5236842105263158,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description+full_name,KFold,False,3,0.4418604651162791,,0.3125619132977971,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description+full_name,KFold,True,2,0.45,,0.6206896551724138,,0.5150000000000001,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description+full_name,KFold,True,3,0.3,,0.23316912972085385,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description+full_name,LOOCV,False,2,0.6551724137931034,,0.782608695652174,,0.3263157894736842,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description+full_name,LOOCV,False,3,0.4186046511627907,,0.27425821972734565,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description+full_name,LOOCV,True,2,0.55,,0.6896551724137931,,0.33,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description+full_name,LOOCV,True,3,0.06666666666666667,,0.04761904761904761,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description+username,KFold,False,2,0.6551724137931034,,0.782608695652174,,0.5236842105263158,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description+username,KFold,False,3,0.46511627906976744,,0.3232558139534884,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description+username,KFold,True,2,0.55,,0.6086956521739131,,0.545,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description+username,KFold,True,3,0.3,,0.21984551396316104,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description+username,LOOCV,False,2,0.6551724137931034,,0.7916666666666666,,0.3631578947368421,
