iteration,n_experiments,mean_accuracy,max_accuracy,mean_AUC,mean_class_0,mean_class_1,min_class_size
1,168,0.6332583843359705,0.8160919540229885,0.4665171949262858,22.0,43.5,22.0
2,120,0.607490856844305,0.7701149425287356,0.5107456558592922,22.0,43.5,22.0
3,336,0.6661608161104129,1.0,0.5853109754686107,88.0,139.5,88.0
4,336,0.6520410657780735,0.7540322580645161,0.5834352450727296,124.0,183.5,124.0
5,90,0.7433953266571293,0.7896995708154506,0.6639766923784454,149.0,317.0,149.0
6,80,0.7636622390891841,0.8026565464895635,0.6750414065209851,155.0,372.0,155.0
