Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
Electoral history of Akbar Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Electoral_history_of_Akbar_Hashemi_Rafsanjani,Q20987779,https://www.wikidata.org/wiki/Q20987779,,,,,
Presidency of Akbar Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Presidency_of_Akbar_Hashemi_Rafsanjani,Q5589169,https://www.wikidata.org/wiki/Q5589169,,,,,
Template:Akbar Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Template%3AAkbar_Hashemi_Rafsanjani,,,,,,,
Mohammad Hashemi Rafsanjani,https://en.wikipedia.org/wiki/Mohammad_Hashemi_Rafsanjani,Q6892004,https://www.wikidata.org/wiki/Q6892004,male,politician,Iran,Bahreman,1942-08-29T00:00:00Z
Effat Marashi,https://en.wikipedia.org/wiki/Effat_Marashi,Q5953339,https://www.wikidata.org/wiki/Q5953339,female,,Iran,Kerman,1935-01-01T00:00:00Z
People's Experts,https://en.wikipedia.org/wiki/People%27s_Experts,,,,,,,
Tehran Communiqué,https://en.wikipedia.org/wiki/Tehran_Communiqu%C3%A9,,,,,,,
First inauguration of Hassan Rouhani,https://en.wikipedia.org/wiki/First_inauguration_of_Hassan_Rouhani,Q14325643,https://www.wikidata.org/wiki/Q14325643,,,,,
Second inauguration of Hassan Rouhani,https://en.wikipedia.org/wiki/Second_inauguration_of_Hassan_Rouhani,Q30642758,https://www.wikidata.org/wiki/Q30642758,,,,,
A 250 Years Old Person,https://en.wikipedia.org/wiki/A_250_Years_Old_Person,Q20396473,https://www.wikidata.org/wiki/Q20396473,,,,,
1985 Iranian presidential election,https://en.wikipedia.org/wiki/1985_Iranian_presidential_election,Q968607,https://www.wikidata.org/wiki/Q968607,,,,,
1989 Iranian Supreme Leader election,https://en.wikipedia.org/wiki/1989_Iranian_Supreme_Leader_election,Q16052990,https://www.wikidata.org/wiki/Q16052990,,,,,
Ahl Al-Bayt World Assembly,https://en.wikipedia.org/wiki/Ahl_Al-Bayt_World_Assembly,Q5873255,https://www.wikidata.org/wiki/Q5873255,,,,,
