Twitter_username,Full_Name,Total_Followers,Followers_Collected,Followers_Percentage,Total_Following,Following_Collected,Following_Percentage,Total_Connections_Collected,Posts_Count
ArashMarkazi,Arash Markazi,122200,44,0.04,2553,55,2.15,99,0
livingintehran,Living in Tehran (LiT),27900,49,0.18,98,48,48.98,97,0
RJahanbegloo,Ramin Jahanbegloo,1951,44,2.26,176,53,30.11,97,0
manoushz,Manoush Zomorodi,35800,45,0.13,3507,52,1.48,97,0
NishaBiswal,Nisha Biswal,22700,48,0.21,1062,48,4.52,96,0
TahaYasseri,Taha Yasseri,6730,45,0.67,459,51,11.11,96,0
CAFCofficial,Charlton Athletic FC,189500,43,0.02,267,51,19.1,94,0
MrKheiron,Kheiron,85000,38,0.04,372,56,15.05,94,0
naderhabibi2,Nader Habibi,0,42,0.0,0,51,0.0,93,0
PardisSabeti,Pardis Sabeti,20800,50,0.24,373,43,11.53,93,0
PKhakpour,porochista khakpour she/her پوروچیستا خاکپور,23800,37,0.16,9839,56,0.57,93,0
khademh,Ali Khademhosseini,18900,50,0.26,1638,41,2.5,91,0
sonitaalizadeh,Sonita Alizada,6746,49,0.73,358,42,11.73,91,0
kbarzeg,Kayhan Barzegar,349,41,11.75,30,50,166.67,91,0
IBAHRI,IBA's Human Rights Institute,10100,45,0.45,545,45,8.26,90,0
borzou,Borzou Daragahi,81500,47,0.06,1965,42,2.14,89,0
yashar,Yashar Ali,705900,40,0.01,40200,48,0.12,88,0
DinaNayeri,Dina Nayeri,5382,36,0.67,990,51,5.15,87,0
NazaninAJ,Nazanin Afshin-Jam MacKay,30300,44,0.15,829,43,5.19,87,0
LucasFoxNews,Lucas Tomlinson,104400,44,0.04,1598,43,2.69,87,0
PennHistory,Penn History,1846,47,2.55,809,40,4.94,87,0
nahuelzn,Nahuel Lanzón,71300,40,0.06,2601,47,1.81,87,0
FARNOOSH,Farnoosh Torabi,28900,34,0.12,1306,52,3.98,86,0
ColoradoRapids,Colorado Rapids,121900,43,0.04,963,43,4.47,86,0
paydar,Nasser Paydar,4180,46,1.1,2186,38,1.74,84,0
milaniabbas,Abbas Milani,180900,40,0.02,48,44,91.67,84,0
music,Music,9400000,46,0.0,117,38,32.48,84,0
ICHRI,Center for Human Rights in Iran,51800,44,0.08,984,40,4.07,84,0
SAGES_Updates,SAGES is in Tampa in 2026!,42700,41,0.1,2366,43,1.82,84,0
azarnafisi,Azar Nafisi,14200,38,0.27,1332,45,3.38,83,0
Firouz_Naderi,Firouz M. Naderi,136100,41,0.03,144,42,29.17,83,0
CathyManso,Catherine Manso,133,42,31.58,142,40,28.17,82,0
DanieleRaineri,Daniele Raineri,29600,44,0.15,3294,38,1.15,82,0
GolinehAtai,Golineh Atai,63900,41,0.06,1487,41,2.76,82,0
z_al,Zal,18800,44,0.23,470,38,8.09,82,0
mszarepour,Mohammad Saleh Zarepour,2516,36,1.43,553,46,8.32,82,0
