"target_username","other_username","type"
"yazdanicherati","_ipesarekhob","following"
"shakilamusic","_irani_mohammad","follower"
"mehrdadraissi","_iweni","follower"
"davood_eldeniz","_iwftw","follower"
"AshkanFadaei","_iwtiina","follower"
"RoyaTheWriter","_jkaplan","follower"
"kngwmn","_joy_net","following"
"Pey_keshavarzi","_kamyark_","following"
"gmziarani","_ksu","following"
"hosseinbastani","_kuramakyubi_","follower"
"jorjandii","_mahdiyar313","following"
"Pey_keshavarzi","_mehraboonn","following"
"Pey_keshavarzi","_mehrabooon","following"
"IBAHRI","_miaswart","following"
"Mehrdad_Asemani","_mohammad_1987_","follower"
"BahramRadan","_mriyim_","follower"
"MrKheiron","_nafyn_","follower"
"CAFCofficial","_nam11","follower"
"z_al","_pia_","following"
"SEVDALIZA","_raven_reborn_","follower"
"MahdyarAghajani","_rezinski","follower"
"yasminemotarjem","_rosemark","follower"
"SabrinaGhayour","_sarahdavies","follower"
"CAFCofficial","_scandalou_","follower"
"Jason_Jorjani","_sethnall","follower"
"the_ironsheik","_sgtslaughter","follower"
"arash_sobhani","_shahaf_","follower"
"mszarepour","_sihelvi","follower"
"HosseinRajabian","_sky_tw","follower"
"FarzadFarzin2","_soommiii_","follower"
"SamiBeigi","_starboy369","follower"
"V_and_A","_thebemagugu_","following"
"shayagoldoust","_thejimbo_","following"
"jadi","_theleftover","following"
"raminkarimloo","_uselessgothdm","follower"
"fft_official","_uzbekfootball","follower"
"naderi_yeganeh","_x_wolverine","follower"
"davood_eldeniz","_ya_karim_","follower"
"kbarzeg","_zelenska_","follower"
"moltaf","031es","follower"
"gc_zuerich","06numerosix","follower"
"fft_official","09escargot1012","follower"
"ptofighi","0alwaysdreamer0","following"
"sussantweets","0dybbxx0o1b5xa","follower"
"SayedModarresi","0l8o0xgtjkorcjb","follower"
"BehrouzBoochani","0mfahzf4tebztdl","follower"
"YaraShahidi","0pps__","follower"
"ir_aref","0qcgdh3bdamfozf","follower"
"drdavidsamadi","0s5lud2qs9dy01o","follower"
"mahlaghajaberi","0x778899","following"
"Zar_Amir","10190celine","follower"
"sahardolatshahi","105_sakariyou","follower"
"ummahfilms","10am","following"
"PahlaviReza","10downingstreet","following"
"drpezeshkian","110_m_ah_b","follower"
"TheAFCCL","12_adin10571","follower"
"Alirezatalischi","1364ghazal62816","follower"
"Nahavandian_ir","1366_t","follower"
"monaborzouei","13virginiawoolf","following"
"CAFCofficial","14sm_","following"
"pouriazeraati","1573cigars","following"
"V_and_A","18thcent_kitty","follower"
"Nahavandian_ir","1983ms13","follower"
"aliyanazarbaeva","19azamat9267","follower"
"drdavidsamadi","1bl51ilj2fkkt","follower"
"SabrinaGhayour","1dish4theroad","follower"
"parsapirouzfar","1fargol","follower"
"babakatwork","1inch","following"
"nourialmalikiiq","1m9od5","follower"
"asre_majles","1meshmo","follower"
"HajipourShervin","1mhyar","following"
"AzadehEnsha","1pezeshk_plus","follower"
"azarmajedi","1wlxeue6p5b8ws","follower"
"Rezasadeghireal","1wqrz","follower"
"standupdan","2_ncqr","follower"
"sepideqoliyan","2_rebelgirl","follower"
"TeamMelliIran","2000mhac","follower"
"T_Javanbakht","2012bb6656","follower"
"Manzarpour","2017siyasi","follower"
"Firouz_Naderi","2025_samuel","follower"
"dr_hsamsami","2088sajad24892","follower"
"Banisadr","20lincoln20","follower"
"AshkanFadaei","20rapcom","follower"
"parsapirouzfar","21molana","follower"
"RJahanbegloo","2447mo1789","follower"
"IranNW","27484b","follower"
"MrKheiron","28minutes","following"
"MahdyarAghajani","2bender","follower"
"FARNOOSH","2dopequeens","following"
"SEVDALIZA","2internetghosts","follower"
"saghi_ghahraman","2ndravanparish","following"
"SAzmoun","2rr0i_","follower"
"UYI_fa","2x0x2x4","following"
"manoushz","30for30","follower"
"Rezasadeghireal","30nahejazi","following"
"nm","319u9xc85rz97","follower"
"21Sahel","31siye6","following"
"UYI_fa","32kennocha","follower"
"stronger","3303losangelesr","follower"
"ALDERBYSHOW","34gwr77liku4hw8","follower"
"fereshtehmol","35anj","following"
"aliyanazarbaeva","35pmrc4xezu0tvd","follower"
"la_Biennale","3ccmke","follower"
"meftah","3eyedamir","follower"
"V_and_A","3pm_est","follower"
"HosseinRonaghi","3tareee","following"
"jadi","404arsynotfound","follower"
"naderhabibi2","424xh","follower"
"KavehAkbar","42potatoesss","follower"
"AlBayanSports","433_uae2","follower"
"sorenaofficial","4bteen","follower"
"HeshmatAlavi","4freedom4iran","follower"
"IranNW","4freedominiran","following"
"IBAHRI","4genderjustice","follower"
"LucasFoxNews","4ltgmlpx61671","follower"
"OAradwinwin","4m2dvxbg7uptwhz","follower"
"RamitaNavai","4noura","following"
"taraaghdashloo","4refugeewomen","following"
"FreemaOfficial","4sylvestermccoy","following"
"FreemaOfficial","4viewers","following"
"SeppBlatter","4xasw2m9126jd","follower"
"aliyanazarbaeva","4zk79e91ywvxni2","follower"
"Genomicien","500womensci","following"
"ShappiKhorsandi","50uses","following"
"rezahn56","54hz_whale","follower"
"leilaforouhar","5ogand","follower"
"AshkanFadaei","5thprisoner","follower"
