Twitter_username,Full_Name,Followers_Collected,Following_Collected,Error,wikidata_qid,Twitter_url
NazaninAJ,Nazanin Afshin-Jam MacKay,61,69,,,https://x.com/NazaninAJ
raminkarimloo,Ramin Karimloo,64,80,,,https://x.com/raminkarimloo
SamiYusuf,Sami Yusuf,80,15,,,https://x.com/SamiYusuf
sraissadat,Sepideh Raissadat,65,80,,,https://x.com/sraissadat
shakilamusic,SHAKILA,61,10,,,https://x.com/shakilamusic
IndypersianLife,IndyPersian_LifeStyle,69,24,,,https://x.com/IndypersianLife
snohaalegra,Snoh,80,79,,,https://x.com/snohaalegra
SonitaAlizadeh,Sonita Alizada,80,80,,,https://x.com/SonitaAlizadeh
Tooji_,Tooji,62,66,,,https://x.com/Tooji_
hosdehghan,Hossein Dehghan,19,10,,,https://x.com/hosdehghan
drmalekzadeh2,Mohammad Sharif Malekzadeh | محمدشریف ملک زاده,19,21,,,https://x.com/drmalekzadeh2
25BandMusic,25Band,63,32,,,https://x.com/25BandMusic
tudum,nguyen thanhtu,17,10,,,https://x.com/tudum
abb_abdi,عباس عبدی,80,80,,,https://x.com/abb_abdi
milaniabbas,Abbas Milani,80,80,,,https://x.com/milaniabbas
ajavadiamoli,جوادی آملی,70,10,,,https://x.com/ajavadiamoli
asre_majles,عصر مجلس,61,50,,,https://x.com/asre_majles
Hemmati_ir,Abdolnaser Hemmati عبدالناصر همتی,80,19,,,https://x.com/Hemmati_ir
AfshinMolavi,Afshin Molavi,80,80,,,https://x.com/AfshinMolavi
Zeidabadi_Ahmad,احمد زیدآبادی,80,11,,,https://x.com/Zeidabadi_Ahmad
islam,islam,61,74,,,https://x.com/islam
World,WORLD,65,19,,,https://x.com/World
shahrak_ekbatan,شهرک اکباتان | Ekbatan,80,72,,,https://x.com/shahrak_ekbatan
manototv,تلویزیون منوتو,80,35,,,https://x.com/manototv
khademh,Ali Khademhosseini,80,80,,,https://x.com/khademh
alimotahari_ir,,10,10,,,https://x.com/alimotahari_ir
PahlavanAli,Ali Pahlavan,80,80,,,https://x.com/PahlavanAli
PanahianEN,Ali Reza Panahian,80,10,,,https://x.com/PanahianEN
Alirezatalischi,Alireza Talischi,60,12,,,https://x.com/Alirezatalischi
aliyanazarbaeva,Әлия  Назарбаева,63,34,,,https://x.com/aliyanazarbaeva
jadi,jadi,80,80,,,https://x.com/jadi
scientist,,10,10,,,https://x.com/scientist
art,Arthur Bullard,70,70,,,https://x.com/art
AmirTaheri4,Amir Taheri,65,80,,,https://x.com/AmirTaheri4
tatalioo,Amir Tataloo,62,10,,,https://x.com/tatalioo
en,enちゃん,10,10,,,https://x.com/en
latoyajackson,La Toya Jackson,80,80,,,https://x.com/latoyajackson
AnoushehAnsari,Anousheh Ansari,80,80,,,https://x.com/AnoushehAnsari
ArashMarkazi,Arash Markazi,80,80,,,https://x.com/ArashMarkazi
arash_sobhani,Arash Sobhani آرش سبحانی,80,80,,,https://x.com/arash_sobhani
ardeshirpashang,Ardeshir Pashang,80,69,,,https://x.com/ardeshirpashang
2023,,10,10,,,https://x.com/2023
AshKoosha,Ash Koosha,80,80,,,https://x.com/AshKoosha
tajmedun,ТГМУ имени Абуали ибни Сино,61,10,,,https://x.com/tajmedun
AzadehEnsha,Azadeh Ensha,80,49,,,https://x.com/AzadehEnsha
azarnafisi,Azar Nafisi,80,80,,,https://x.com/azarnafisi
ummahfilms,Baba Ali,70,48,,,https://x.com/ummahfilms
BabakTafreshi,Babak Tafreshi,80,80,,,https://x.com/BabakTafreshi
babakatwork,Babak Hodjat,80,80,,,https://x.com/babakatwork
ArminGhobadi,Armin Ghobadi Pasha,80,80,,,https://x.com/ArminGhobadi
BahramNouraei,,0,0,,,https://x.com/BahramNouraei
iranwire,ایران وایر,0,80,,,https://x.com/iranwire
behdadesfahbod,Behdad Esfahbod,69,80,,,https://x.com/behdadesfahbod
2012,2012 ABC,65,10,,,https://x.com/2012
BehrouzBoochani,Behrouz Boochani,65,80,,,https://x.com/BehrouzBoochani
behzadbolour,behzadbolour,72,43,,,https://x.com/behzadbolour
nobave34909,بیژن نوباوه وطن,62,58,,,https://x.com/nobave34909
borzou,Borzou Daragahi,70,80,,,https://x.com/borzou
the,,10,10,,,https://x.com/the
CameliaFard,CameliaEntekhabifard,62,80,,,https://x.com/CameliaFard
ChahlaCHAFIQ,Chahla Chafiq,80,80,,,https://x.com/ChahlaCHAFIQ
standupdan,Dan Ahdoot,80,80,,,https://x.com/standupdan
idavar,Davar Ardalan,10,10,,,https://x.com/idavar
drdavidsamadi,Dr. David Samadi,80,80,,,https://x.com/drdavidsamadi
dialamakki,ديالا مكي,70,80,,,https://x.com/dialamakki
DinaNayeri,Dina Nayeri,80,80,,,https://x.com/DinaNayeri
asa,asa,62,80,,,https://x.com/asa
Ebihamedi,Ebi Hamedi,80,76,,,https://x.com/Ebihamedi
2022,,10,10,,,https://x.com/2022
ShahbanouFarah,FARAH PAHLAVI - فرح پهلوی,80,15,,,https://x.com/ShahbanouFarah
FMiraftab,faranak miraftab,76,10,,,https://x.com/FMiraftab
la_Biennale,La Biennale di Venezia,71,80,,,https://x.com/la_Biennale
Farnoosh,Farnoosh Torabi,80,80,,,https://x.com/Farnoosh
farvartishr,Farvartish Rezvaniyeh,65,80,,,https://x.com/farvartishr
FarzadFarzin2,Farzad Farzin,62,11,,,https://x.com/FarzadFarzin2
fatemeekhtesari,Fatemeh Ekhtesari فاطمه اختصاری,80,77,,,https://x.com/fatemeekhtesari
fereshtehmol,Fereshteh Molavi,80,80,,,https://x.com/fereshtehmol
farnazfassihi,Farnaz Fassihi,80,80,,,https://x.com/farnazfassihi
PennHistory,Penn History,80,80,,,https://x.com/PennHistory
Firouz_Naderi,Firouz M. Naderi,63,80,,,https://x.com/Firouz_Naderi
gmziarani,mohammadi ziarani,80,80,,,https://x.com/gmziarani
GolinehAtai,Golineh Atai,80,80,,,https://x.com/GolinehAtai
mr_Halloo,محمدرضا عالی پیام,68,31,,,https://x.com/mr_Halloo
