Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth,Twitter_username,Twitter_url
Saeed Aghakhani,https://en.wikipedia.org/wiki/Saeed_Aghakhani,Q5945587,https://www.wikidata.org/wiki/Q5945587,male,actor; film director; screenwriter; television director; writer,Iran,Bijar,1972-02-23T00:00:00Z,,
Hamed Ahangi,https://en.wikipedia.org/wiki/Hamed_Ahangi,Q101103811,https://www.wikidata.org/wiki/Q101103811,male,actor; comedian,Iran,Rasht,1979-07-08T00:00:00Z,,
Morteza Ahmadi,https://en.wikipedia.org/wiki/Morteza_Ahmadi,Q5962454,https://www.wikidata.org/wiki/Q5962454,male,actor; lexicographer; singer; television actor; voice actor,Iran,Tehran,1924-11-01T00:00:00Z,,
Arzhang Amirfazli,https://en.wikipedia.org/wiki/Arzhang_Amirfazli,Q5946101,https://www.wikidata.org/wiki/Q5946101,male,actor; film actor; television actor; television director,Iran,Tehran,1970-01-01T00:00:00Z,,
Siamak Ansari,https://en.wikipedia.org/wiki/Siamak_Ansari,Q3482898,https://www.wikidata.org/wiki/Q3482898,male,film actor; television actor,Iran,Tehran,1969-01-01T00:00:00Z,siamakansarii,https://x.com/siamakansarii
Reza Attaran,https://en.wikipedia.org/wiki/Reza_Attaran,Q3428926,https://www.wikidata.org/wiki/Q3428926,male,actor; film director; screenwriter; singer; television actor; television director,Serilanka Branch Post Office,Mashhad,1968-03-31T00:00:00Z,,
Mohammad Bahrani,https://en.wikipedia.org/wiki/Mohammad_Bahrani,Q16074444,https://www.wikidata.org/wiki/Q16074444,male,film director; puppeteer,Iran,Shiraz,1981-09-11T00:00:00Z,,
Shaghayegh Dehghan,https://en.wikipedia.org/wiki/Shaghayegh_Dehghan,Q3481198,https://www.wikidata.org/wiki/Q3481198,female,actor; film actor; writer,Iran,Giessen,1979-02-23T00:00:00Z,,
Javad Ezzati,https://en.wikipedia.org/wiki/Javad_Ezzati,Q5871653,https://www.wikidata.org/wiki/Q5871653,male,actor; film actor; film director; television actor,Iran,Tehran,1982-01-10T00:00:00Z,,
Reza Fieze Norouzi,https://en.wikipedia.org/wiki/Reza_Fieze_Norouzi,Q3428932,https://www.wikidata.org/wiki/Q3428932,male,actor,Iran,Kermanshah,1951-06-26T00:00:00Z,,
Hushang Harirchiyan,https://en.wikipedia.org/wiki/Hushang_Harirchiyan,Q16046078,https://www.wikidata.org/wiki/Q16046078,male,actor,Iran; Pahlavi Iran,Isfahan,1932-08-11T00:00:00Z,,
Amin Hayai,https://en.wikipedia.org/wiki/Amin_Hayai,Q471373,https://www.wikidata.org/wiki/Q471373,male,actor; film actor; singer; stage actor,Iran,Kashan,1970-06-09T00:00:00Z,,
Rambod Javan,https://en.wikipedia.org/wiki/Rambod_Javan,Q3418411,https://www.wikidata.org/wiki/Q3418411,male,actor; film director; presenter; screenwriter; television actor; television director; television presenter,Iran,Tehran,1971-12-22T00:00:00Z,rambodjavan1,https://x.com/rambodjavan1
Hadi Kazemi,https://en.wikipedia.org/wiki/Hadi_Kazemi,Q10860144,https://www.wikidata.org/wiki/Q10860144,male,actor; film actor; television actor,Iran,Tehran,1976-11-04T00:00:00Z,,
Aref Lorestani,https://en.wikipedia.org/wiki/Aref_Lorestani,Q5703996,https://www.wikidata.org/wiki/Q5703996,male,actor; television actor,Iran,Kermanshah,1972-02-04T00:00:00Z,,
Mehran Modiri,https://en.wikipedia.org/wiki/Mehran_Modiri,Q3182623,https://www.wikidata.org/wiki/Q3182623,male,actor; film director; film producer; singer; television actor; television director; television presenter,Iran,Tehran,1967-06-09T00:00:00Z,,
