Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
Meisam Amini,https://en.wikipedia.org/wiki/Meisam_Amini,Q122609085,https://www.wikidata.org/wiki/Q122609085,male,,Iran,Sari,1983-09-11T00:00:00Z
Ataullah Behmanesh,https://en.wikipedia.org/wiki/Ataullah_Behmanesh,Q5947777,https://www.wikidata.org/wiki/Q5947777,male,amateur wrestler; correspondent; journalist; presenter,Iran,Kermanshah,1923-04-13T00:00:00Z
Hamzeh Ali Pahlevanpour,https://en.wikipedia.org/wiki/Hamzeh_Ali_Pahlevanpour,Q131841388,https://www.wikidata.org/wiki/Q131841388,male,athlete; wrestler,Iran,Tehran,
Khalil Oghab,https://en.wikipedia.org/wiki/Khalil_Oghab,Q16045947,https://www.wikidata.org/wiki/Q16045947,male,actor; screenwriter,Iran,Shiraz,1924-03-21T00:00:00Z
Reza Beyk Imanverdi,https://en.wikipedia.org/wiki/Reza_Beyk_Imanverdi,Q4808641,https://www.wikidata.org/wiki/Q4808641,male,actor; athlete; film director; film producer; screenwriter; writer,Iran,Tehran,1936-06-15T00:00:00Z
Kamal Shalorus,https://en.wikipedia.org/wiki/Kamal_Shalorus,Q13862571,https://www.wikidata.org/wiki/Q13862571,male,amateur wrestler,Iran,Ethiopia,1972-08-28T00:00:00Z
Pahlevan of Iran,https://en.wikipedia.org/wiki/Pahlevan_of_Iran,Q135756729,https://www.wikidata.org/wiki/Q135756729,,,,,
Ayoub Baninosrat,https://en.wikipedia.org/wiki/Ayoub_Baninosrat,Q16164146,https://www.wikidata.org/wiki/Q16164146,male,amateur wrestler,Iran,Tabriz,1968-03-21T00:00:00Z
Parviz Hadi,https://en.wikipedia.org/wiki/Parviz_Hadi,Q11848405,https://www.wikidata.org/wiki/Q11848405,male,amateur wrestler,Iran,Basmenj,1987-11-16T00:00:00Z
Fardin Masoumi,https://en.wikipedia.org/wiki/Fardin_Masoumi,Q377708,https://www.wikidata.org/wiki/Q377708,male,amateur wrestler,Iran,Masal,1977-11-10T00:00:00Z
Mansour Mehdizadeh,https://en.wikipedia.org/wiki/Mansour_Mehdizadeh,Q1637927,https://www.wikidata.org/wiki/Q1637927,male,amateur wrestler,Iran,Tehran,1938-08-14T00:00:00Z
Mahmoud Miran,https://en.wikipedia.org/wiki/Mahmoud_Miran,Q326213,https://www.wikidata.org/wiki/Q326213,male,judoka,Iran,,1974-02-25T00:00:00Z
Abolghasem Sakhdari,https://en.wikipedia.org/wiki/Abolghasem_Sakhdari,Q4668251,https://www.wikidata.org/wiki/Q4668251,male,amateur wrestler,Iran,Nishapur,1950-01-01T00:00:00Z
Alireza Soleimani,https://en.wikipedia.org/wiki/Alireza_Soleimani,Q4726908,https://www.wikidata.org/wiki/Q4726908,male,amateur wrestler,Iran,Tehran,1956-02-02T00:00:00Z
Reza Soukhtehsaraei,https://en.wikipedia.org/wiki/Reza_Soukhtehsaraei,Q7319798,https://www.wikidata.org/wiki/Q7319798,male,amateur wrestler; coach,Iran,Dar Kalateh,1950-01-31T00:00:00Z
Gholamreza Takhti,https://en.wikipedia.org/wiki/Gholamreza_Takhti,Q648986,https://www.wikidata.org/wiki/Q648986,male,amateur wrestler; boxer,Pahlavi Iran,Tehran,1930-08-27T00:00:00Z
Abbas Zandi,https://en.wikipedia.org/wiki/Abbas_Zandi,Q305933,https://www.wikidata.org/wiki/Q305933,male,amateur wrestler,Iran,Tehran,1930-06-03T00:00:00Z
List of Iranian Pahlevani armband holders,https://en.wikipedia.org/wiki/List_of_Iranian_Pahlevani_armband_holders,Q16147563,https://www.wikidata.org/wiki/Q16147563,,,,,
Ariya Daivari,https://en.wikipedia.org/wiki/Ariya_Daivari,Q24690851,https://www.wikidata.org/wiki/Q24690851,male,professional wrestler,Iran; United States,Plymouth,1989-04-11T00:00:00Z
Shawn Daivari,https://en.wikipedia.org/wiki/Shawn_Daivari,Q2293983,https://www.wikidata.org/wiki/Q2293983,male,professional wrestler,United States,Minneapolis,1984-04-30T00:00:00Z
Matt Ghaffari,https://en.wikipedia.org/wiki/Matt_Ghaffari,Q1380383,https://www.wikidata.org/wiki/Q1380383,male,amateur wrestler; mixed martial arts fighter; professional wrestler,Iran; United States,Tehran,1961-11-11T00:00:00Z
The Iron Sheik,https://en.wikipedia.org/wiki/The_Iron_Sheik,Q289781,https://www.wikidata.org/wiki/Q289781,male,actor; amateur wrestler; professional wrestler,Iran; United States,Damghan,1942-03-15T00:00:00Z
Alireza Abdevali,https://en.wikipedia.org/wiki/Alireza_Abdevali,Q133554679,https://www.wikidata.org/wiki/Q133554679,male,amateur wrestler,,,2004-05-27T00:00:00Z
Saeid Abdevali,https://en.wikipedia.org/wiki/Saeid_Abdevali,Q3272053,https://www.wikidata.org/wiki/Q3272053,male,amateur wrestler,Iran,Andimeshk,1989-11-04T00:00:00Z
Davoud Abedinzadeh,https://en.wikipedia.org/wiki/Davoud_Abedinzadeh,Q5242117,https://www.wikidata.org/wiki/Q5242117,male,amateur wrestler,Iran,Shahriar,1986-08-29T00:00:00Z
Ahmad Afghan,https://en.wikipedia.org/wiki/Ahmad_Afghan,Q54114924,https://www.wikidata.org/wiki/Q54114924,male,amateur wrestler,Iran,,1970-02-15T00:00:00Z
Execution of Navid Afkari,https://en.wikipedia.org/wiki/Execution_of_Navid_Afkari,Q98931509,https://www.wikidata.org/wiki/Q98931509,male,amateur wrestler; plasterer,Iran,Shiraz,1993-07-22T00:00:00Z
Payam Ahmadi,https://en.wikipedia.org/wiki/Payam_Ahmadi,Q136337710,https://www.wikidata.org/wiki/Q136337710,male,amateur wrestler,,,2006-01-01T00:00:00Z
Ezzatollah Akbari,https://en.wikipedia.org/wiki/Ezzatollah_Akbari,Q14927964,https://www.wikidata.org/wiki/Q14927964,male,amateur wrestler,Iran,Juybar,1992-08-20T00:00:00Z
Hashem Akbarian,https://en.wikipedia.org/wiki/Hashem_Akbarian,Q5678900,https://www.wikidata.org/wiki/Q5678900,male,amateur wrestler,Iran,,1897-01-01T00:00:00Z
Ali Akbarnejad,https://en.wikipedia.org/wiki/Ali_Akbarnejad,Q4724607,https://www.wikidata.org/wiki/Q4724607,male,amateur wrestler,Iran,Sari,1967-09-16T00:00:00Z
Habibollah Akhlaghi,https://en.wikipedia.org/wiki/Habibollah_Akhlaghi,Q3375408,https://www.wikidata.org/wiki/Q3375408,male,amateur wrestler,Iran,Andimeshk,1985-08-03T00:00:00Z
Rahim Aliabadi,https://en.wikipedia.org/wiki/Rahim_Aliabadi,Q377761,https://www.wikidata.org/wiki/Q377761,male,amateur wrestler,Iran,Ardabil,1943-03-22T00:00:00Z
Amir Aliakbari,https://en.wikipedia.org/wiki/Amir_Aliakbari,Q471964,https://www.wikidata.org/wiki/Q471964,male,amateur wrestler; mixed martial arts fighter,Iran,Shahriar,1987-12-11T00:00:00Z
Mehdi Aliyari,https://en.wikipedia.org/wiki/Mehdi_Aliyari,Q18227911,https://www.wikidata.org/wiki/Q18227911,male,amateur wrestler,Iran,Iran,1989-03-13T00:00:00Z
Farshad Alizadeh,https://en.wikipedia.org/wiki/Farshad_Alizadeh,Q5436400,https://www.wikidata.org/wiki/Q5436400,male,amateur wrestler,Iran,Tehran,1985-06-09T00:00:00Z
Firouz Alizadeh,https://en.wikipedia.org/wiki/Firouz_Alizadeh,Q5452156,https://www.wikidata.org/wiki/Q5452156,male,amateur wrestler,Iran,,1946-10-30T00:00:00Z
Jafar Alizadeh,https://en.wikipedia.org/wiki/Jafar_Alizadeh,Q16159531,https://www.wikidata.org/wiki/Q16159531,male,amateur wrestler,Iran,,1956-10-01T00:00:00Z
Nasser Alizadeh,https://en.wikipedia.org/wiki/Nasser_Alizadeh,Q106527066,https://www.wikidata.org/wiki/Q106527066,male,amateur wrestler,Iran,Amol,1998-01-01T00:00:00Z
Ehsan Amini,https://en.wikipedia.org/wiki/Ehsan_Amini,Q16147469,https://www.wikidata.org/wiki/Q16147469,male,amateur wrestler,Iran,,1986-03-27T00:00:00Z
Erfan Amiri,https://en.wikipedia.org/wiki/Erfan_Amiri,Q16160008,https://www.wikidata.org/wiki/Q16160008,male,amateur wrestler,Iran,Kermanshah,1990-03-16T00:00:00Z
Jasem Amiri,https://en.wikipedia.org/wiki/Jasem_Amiri,Q5764551,https://www.wikidata.org/wiki/Q5764551,male,amateur wrestler,Iran,Pol-e Dokhtar,1987-02-24T00:00:00Z
