min_topic_size,n_neighbors,n_topics,coherence,outlier_ratio
60,15,3,0.41264562238618635,0.6066708621774701
40,25,3,0.3896497136280341,0.4424166142227816
40,15,7,0.38127480592759533,0.5368156073001888
30,15,9,0.37841093302509937,0.47388294524858404
30,25,9,0.37397277264505646,0.5116425424795469
60,25,3,0.36480675557744274,0.6022655758338578
