Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
Majid Aflaki,https://en.wikipedia.org/wiki/Majid_Aflaki,Q19950109,https://www.wikidata.org/wiki/Q19950109,male,taekwondo athlete,Iran,,1973-08-26T00:00:00Z
Kimia Alizadeh,https://en.wikipedia.org/wiki/Kimia_Alizadeh,Q19949645,https://www.wikidata.org/wiki/Q19949645,female,taekwondo athlete,Iran,Karaj,1998-07-10T00:00:00Z
Farzan Ashourzadeh,https://en.wikipedia.org/wiki/Farzan_Ashourzadeh,Q18326024,https://www.wikidata.org/wiki/Q18326024,male,taekwondo athlete,Iran,Tonekabon,1996-11-25T00:00:00Z
Mohammad Bagheri Motamed,https://en.wikipedia.org/wiki/Mohammad_Bagheri_Motamed,Q381591,https://www.wikidata.org/wiki/Q381591,male,taekwondo athlete,Iran,Tehran,1986-01-24T00:00:00Z
Fariborz Danesh,https://en.wikipedia.org/wiki/Fariborz_Danesh,Q19949857,https://www.wikidata.org/wiki/Q19949857,male,taekwondo athlete,Iran,,1963-03-21T00:00:00Z
Armin Hadipour,https://en.wikipedia.org/wiki/Armin_Hadipour,Q30905654,https://www.wikidata.org/wiki/Q30905654,male,taekwondo athlete,Iran,Rasht,1994-08-12T00:00:00Z
Sousan Hajipour,https://en.wikipedia.org/wiki/Sousan_Hajipour,Q2304199,https://www.wikidata.org/wiki/Q2304199,female,taekwondo athlete,Iran,Babol,1990-09-28T00:00:00Z
Mirhashem Hosseini,https://en.wikipedia.org/wiki/Mirhashem_Hosseini,Q41359650,https://www.wikidata.org/wiki/Q41359650,male,taekwondo athlete,Iran,Mianeh,1998-10-28T00:00:00Z
Yousef Karami,https://en.wikipedia.org/wiki/Yousef_Karami,Q931698,https://www.wikidata.org/wiki/Q931698,male,taekwondo athlete,Iran,Mianeh,1983-03-22T00:00:00Z
Mehdi Khodabakhshi,https://en.wikipedia.org/wiki/Mehdi_Khodabakhshi,Q16049007,https://www.wikidata.org/wiki/Q16049007,male,taekwondo athlete,Iran,Eslamshahr,1991-04-21T00:00:00Z
Sara Khoshjamal Fekri,https://en.wikipedia.org/wiki/Sara_Khoshjamal_Fekri,Q542385,https://www.wikidata.org/wiki/Q542385,female,taekwondo athlete,Iran,Rudbar,1988-09-21T00:00:00Z
Nahid Kiani,https://en.wikipedia.org/wiki/Nahid_Kiani,Q31070262,https://www.wikidata.org/wiki/Q31070262,female,taekwondo athlete,Iran,Isfahan,1998-08-01T00:00:00Z
Sajjad Mardani,https://en.wikipedia.org/wiki/Sajjad_Mardani,Q16231425,https://www.wikidata.org/wiki/Q16231425,male,taekwondo athlete,Iran,Shahr-e Kord,1988-07-01T00:00:00Z
Reza Naderian,https://en.wikipedia.org/wiki/Reza_Naderian,Q1495799,https://www.wikidata.org/wiki/Q1495799,male,taekwondo athlete,Iran,Isfahan,1989-01-29T00:00:00Z
Mobina Nematzadeh,https://en.wikipedia.org/wiki/Mobina_Nematzadeh,Q115777184,https://www.wikidata.org/wiki/Q115777184,female,taekwondo athlete,Iran,Tehran,2005-05-17T00:00:00Z
