Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
Armen Kocharian,https://en.wikipedia.org/wiki/Armen_Kocharian,Q26709668,https://www.wikidata.org/wiki/Q26709668,male,physician,,Tehran,1948-01-01T00:00:00Z
Rashid Massumi,https://en.wikipedia.org/wiki/Rashid_Massumi,Q7294912,https://www.wikidata.org/wiki/Q7294912,male,cardiologist,Iran,Nain,1926-01-21T00:00:00Z
Roxana Mehran,https://en.wikipedia.org/wiki/Roxana_Mehran,Q43249705,https://www.wikidata.org/wiki/Q43249705,female,cardiologist; researcher,,,2000-01-01T00:00:00Z
Mohammad-Reza Zafarghandi,https://en.wikipedia.org/wiki/Mohammad-Reza_Zafarghandi,Q5704843,https://www.wikidata.org/wiki/Q5704843,male,academic; physician,Iran,Tehran,1958-01-01T00:00:00Z
Iraj Nazeri,https://en.wikipedia.org/wiki/Iraj_Nazeri,Q106935355,https://www.wikidata.org/wiki/Q106935355,male,,,,1939-01-01T00:00:00Z
