Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
Daniel Gevargiz,https://en.wikipedia.org/wiki/Daniel_Gevargiz,Q80559247,https://www.wikidata.org/wiki/Q80559247,male,weightlifter,Iran,Urmia,1940-04-08T00:00:00Z
Kia Ghadami,https://en.wikipedia.org/wiki/Kia_Ghadami,Q20987878,https://www.wikidata.org/wiki/Q20987878,male,weightlifter,Iran,,1991-01-26T00:00:00Z
Hafez Ghashghaei,https://en.wikipedia.org/wiki/Hafez_Ghashghaei,Q67943250,https://www.wikidata.org/wiki/Q67943250,male,weightlifter,Iran,Dalahu County,1995-03-16T00:00:00Z
Ali Hashemi (weightlifter),https://en.wikipedia.org/wiki/Ali_Hashemi_%28weightlifter%29,,,,,,,
Amir Hoghoughi,https://en.wikipedia.org/wiki/Amir_Hoghoughi,Q64009434,https://www.wikidata.org/wiki/Q64009434,male,weightlifter,Iran,,1994-02-17T00:00:00Z
Parviz Jalayer,https://en.wikipedia.org/wiki/Parviz_Jalayer,Q372702,https://www.wikidata.org/wiki/Q372702,male,weightlifter,Iran,Tehran,1939-10-06T00:00:00Z
Mirmostafa Javadi,https://en.wikipedia.org/wiki/Mirmostafa_Javadi,Q110070737,https://www.wikidata.org/wiki/Q110070737,male,weightlifter,,,2000-06-22T00:00:00Z
Houshang Kargarnejad,https://en.wikipedia.org/wiki/Houshang_Kargarnejad,Q31202524,https://www.wikidata.org/wiki/Q31202524,male,weightlifter,Iran,,1945-01-01T00:00:00Z
Alireza Kazeminejad,https://en.wikipedia.org/wiki/Alireza_Kazeminejad,Q23007923,https://www.wikidata.org/wiki/Q23007923,male,weightlifter,Iran,,1994-02-07T00:00:00Z
Asadollah Mahini,https://en.wikipedia.org/wiki/Asadollah_Mahini,Q21034313,https://www.wikidata.org/wiki/Q21034313,male,weightlifter,,,1918-05-21T00:00:00Z
Davoud Maleki,https://en.wikipedia.org/wiki/Davoud_Maleki,Q27859438,https://www.wikidata.org/wiki/Q27859438,male,weightlifter,Iran,Zanjan,1952-12-26T00:00:00Z
Jalal Mansouri,https://en.wikipedia.org/wiki/Jalal_Mansouri,Q27656405,https://www.wikidata.org/wiki/Q27656405,male,weightlifter,Iran,,1930-01-10T00:00:00Z
Nasser Mirghavami,https://en.wikipedia.org/wiki/Nasser_Mirghavami,Q79463254,https://www.wikidata.org/wiki/Q79463254,male,weightlifter,,,
Ali Miri,https://en.wikipedia.org/wiki/Ali_Miri,Q64066901,https://www.wikidata.org/wiki/Q64066901,male,weightlifter,,,1995-08-01T00:00:00Z
Ali Mirzaei (weightlifter),https://en.wikipedia.org/wiki/Ali_Mirzaei_%28weightlifter%29,,,,,,,
Alireza Moeini,https://en.wikipedia.org/wiki/Alireza_Moeini,Q133520213,https://www.wikidata.org/wiki/Q133520213,male,weightlifter,,,2002-02-28T00:00:00Z
Saeid Mohammadpour,https://en.wikipedia.org/wiki/Saeid_Mohammadpour,Q3232640,https://www.wikidata.org/wiki/Q3232640,male,weightlifter,Iran,Ardabil,1993-03-03T00:00:00Z
Bahador Molaei,https://en.wikipedia.org/wiki/Bahador_Molaei,Q15115124,https://www.wikidata.org/wiki/Q15115124,male,weightlifter,Iran,Babolsar,1992-03-21T00:00:00Z
Sohrab Moradi,https://en.wikipedia.org/wiki/Sohrab_Moradi,Q7554813,https://www.wikidata.org/wiki/Q7554813,male,weightlifter,Iran,Sedeh Lenjan,1988-09-22T00:00:00Z
Rasoul Motamedi,https://en.wikipedia.org/wiki/Rasoul_Motamedi,Q107395632,https://www.wikidata.org/wiki/Q107395632,male,weightlifter,,,1998-11-09T00:00:00Z
