Name,Wikipedia_Link,wikidata_qid,wikidata_url
Bahador Molaei,https://en.wikipedia.org/wiki/Bahador_Molaei,Q15115124,https://www.wikidata.org/wiki/Q15115124
Sohrab Moradi,https://en.wikipedia.org/wiki/Sohrab_Moradi,Q7554813,https://www.wikidata.org/wiki/Q7554813
Rasoul Motamedi,https://en.wikipedia.org/wiki/Rasoul_Motamedi,Q107395632,https://www.wikidata.org/wiki/Q107395632
Ayoub Mousavi,https://en.wikipedia.org/wiki/Ayoub_Mousavi,Q24007628,https://www.wikidata.org/wiki/Q24007628
Mahmoud Namjoo,https://en.wikipedia.org/wiki/Mahmoud_Namjoo,Q1361670,https://www.wikidata.org/wiki/Q1361670
Mohammad Reza Nasehi,https://en.wikipedia.org/wiki/Mohammad_Reza_Nasehi,Q23060077,https://www.wikidata.org/wiki/Q23060077
Feizollah Nasseri,https://en.wikipedia.org/wiki/Feizollah_Nasseri,Q5441598,https://www.wikidata.org/wiki/Q5441598
Mohammad Nassiri,https://en.wikipedia.org/wiki/Mohammad_Nassiri,Q1399307,https://www.wikidata.org/wiki/Q1399307
Shahin Nassirinia,https://en.wikipedia.org/wiki/Shahin_Nassirinia,Q7461780,https://www.wikidata.org/wiki/Q7461780
Navab Nassirshalal,https://en.wikipedia.org/wiki/Navab_Nassirshalal,Q3082518,https://www.wikidata.org/wiki/Q3082518
Kazem Panjavi,https://en.wikipedia.org/wiki/Kazem_Panjavi,Q83805010,https://www.wikidata.org/wiki/Q83805010
Hadi Panzvan,https://en.wikipedia.org/wiki/Hadi_Panzvan,Q20987978,https://www.wikidata.org/wiki/Q20987978
Mehdi Panzvan,https://en.wikipedia.org/wiki/Mehdi_Panzvan,Q21285441,https://www.wikidata.org/wiki/Q21285441
Ebrahim Peiravi,https://en.wikipedia.org/wiki/Ebrahim_Peiravi,Q25424255,https://www.wikidata.org/wiki/Q25424255
Firouz Pojhan,https://en.wikipedia.org/wiki/Firouz_Pojhan,Q20984533,https://www.wikidata.org/wiki/Q20984533
Rasoul Raeisi,https://en.wikipedia.org/wiki/Rasoul_Raeisi,Q19895594,https://www.wikidata.org/wiki/Q19895594
Hassan Rahnavardi,https://en.wikipedia.org/wiki/Hassan_Rahnavardi,Q16090555,https://www.wikidata.org/wiki/Q16090555
Ali Rajabi Eslami,https://en.wikipedia.org/wiki/Ali_Rajabi_Eslami,Q80328433,https://www.wikidata.org/wiki/Q80328433
Bijan Rezaei,https://en.wikipedia.org/wiki/Bijan_Rezaei,Q83018586,https://www.wikidata.org/wiki/Q83018586
Morteza Rezaeian,https://en.wikipedia.org/wiki/Morteza_Rezaeian,Q21642949,https://www.wikidata.org/wiki/Q21642949
Hossein Rezazadeh,https://en.wikipedia.org/wiki/Hossein_Rezazadeh,Q374353,https://www.wikidata.org/wiki/Q374353
Kianoush Rostami,https://en.wikipedia.org/wiki/Kianoush_Rostami,Q2743313,https://www.wikidata.org/wiki/Q2743313
Ali Safa-Sonboli,https://en.wikipedia.org/wiki/Ali_Safa-Sonboli,Q4725171,https://www.wikidata.org/wiki/Q4725171
Mohammad Salehi (weightlifter),https://en.wikipedia.org/wiki/Mohammad_Salehi_%28weightlifter%29,,
