Name,Wikipedia_Link,wikidata_qid,wikidata_url
Meisam Salehi,https://en.wikipedia.org/wiki/Meisam_Salehi,Q107312276,https://www.wikidata.org/wiki/Q107312276
Mohammad Hassan Senobar,https://en.wikipedia.org/wiki/Mohammad_Hassan_Senobar,Q17173997,https://www.wikidata.org/wiki/Q17173997
Seyed Amirhossein Sadati,https://en.wikipedia.org/wiki/Seyed_Amirhossein_Sadati,Q135420210,https://www.wikidata.org/wiki/Q135420210
Seyed Eisa Naseri,https://en.wikipedia.org/wiki/Seyed_Eisa_Naseri,Q135412132,https://www.wikidata.org/wiki/Q135412132
Jahangir Seyed-Abbasi,https://en.wikipedia.org/wiki/Jahangir_Seyed-Abbasi,Q20110496,https://www.wikidata.org/wiki/Q20110496
Vahid Seyed-Abbasi,https://en.wikipedia.org/wiki/Vahid_Seyed-Abbasi,Q20871001,https://www.wikidata.org/wiki/Q20871001
Mojtaba Shaban,https://en.wikipedia.org/wiki/Mojtaba_Shaban,Q6895163,https://www.wikidata.org/wiki/Q6895163
Ali Shafiei,https://en.wikipedia.org/wiki/Ali_Shafiei,Q23068188,https://www.wikidata.org/wiki/Q23068188
Mostafa Sharifat,https://en.wikipedia.org/wiki/Mostafa_Sharifat,Q16047352,https://www.wikidata.org/wiki/Q16047352
Morteza Sharifi,https://en.wikipedia.org/wiki/Morteza_Sharifi,Q55679919,https://www.wikidata.org/wiki/Q55679919
Ahsanollah Shirkavand,https://en.wikipedia.org/wiki/Ahsanollah_Shirkavand,Q16052456,https://www.wikidata.org/wiki/Q16052456
Mohammad Soleimani (volleyball),https://en.wikipedia.org/wiki/Mohammad_Soleimani_%28volleyball%29,,
Armin Tashakkori,https://en.wikipedia.org/wiki/Armin_Tashakkori,Q15056924,https://www.wikidata.org/wiki/Q15056924
Mohammad Torkashvand,https://en.wikipedia.org/wiki/Mohammad_Torkashvand,Q15066789,https://www.wikidata.org/wiki/Q15066789
Amir Hossein Toukhteh,https://en.wikipedia.org/wiki/Amir_Hossein_Toukhteh,Q61061799,https://www.wikidata.org/wiki/Q61061799
Mohammad Taher Vadi,https://en.wikipedia.org/wiki/Mohammad_Taher_Vadi,Q17994619,https://www.wikidata.org/wiki/Q17994619
Porya Yali,https://en.wikipedia.org/wiki/Porya_Yali,Q64264622,https://www.wikidata.org/wiki/Q64264622
Farhad Zarif,https://en.wikipedia.org/wiki/Farhad_Zarif,Q5700469,https://www.wikidata.org/wiki/Q5700469
Hamzeh Zarini,https://en.wikipedia.org/wiki/Hamzeh_Zarini,Q5646551,https://www.wikidata.org/wiki/Q5646551
Soudabeh Bagherpour,https://en.wikipedia.org/wiki/Soudabeh_Bagherpour,Q31066843,https://www.wikidata.org/wiki/Q31066843
Padideh Bolourizadeh,https://en.wikipedia.org/wiki/Padideh_Bolourizadeh,Q7123749,https://www.wikidata.org/wiki/Q7123749
Maedeh Borhani,https://en.wikipedia.org/wiki/Maedeh_Borhani,Q28464827,https://www.wikidata.org/wiki/Q28464827
Neda Chamlanian,https://en.wikipedia.org/wiki/Neda_Chamlanian,Q100978671,https://www.wikidata.org/wiki/Q100978671
Mona Derismahmoudi,https://en.wikipedia.org/wiki/Mona_Derismahmoudi,Q120400940,https://www.wikidata.org/wiki/Q120400940
Mona Ghaderi,https://en.wikipedia.org/wiki/Mona_Ghaderi,Q113507066,https://www.wikidata.org/wiki/Q113507066
Zeinab Giveh,https://en.wikipedia.org/wiki/Zeinab_Giveh,Q28808457,https://www.wikidata.org/wiki/Q28808457
Mahsa Kadkhoda,https://en.wikipedia.org/wiki/Mahsa_Kadkhoda,Q67496341,https://www.wikidata.org/wiki/Q67496341
Mina Roosta,https://en.wikipedia.org/wiki/Mina_Roosta,Q98456574,https://www.wikidata.org/wiki/Q98456574
Mahsa Saberi,https://en.wikipedia.org/wiki/Mahsa_Saberi,Q67496722,https://www.wikidata.org/wiki/Q67496722
Shekoufeh Safari,https://en.wikipedia.org/wiki/Shekoufeh_Safari,Q67496544,https://www.wikidata.org/wiki/Q67496544
Farnoosh Sheikhi,https://en.wikipedia.org/wiki/Farnoosh_Sheikhi,Q20987988,https://www.wikidata.org/wiki/Q20987988
Negin Shirtari,https://en.wikipedia.org/wiki/Negin_Shirtari,Q77445377,https://www.wikidata.org/wiki/Q77445377
Farzaneh Zarei,https://en.wikipedia.org/wiki/Farzaneh_Zarei,Q99325070,https://www.wikidata.org/wiki/Q99325070
Eshrat Kordestani,https://en.wikipedia.org/wiki/Eshrat_Kordestani,Q26934445,https://www.wikidata.org/wiki/Q26934445
Morteza Mehrzad,https://en.wikipedia.org/wiki/Morteza_Mehrzad,Q5715420,https://www.wikidata.org/wiki/Q5715420
Hadi Rezaei,https://en.wikipedia.org/wiki/Hadi_Rezaei,Q20090846,https://www.wikidata.org/wiki/Q20090846
