Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth,Twitter_username,Twitter_url
Arman Salehi,https://en.wikipedia.org/wiki/Arman_Salehi,Q107634170,https://www.wikidata.org/wiki/Q107634170,male,volleyball player,Iran,Kalaleh County,1992-10-29T00:00:00Z,,
Meisam Salehi,https://en.wikipedia.org/wiki/Meisam_Salehi,Q107312276,https://www.wikidata.org/wiki/Q107312276,male,volleyball player,,Urmia,1998-11-17T00:00:00Z,,
Mohammad Hassan Senobar,https://en.wikipedia.org/wiki/Mohammad_Hassan_Senobar,Q17173997,https://www.wikidata.org/wiki/Q17173997,male,volleyball player,Iran,Pakdasht,1989-07-11T00:00:00Z,,
Seyed Amirhossein Sadati,https://en.wikipedia.org/wiki/Seyed_Amirhossein_Sadati,Q135420210,https://www.wikidata.org/wiki/Q135420210,male,,,,,,
Seyed Eisa Naseri,https://en.wikipedia.org/wiki/Seyed_Eisa_Naseri,Q135412132,https://www.wikidata.org/wiki/Q135412132,male,volleyball player,,,2001-02-18T00:00:00Z,,
Jahangir Seyed-Abbasi,https://en.wikipedia.org/wiki/Jahangir_Seyed-Abbasi,Q20110496,https://www.wikidata.org/wiki/Q20110496,male,volleyball player,Iran,Urmia,,,
Vahid Seyed-Abbasi,https://en.wikipedia.org/wiki/Vahid_Seyed-Abbasi,Q20871001,https://www.wikidata.org/wiki/Q20871001,male,volleyball player,Iran,Urmia,,,
Mojtaba Shaban,https://en.wikipedia.org/wiki/Mojtaba_Shaban,Q6895163,https://www.wikidata.org/wiki/Q6895163,male,volleyball player,Iran,Semnan,1987-03-18T00:00:00Z,,
Ali Shafiei,https://en.wikipedia.org/wiki/Ali_Shafiei,Q23068188,https://www.wikidata.org/wiki/Q23068188,male,volleyball player,,Amol,1991-09-21T00:00:00Z,,
Mostafa Sharifat,https://en.wikipedia.org/wiki/Mostafa_Sharifat,Q16047352,https://www.wikidata.org/wiki/Q16047352,male,volleyball player,Iran,Ahvaz,1987-09-16T00:00:00Z,,
Morteza Sharifi,https://en.wikipedia.org/wiki/Morteza_Sharifi,Q55679919,https://www.wikidata.org/wiki/Q55679919,male,volleyball player,Iran,Urmia,1999-05-27T00:00:00Z,,
Ahsanollah Shirkavand,https://en.wikipedia.org/wiki/Ahsanollah_Shirkavand,Q16052456,https://www.wikidata.org/wiki/Q16052456,male,volleyball player,Iran,Varamin,1981-03-18T00:00:00Z,,
Mohammad Soleimani (volleyball),https://en.wikipedia.org/wiki/Mohammad_Soleimani_%28volleyball%29,,,,,,,,,
Armin Tashakkori,https://en.wikipedia.org/wiki/Armin_Tashakkori,Q15056924,https://www.wikidata.org/wiki/Q15056924,male,volleyball player,Iran,Hamadan,1986-12-08T00:00:00Z,,
Mohammad Torkashvand,https://en.wikipedia.org/wiki/Mohammad_Torkashvand,Q15066789,https://www.wikidata.org/wiki/Q15066789,male,volleyball player,Iran,Kermanshah,1977-01-25T00:00:00Z,,
Amir Hossein Toukhteh,https://en.wikipedia.org/wiki/Amir_Hossein_Toukhteh,Q61061799,https://www.wikidata.org/wiki/Q61061799,male,volleyball player,Iran,Urmia,2001-04-09T00:00:00Z,,
Mohammad Taher Vadi,https://en.wikipedia.org/wiki/Mohammad_Taher_Vadi,Q17994619,https://www.wikidata.org/wiki/Q17994619,male,volleyball player,Iran,Mashhad,1989-10-10T00:00:00Z,,
Porya Yali,https://en.wikipedia.org/wiki/Porya_Yali,Q64264622,https://www.wikidata.org/wiki/Q64264622,male,volleyball player,,Quchan,1999-01-21T00:00:00Z,,
Farhad Zarif,https://en.wikipedia.org/wiki/Farhad_Zarif,Q5700469,https://www.wikidata.org/wiki/Q5700469,male,volleyball player,Iran,Mashhad,1983-03-03T00:00:00Z,,
Hamzeh Zarini,https://en.wikipedia.org/wiki/Hamzeh_Zarini,Q5646551,https://www.wikidata.org/wiki/Q5646551,male,volleyball player,Iran,Tehran,1985-10-18T00:00:00Z,,
Soudabeh Bagherpour,https://en.wikipedia.org/wiki/Soudabeh_Bagherpour,Q31066843,https://www.wikidata.org/wiki/Q31066843,female,volleyball player,Iran,Iran,1990-01-01T00:00:00Z,,
Padideh Bolourizadeh,https://en.wikipedia.org/wiki/Padideh_Bolourizadeh,Q7123749,https://www.wikidata.org/wiki/Q7123749,female,athletics competitor; volleyball player,Iran,Tehran,1974-12-01T00:00:00Z,,
Maedeh Borhani,https://en.wikipedia.org/wiki/Maedeh_Borhani,Q28464827,https://www.wikidata.org/wiki/Q28464827,female,volleyball player,Iran,Isfahan,1988-06-22T00:00:00Z,,
Neda Chamlanian,https://en.wikipedia.org/wiki/Neda_Chamlanian,Q100978671,https://www.wikidata.org/wiki/Q100978671,female,volleyball player,Iran,Isfahan,1994-03-07T00:00:00Z,,
Mona Derismahmoudi,https://en.wikipedia.org/wiki/Mona_Derismahmoudi,Q120400940,https://www.wikidata.org/wiki/Q120400940,female,volleyball player,,,,,
Mona Ghaderi,https://en.wikipedia.org/wiki/Mona_Ghaderi,Q113507066,https://www.wikidata.org/wiki/Q113507066,female,volleyball player,,,1980-05-24T00:00:00Z,,
Zeinab Giveh,https://en.wikipedia.org/wiki/Zeinab_Giveh,Q28808457,https://www.wikidata.org/wiki/Q28808457,female,volleyball player,Iran,Tehran,1983-07-11T00:00:00Z,,
Mahsa Kadkhoda,https://en.wikipedia.org/wiki/Mahsa_Kadkhoda,Q67496341,https://www.wikidata.org/wiki/Q67496341,female,volleyball player,,Birjand,1993-06-22T00:00:00Z,,
Mina Roosta,https://en.wikipedia.org/wiki/Mina_Roosta,Q98456574,https://www.wikidata.org/wiki/Q98456574,female,volleyball player,Iran,Shiraz,1993-03-21T00:00:00Z,,
Mahsa Saberi,https://en.wikipedia.org/wiki/Mahsa_Saberi,Q67496722,https://www.wikidata.org/wiki/Q67496722,female,volleyball player,,Gorgan,1993-02-14T00:00:00Z,,
Shekoufeh Safari,https://en.wikipedia.org/wiki/Shekoufeh_Safari,Q67496544,https://www.wikidata.org/wiki/Q67496544,female,association football player; volleyball player,Iran,Isfahan,1989-03-07T00:00:00Z,,
Farnoosh Sheikhi,https://en.wikipedia.org/wiki/Farnoosh_Sheikhi,Q20987988,https://www.wikidata.org/wiki/Q20987988,female,volleyball player,Iran,Gorgan,1991-05-13T00:00:00Z,,
Negin Shirtari,https://en.wikipedia.org/wiki/Negin_Shirtari,Q77445377,https://www.wikidata.org/wiki/Q77445377,female,,Iran,Rasht,1997-01-01T00:00:00Z,,
Farzaneh Zarei,https://en.wikipedia.org/wiki/Farzaneh_Zarei,Q99325070,https://www.wikidata.org/wiki/Q99325070,female,volleyball player,,Isfahan,1991-10-29T00:00:00Z,,
Eshrat Kordestani,https://en.wikipedia.org/wiki/Eshrat_Kordestani,Q26934445,https://www.wikidata.org/wiki/Q26934445,female,sitting volleyball player,Iran,Kerman,1984-01-02T00:00:00Z,,
Morteza Mehrzad,https://en.wikipedia.org/wiki/Morteza_Mehrzad,Q5715420,https://www.wikidata.org/wiki/Q5715420,male,sitting volleyball player,Iran,Iran,1987-09-17T00:00:00Z,,
Hadi Rezaei,https://en.wikipedia.org/wiki/Hadi_Rezaei,Q20090846,https://www.wikidata.org/wiki/Q20090846,male,sitting volleyball player,Iran,Mashhad,1960-12-10T00:00:00Z,,
