username,tweet_count,has_dates
alarabiya_brk,474,474
alialiraouf2,353,353
_ipesarekhob,298,298
abdolhamid_net,248,248
alrthaan21,246,246
alaki_,245,245
abdolhamidnetar,237,237
alirezaabasi_ir,232,232
ahangevafa,208,208
alborznazariz,207,207
alighasemi0011,205,205
alishakourirad,205,205
adnanaltia,192,191
_aliemili_,189,189
abdolhamidnet,184,184
abdollahram,177,177
_mehrabooon,176,176
alirabiei_iran,172,168
adameaval,171,171
ahmadrezakzmi,161,161
_ya_karim_,161,161
agha_mohamad1_,158,158
aghomchi,156,156
aliscorban,153,153
ab_ganji,152,152
afarouk92,150,150
abadguy000,147,147
ali_cheshomi,143,143
ajibzade,143,143
afshin_46,142,142
abbasmowzoon,141,141
alavibehrang,141,141
ailar1000,141,141
ali7osain,139,139
ali_rezaei_sh,138,138
aeeeeeeeeeeen,138,138
alimojtahedzad3,138,138
abdeekalantari,132,132
alan1234454,132,132
alijafarifo,131,131
alarabytv,131,131
0alwaysdreamer0,131,131
_theleftover,131,131
ahmadabdulsada,131,131
alijoonz121,128,128
abtahi_m,128,126
aghmamrez,126,126
alsynya1,126,126
9tantiope,125,125
ala_ti_ti,125,125
abdullahmohtadi,124,124
abasiabbassi,124,124
alialkhalede,124,124
abhaddadii,123,122
aghamiri_hosein,122,122
alilarijani_ir,122,122
abdulbaset22,122,118
alirezashayest1,121,121
alimokhtari102,120,120
_angry_n___,120,120
2bender,119,119
13virginiawoolf,119,119
___mohsen_,119,119
ahadsadeghi71,118,118
_ali_najjar_,117,117
2017siyasi,117,117
ahmadsamadi1974,117,117
20rapcom,116,114
_aespect,115,115
ali_khezrian,115,115
alihgh1393,115,115
alikarimi_ak8,114,114
a_z_im,114,114
4freedom4iran,114,114
ali_noorani_teh,113,113
20lincoln20,113,113
alparsai,113,113
amalsaad_lb,112,112
alirezaakhondi,112,112
alireza_arg,111,111
aliiorgi,111,111
akramsharifi,110,110
aahonarmand,110,109
ahmedalharbi0_,110,110
abfarideh,109,109
ali_ahmadnia,108,105
_fatemeramezani,108,108
akhavanbahar,107,107
akhbare_fori,106,104
aa51_ansari,106,106
agha_xavier2,106,106
5ogand,105,103
0qcgdh3bdamfozf,104,104
alisajed465625,103,103
abedimonfared1,103,103
alibahaadori,103,103
aghplt,102,102
abba3pakbin,100,100
a_f_cebeci,100,100
alivesali,99,99
alirezanader,99,98
akhoundiabbas,99,99
aboyahiaalsgldy,98,98
_thejimbo_,97,97
abb_abdi,97,97
abasaslani,96,96
alikarimdoost91,96,96
35anj,96,96
ablrchi,95,95
alimarouf153082,95,95
1wqrz,94,94
4freedominiran,94,94
abhishekbhaya,94,94
ali_al_najafy,93,93
abdul_majid33,93,93
afshinagin62,93,93
alijannatpour,92,92
ahmadrezagz,92,92
absmadridista,91,91
__injaneb96,91,91
aldo369369369,91,90
alyamaniyeen,91,91
alarabiya_fa,89,89
ajan_iran,89,89
alireza_didani,89,89
abbasmehdavi312,89,89
abbasi_students,89,89
aaalirz,89,89
alirezamm1992,88,88
aliebrahimzade_,87,87
afrasyabia,86,86
alamsooz,86,86
2x0x2x4,86,86
alireza4759,85,85
activistrafiey,85,85
_iwftw,85,85
abdimonireh,85,85
abttaniq,84,84
a_01_2024,84,84
aliaalei,82,82
aboutmes7,81,81
ahmadnaderi_ir,80,80
105_sakariyou,80,80
2ndravanparish,80,80
61pari93357,79,79
abbasiniho,78,78
5y6aahcdftzn4me,77,77
ali_rajabi,76,76
_h_o_o_r_,75,75
al_ardwi,72,72
almodarresisays,72,72
alimoujani,72,72
aesmailnazhad,70,70
abehtarin,70,70
alihars6,70,70
aliidaeii,70,67
ak_rogue_,69,69
alirezakiani2,69,69
ali_hedielou,68,68
ahangparvaz_co,67,67
aidanajra,67,67
aliziyak,66,66
ajdemarang,66,66
a_rnazari,64,64
alireza84808379,63,63
ahlebeytmedia,62,62
_iweni,62,62
alirezasayeh,61,61
aami_r1385,61,61
aahassas,61,61
2_rebelgirl,59,59
alirezaami58678,59,59
alikalaei62,59,59
abas_asgharpour,59,59
ali_bitarafan5,59,59
3tareee,58,58
3eyedamir,58,58
a_abothman,55,55
ahmadalirezaei,55,55
alavi2183,55,55
abbasi_j_5,55,55
aban_paris,55,55
_mahdiyar313,54,54
abolie17386,54,54
afintlarabic,53,53
404arsynotfound,53,53
abed33474966,53,53
afcasiancup_ar,52,52
al3_hacker,52,52
ageofpahlavi,51,51
aliibeyranvand,50,50
alisoleymaiii,44,44
adorno_persian,44,44
alirostami89168,42,42
ahmadi_fae83290,33,33
adarehgharibi,32,32
aliahmadolfati,25,25
ahdeaghiq,25,25
ali_geraei,24,24
alizamaniyan,23,23
aboarab90547242,22,22
afghan271,19,19
aibaensch,17,17
aanahelll,17,17
afshinzare1,12,12
abbasalawadi6,11,11
alibazdarian,11,11
adfiranofficial,10,10
alibarghi1,10,10
afshinbahrami33,10,10
0mfahzf4tebztdl,9,9
ali1427_rad,9,9
abdulwadudkha12,9,9
aasangari,8,8
alinazarij,7,7
achaharmahaliy,7,7
ali_damghani_84,7,7
alireza_kh29320,5,5
alamyn39470,5,5
aliabc1500,5,5
aa1915898,4,4
afshin_rasa,4,4
alaaalwaly1,4,4
amadei_paola,3,3
34gwr77liku4hw8,3,3
1pezeshk_plus,2,2
alihoseini692,2,2
aidin_og,2,2
alimajidi65256,2,2
1364ghazal62816,1,1
ali94185358,1,1
alex4380145476,1,1
ali__darghahi,1,1
ahmedabdal94,1,1
alimir43,1,1
alihashemi78849,1,1
aliazarids,1,1
alishariat1380,1,1
