username,total_tweets,tweets_2022,tweets_2023,tweets_2024,first_tweet,last_tweet
0alwaysdreamer0,131,0,0,0,2021-12-02 00:06:32.553000+00:00,2026-02-14 00:23:31.435000+00:00
0mfahzf4tebztdl,9,1,3,1,2022-04-21 23:21:54.546000+00:00,2026-02-09 19:10:09.287000+00:00
0qcgdh3bdamfozf,104,0,0,77,2024-03-20 17:29:10.890000+00:00,2025-12-09 21:25:08.868000+00:00
105_sakariyou,80,12,0,0,2021-11-14 20:13:30.425000+00:00,2022-01-17 12:49:45.903000+00:00
1364ghazal62816,1,0,1,0,2023-04-09 21:00:28.387000+00:00,2023-04-09 21:00:28.387000+00:00
13virginiawoolf,119,0,0,0,2025-11-23 14:29:33.524000+00:00,2026-02-15 08:56:06.575000+00:00
1pezeshk_plus,2,0,0,0,2016-11-10 00:21:36.792000+00:00,2016-11-10 09:15:17.185000+00:00
1wqrz,94,0,53,30,2023-01-22 06:00:29.746000+00:00,2025-11-26 23:40:12.818000+00:00
2017siyasi,117,0,0,2,2024-06-23 16:53:52.742000+00:00,2026-02-07 18:10:30.630000+00:00
20lincoln20,113,43,57,13,2022-11-18 11:05:32.809000+00:00,2024-08-16 04:18:09.138000+00:00
20rapcom,116,0,0,0,2025-06-13 14:23:55.198000+00:00,2026-01-07 15:34:49.858000+00:00
2_rebelgirl,59,0,0,0,2025-09-14 21:12:55.333000+00:00,2026-02-14 19:57:32.235000+00:00
2bender,119,67,51,0,2020-01-12 22:37:53.388000+00:00,2023-07-29 06:42:14.272000+00:00
2ndravanparish,80,0,0,0,2020-01-20 14:51:41.901000+00:00,2026-02-14 21:56:41.812000+00:00
2x0x2x4,86,0,0,3,2024-07-24 02:12:34.275000+00:00,2025-06-28 19:24:07.093000+00:00
34gwr77liku4hw8,3,0,0,0,2021-12-01 16:20:10.275000+00:00,2021-12-03 04:43:01.406000+00:00
35anj,96,40,9,6,2019-03-13 10:31:19.053000+00:00,2026-02-09 11:53:48.247000+00:00
3eyedamir,58,0,0,1,2024-07-07 12:40:00.207000+00:00,2026-02-14 17:39:02.539000+00:00
3tareee,58,0,0,0,2026-02-07 22:48:10.432000+00:00,2026-02-15 01:54:59.544000+00:00
404arsynotfound,53,0,0,0,2025-11-26 14:38:56.483000+00:00,2026-02-05 20:38:20.634000+00:00
4freedom4iran,114,0,0,0,2015-07-25 21:25:33.078000+00:00,2026-02-15 15:11:19.145000+00:00
4freedominiran,94,0,0,0,2026-02-08 09:55:38.244000+00:00,2026-02-15 09:24:01.289000+00:00
5ogand,105,0,0,0,2026-01-07 23:30:44.580000+00:00,2026-02-15 16:30:32.972000+00:00
5y6aahcdftzn4me,77,3,0,0,2020-08-08 07:12:37.564000+00:00,2022-07-25 10:59:33.316000+00:00
61pari93357,79,0,0,0,2018-09-06 13:29:32.454000+00:00,2026-02-14 19:53:02.308000+00:00
9tantiope,125,10,5,16,2020-08-18 17:58:08.073000+00:00,2024-05-11 22:37:17.264000+00:00
___mohsen_,119,0,0,3,2012-04-08 15:00:26.917000+00:00,2026-02-15 09:13:28.899000+00:00
__injaneb96,91,0,1,0,2023-12-14 19:28:42.804000+00:00,2026-02-15 08:32:14.540000+00:00
_aespect,115,0,0,0,2025-02-11 17:01:44.649000+00:00,2026-02-15 09:16:39.682000+00:00
_ali_najjar_,117,0,0,0,2026-02-01 18:24:21.500000+00:00,2026-02-14 22:55:04.365000+00:00
_aliemili_,189,1,0,0,2022-09-12 12:03:42.102000+00:00,2026-02-14 18:32:43.914000+00:00
_angry_n___,120,0,0,0,2026-01-11 18:25:45.008000+00:00,2026-02-14 18:59:23.948000+00:00
_fatemeramezani,108,20,88,0,2022-10-28 19:28:31.825000+00:00,2023-05-30 20:11:50.844000+00:00
_h_o_o_r_,75,0,0,3,2024-09-11 20:02:42.709000+00:00,2026-02-11 17:48:09.087000+00:00
_ipesarekhob,298,0,0,191,2024-01-12 19:36:48.487000+00:00,2025-12-29 18:53:51.466000+00:00
_iweni,62,7,1,51,2022-10-16 12:57:27.355000+00:00,2026-02-01 23:30:51.019000+00:00
_iwftw,85,0,0,0,2025-07-06 22:48:24.043000+00:00,2026-01-26 11:27:18.292000+00:00
_mahdiyar313,54,0,0,0,2026-02-11 18:21:34.942000+00:00,2026-02-14 23:25:35.608000+00:00
_mehrabooon,176,20,0,0,2021-02-07 07:29:48.837000+00:00,2022-05-26 11:17:19.180000+00:00
_thejimbo_,97,0,0,0,2017-12-25 06:27:41.352000+00:00,2018-10-02 22:33:34.549000+00:00
_theleftover,131,0,1,1,2021-07-17 12:10:12.344000+00:00,2026-02-14 20:53:41.283000+00:00
_ya_karim_,161,0,0,0,2025-06-05 16:22:12.574000+00:00,2026-02-14 18:07:44.541000+00:00
a_01_2024,84,0,0,1,2024-08-04 09:26:05.676000+00:00,2026-02-13 14:06:00.904000+00:00
a_abothman,55,0,0,0,2026-02-04 21:27:32.898000+00:00,2026-02-14 14:22:23.973000+00:00
a_f_cebeci,100,0,0,0,2026-01-15 08:58:32.094000+00:00,2026-02-13 17:06:29.386000+00:00
a_rnazari,64,0,0,0,2025-01-10 16:53:16.611000+00:00,2026-02-14 18:16:02.350000+00:00
a_z_im,114,0,0,2,2024-10-18 15:35:48.842000+00:00,2026-02-14 23:37:12.976000+00:00
aa1915898,4,0,0,0,2025-02-03 23:25:32.171000+00:00,2025-12-16 12:51:26.029000+00:00
aa51_ansari,106,0,1,8,2023-09-11 06:50:11.983000+00:00,2026-02-01 16:01:20.676000+00:00
aaalirz,89,0,0,22,2024-01-08 17:26:31.336000+00:00,2025-01-18 00:14:27.110000+00:00
aahassas,61,0,0,1,2024-11-14 20:00:02.665000+00:00,2025-08-19 11:40:48.457000+00:00
aahonarmand,110,0,0,1,2024-07-10 10:36:25.097000+00:00,2026-02-09 06:07:05.739000+00:00
aami_r1385,61,0,0,0,2025-12-12 21:46:46.312000+00:00,2026-01-29 10:22:23.237000+00:00
aanahelll,17,1,3,2,2022-11-22 19:48:03.975000+00:00,2026-02-13 11:03:05.795000+00:00
aasangari,8,0,0,1,2014-06-25 11:34:36.598000+00:00,2025-09-07 16:00:56.873000+00:00
ab_ganji,152,0,0,0,2026-01-06 16:59:01.115000+00:00,2026-02-15 14:46:08.700000+00:00
