tweet_id,created_at,text,likes,retweets,replies
1942900860796707136,Wed Jul 09 10:57:17 +0000 2025,"ساپینتو یک جام از فوتبال ایران طلب دارد

من و تک‌تک اعضای هیئت مدیره پشت تو هستیم برای رسیدن به قهرمانی؛ برای دل آن هواداری که در سخت‌ترین روزها کنار تیمش ماند، برای بازگشت فریاد شادی در آزادی. 

تا همیشه #آبی 💙 https://t.co/hQZ9nHdWAF",134,2,305
1934355205753028718,Sun Jun 15 20:59:54 +0000 2025,"RT @fcesteghlaliran: به نام او که آبی‌ترین آسمان‌ها از اوست...

کوله‌ی کوچک تو را دیدیم، قهرمان کوچک ما...
میان آوارها، زیر تلی از سنگ و خا…",0,104,0
1930283682805285197,Wed Jun 04 15:21:07 +0000 2025,"در شرایطی که باشگاه با محدودیت‌های مالی مواجه بود، تلاش‌هایی انجام شد و بخشی از مسیر باز شد.

اما به اعتقاد من در فصل نقل‌وانتقالات، جرأت تصمیم‌گیری، مهم‌تر از منابع مالی‌ست.

ساختن استقلال نوین، فقط بودجه نمی‌خواهد، نیت و جسارت هم می‌خواد.

به #تخصص یکدیگر احترام بگذاریم.",105,1,1113
1928789644776284176,Sat May 31 12:24:21 +0000 2025,"مجوز حرفه‌ای باشگاه استقلال صادر شد.
این یعنی استقلال رسماً در مسیر آسیاست.
قدم‌به‌قدم، بی‌سر‌و‌صدا ولی محکم داریم آینده رو می‌سازیم. 
ممنون از تمام اعضای باشگاه که با تلاش بی‌وقفه و بی‌حاشیه این مسیر را ممکن کردند.",426,5,324
1928189276010811777,Thu May 29 20:38:42 +0000 2025,"استقلال از دل بحران بلند شد. این قهرمانی، شروع یه مسیر جدیده، نه پایانش.

ما با صبر شما ساختیم، با فحش‌ها دوام آوردیم، و حالا با برنامه جلو می‌ریم.

فصل بعد تازه شروع ماست.

تا همیشه، آبی 💙 https://t.co/n1S4Aeo2RV",359,4,139
1921973061835718778,Mon May 12 16:57:41 +0000 2025,"کلارنس سیدورف، اسطوره فوتبال جهان، به عنوان مشاور ورزشی به استقلال پیوست.

حضور او گامی‌ست به سوی استقلالی حرفه‌ای‌تر؛ از توسعه آکادمی تا انتخاب سرمربی آینده، تجربه بین‌المللی‌اش در خدمت ساختن فرداست.

به زودی در تهران و در کنار ما. 💙 https://t.co/XXZN3zST60",37,1,41
1920462412299350472,Thu May 08 12:54:54 +0000 2025,خنده به ناحق، بلندترین اعتراف به ترس از حقه. https://t.co/6sbO73JBKk,29,2,44
